0,1,2,3,4,5,6,7,8,9
"(0, 1)","(0, 2)","(0, 8)","(0, 5)","(1, 3)","(1, 5)","(1, 6)","(1, 7)","(1, 2)","(2, 3)","(2, 9)","(2, 7)","(2, 4)","(2, 8)","(2, 5)","(3, 8)","(3, 7)","(3, 9)","(3, 5)","(3, 4)","(4, 8)","(4, 5)","(4, 9)","(5, 7)","(5, 6)","(6, 7)","(6, 8)","(7, 9)","(7, 8)","(8, 9)"
72,46
3,0,2,1,8,5,6,7,4,9
4,0,8,5,2,3,7,6,1,9
6,0,1,5,8,3,7,2,4,9
7,0,5,2,1,8,4,3,6,9
9,1,2,3,7
0,8,1,3,2,7,6,5,4,9
1,3,0,2,8,5,7,6,4,9
1,6,4,3,5,2,8,7,0,9
1,7,0,5,2,8,4,3,6,9
2,3,0,1,8,5,6,7,4,9
2,4,0,8,5,3,7,6,1,9
2,7,0,5,1,8,4,3,6,9
5,3,0,2,1,8,6,7,4,9
5,4,0,8,2,3,7,6,1,9
5,6,0,1,8,3,7,2,4,9
5,7,0,2,1,8,3,6,4,9
8,3,1,0,2,7,6,5,4,9
8,4,1,0,3,2,7,6,5,9
8,6,5,0,3,4,2,7,1,9
8,7,1,0,3,2,6,5,4,9
8,9,0,2
0,1,2,4,8,5,3,7,6,9
0,1,5
0,2,5
0,2,8,7,1,5,3,6,4,9
1,2,3,0,8,5,7,6,4,9
1,2,7,0,5,8,4,3,6,9
1,5,3,0,2,8,7,6,4,9
1,5,6,4,3,2,8,7,0,9
1,5,7,0,2,8,3,6,4,9
2,5,3,0,1,8,6,7,4,9
2,5,4,0,8,3,7,6,1,9
2,5,7,0,1,8,3,6,4,9
2,8,3,1,0,7,6,5,4,9
2,8,4,1,0,3,7,6,5,9
2,8,7,1,0,3,6,5,4,9
2,9,3,0,8,1,5,7,6,4
8,6,7,5,0,3,4,2,1,9
1,2,5,3,0,8,7,6,4,9
1,2,5,7,0,8,3,6,4,9
1,2,7,3,4,5,9,8,0,6
2,8,3,4,7,5,9,0,6,1
2,8,7,3,6,1,5,0,4,9
2,8,9,3,1,0,7,6,5,4
2,8,9,4,1,0,3,7,6,5
2,8,9,7,1,0,3,6,5,4
