0,1,2,3,4,5,6,7,8,9,10,11,12,13
"(0, 13)","(0, 8)","(0, 6)","(1, 11)","(2, 7)","(3, 8)","(3, 12)","(4, 5)","(5, 6)","(7, 8)","(8, 9)","(9, 13)","(9, 11)","(10, 13)"
300,27
2,3,7,8
4,0,5,6
12,2,3,8,7
2,7,3,8
4,5,0,6
6,4,5
12,2,3,8,7,4,0,6,5,1,9,11,13
0,1,13,9,11,8,4,6,5,12,3,2,7
0,4,6,5,10,13,2,8,7,9,12,3,1,11
1,3,11,9,8,4,0,6,5,13,2,7
1,3,11,9,8,2,7,10,13,0,4,6,5
1,3,11,9,8,2,7,13,0,4,6,5
1,4,11,9,8,0,6,5,13,2,7,10
1,4,11,9,8,0,6,5,13,2,7,12,3
1,2,11,9,8,7,12,3,0,13,4,6,5
1,2,11,9,8,7,12,3,6,0,13,4,5
1,2,11,9,8,7,12,3,10,13,0,4,6,5
2,3,7,8,4,0,6,5,1,9,11,13
2,3,7,8,10,9,13,0,4,6,5,1,11
10,1,13,9,11,12,0,8,3,4,6,5,2,7
10,1,13,9,11,12,0,8,3,4,6,5,7
11,2,9,8,7,10,13,0,4,6,5,12,3
12,2,3,8,7,5,0,6,1,9,11,13,10
0,1,13,9,11,8,3,4,6,5,10,2,7
1,2,11,9,8,7,3,6,0,13,4,5
1,3,11,9,8,4,0,6,5,13,2,7,10
10,1,13,9,11,6,0,8,2,7,3,4,5
