0,1,2,3,4,5,6,7,8,9,10,11,12,13
"(0, 6)","(0, 7)","(0, 10)","(1, 4)","(1, 8)","(1, 9)","(1, 12)","(2, 3)","(2, 6)","(2, 10)","(2, 11)","(3, 4)","(3, 5)","(3, 8)","(3, 9)","(3, 12)","(4, 11)","(5, 8)","(5, 10)","(5, 11)","(5, 12)","(6, 7)","(6, 9)","(7, 8)","(7, 10)","(8, 11)","(8, 13)","(10, 12)","(10, 13)","(11, 13)"
71,31
0,1,6,9,7,8,10,12,2,3,5,13,4,11
1,3,4,8,9,12,11,5,2,6,10,7,0,13
3,1,4,8,9,12,11,5,2,6,10,7,0,13
4,0,1,8,7,3,11,9,6,2,12,10,5,13
11,1,4,8,3,2,5,9,12,6,10,7,0,13
2,3,5,10,11,12,13,4,8,1,7,9,6,0
5,0,10,11,6,2,7,8,13,3,9,12,4,1
5,3,7,8,10,13,2,12,11,6,1,4,0,9
5,8,2,3,10,11,12,4,7,13,1,6,9,0
6,0,1,9,7,8,10,12,3,2,5,13,4,11
6,8,7
7,0,1,8,6,9,10,12,3,5,13,2,4,11
8,0,7,5,10,13,11,2,6,3,9,12,4,1
8,1,6,7,9,3,4,12,2,11,5,10,0,13
8,3,4,1,11,9,12,2,5,6,10,7,0,13
9,0,6,5,3,10,2,7,11,8,12,4,1,13
9,1,5,3,8,12,4,11,2,6,10,0,7,13
9,3,1,4,8,12,11,5,2,6,10,7,0,13
10,0,1,12,6,9,7,8,3,2,5,13,4,11
11,2,5,3,10,4,8,12,13,1,7,9,6,0
12,0,10,4,1,3,6,2,9,7,8,5,11,13
12,1,9,3,4,8,11,5,2,6,10,0,7,13
12,3,4,1,8,9,5,11,2,6,10,0,7,13
12,7,10
13,0,10,11,6,2,7,8,5,3,9,12,4,1
13,8,0,10,7,5,11,2,6,3,9,12,4,1
5,10,12
6,7,0,1,9,8,10,12,3,2,5,13,4,11
6,7,9
10,7,0,1,12,8,6,9,3,5,2,13,4,11
10,12,13
