0,1,2,3,4,5,6,7,8,9,10,11,12,13
"(0, 12)","(0, 4)","(0, 6)","(0, 7)","(0, 10)","(0, 5)","(0, 13)","(1, 2)","(1, 11)","(1, 9)","(1, 10)","(2, 5)","(2, 11)","(2, 6)","(2, 7)","(2, 8)","(2, 9)","(3, 7)","(3, 4)","(3, 5)","(3, 8)","(3, 11)","(4, 7)","(4, 10)","(4, 8)","(4, 13)","(4, 11)","(4, 5)","(5, 11)","(5, 6)","(6, 10)","(6, 13)","(6, 11)","(6, 7)","(7, 8)","(7, 13)","(7, 10)","(7, 12)","(9, 10)","(9, 12)","(10, 11)","(11, 12)"
108,53
2,0,5,6,7,3,4,8,11,10,13,12,9,1
3,0,7,4,5,2,6,11,8,10,13,12,9,1
9,0,10,12,11,7,2,1,5,4,6,3,8,13
11,0,10,5,12,4,6,9,7,13,1,2,3,8
0,4,3,7,5,2,6,11,8,10,13,12,9,1
0,5,3,4,7,2,6,11,8,10,13,12,9,1
0,6,4,5,10,13,11,7,2,3,12,8,1,9
0,7,3,4,5,2,6,11,8,10,13,12,9,1
0,8,4,7,9,12,10,2,11,6,1,5,3,13
1,2,4,11,10,5,7,8,12,6,3,9,0,13
1,8,2,7,10,4,9,11,6,5,0,13,12,3
1,9,0,10,12,11,7,2,5,4,6,3,8,13
4,3,2,7,8,11,5,6,10,12,0,13,9,1
5,2,0,6,7,4,3,8,11,10,13,12,9,1
6,2,4,0,5,10,13,11,7,8,12,3,9,1
6,11,1,2,10,7,9,4,3,12,0,13,5,8
7,2,5,4,3,0,6,8,11,10,13,12,9,1
7,3,2,5,8,11,6,0,4,10,12,13,9,1
8,2,0,7,4,5,6,3,11,10,13,12,9,1
10,8,4,7
10,9,0,12,11,7,2,1,5,4,6,3,8,13
10,11,0,5,12,4,6,9,7,13,1,2,3,8
11,1,0,10,5,12,4,6,9,7,2,13,3,8
12,0,6,11,7,10,5,4,2,3,9,1,13,8
13,0,3,7,4,5,2,6,11,8,10,12,9,1
13,3,7,4,6,5,11,0,10,2,12,8,1,9
0,7,4,6,10,13,11,5,12,2,3,9,8,1
0,10,4,6,7,13,11,5,3,2,12,8,1,9
0,10,6,5,11,4,12,7,13,9,3,2,1,8
0,10,7,3,4,5,11,6,2,12,13,1,9,8
1,9,2,7,10,12,11,6,0,4,3,5,8,13
1,10,11,3,4,7,2,6,12,9,5,8,0,13
4,3,5,10,7,11,6,0,2,12,13,8,1,9
4,5,11,2,7,8,3,0,6,10,12,13,9,1
4,7,3,6,0,10,13,11,5,12,2,9,8,1
4,8,3,6,7,0,10,13,11,5,2,12,9,1
4,10,11,0,5,12,6,7,9,13,3,2,1,8
6,2,5,10,1,11,7,9,0,4,12,3,13,8
6,5,11,1,2,10,7,9,4,0,3,12,13,8
6,7,0,9,2,10,12,5,1,11,3,4,8,13
6,7,2,5,4,3,0,10,13,11,8,9,1,12
6,7,10
6,11,2,4,0,5,10,13,7,8,12,3,9,1
6,13,0,5,4,7,10,11,3,2,12,8,1,9
7,8,2,5,4,3,0,6,11,10,13,12,9,1
7,8,3,2,5,11,6,0,4,10,12,13,9,1
7,12,0,11,4,3,2,6,10,5,8,13,9,1
7,13,0,3,4,5,2,6,11,8,10,12,9,1
11,1,2,4,10,5,7,8,9,6,0,3,12,13
13,0,4,6,7,10,11,5,3,2,12,8,1,9
0,10,4,7,6,13,11,5,12,2,3,9,1,8
4,7,3,8,12,0,11,5,6,10,2,13,9,1
4,7,13,0,6,10,11,5,2,12,3,8,1,9
