0,1,2,3,4,5,6,7,8,9,10,11,12,13
"(0, 2)","(0, 4)","(0, 9)","(1, 4)","(1, 5)","(1, 6)","(1, 8)","(1, 12)","(2, 4)","(2, 5)","(2, 6)","(2, 7)","(2, 9)","(2, 13)","(3, 6)","(3, 7)","(3, 8)","(3, 9)","(3, 11)","(3, 12)","(4, 5)","(4, 8)","(4, 9)","(4, 11)","(4, 13)","(5, 10)","(5, 13)","(6, 9)","(6, 10)","(7, 13)","(8, 11)","(8, 12)","(8, 13)","(9, 10)","(9, 11)","(9, 12)","(11, 12)","(11, 13)"
83,35
1,3,6,8,12,9,4,11,2,5,7,13,10
7,1,2,4,13,5,6,3,8,12,9,11,10
0,1,4,7,2,5,6,13,8,3,12,9,10,11
0,2,1,4,5,6,9,10,12,8,11,3,13,7
0,3,9,1,4,6,8,12,11,2,13,7,5,10
1,2,4,5,6,9,10,12,8,11,3,13,7
5,0,2,4,6,1,10,9,12,8,11,3,13,7
5,1,0,2,4,6,10,9,12,8,11,3,13,7
5,2,3,1,6,10,8,4,13,12,7,9,11
5,0,2,4,13,6,1,10,9,8,12,11,3,7
6,0,2,9,1,4,5,12,8,11,10,3,13,7
6,1,0,2,9,4,5,12,10,3,8,11,13,7
7,0,2,1,4,13,5,6,3,8,12,9,11,10
8,1,3,6,12,9,4,11,2,13,5,7,10
8,3,0,4,9,11,12,1,6,2,13,7,5,10
9,0,1,4,6,12,2,8,11,3,5,13,7,10
10,0,9,11,4,5,2,13,6,3,1,8,12,7
10,3,6,9,0,2,5,7,1,8,4,13,12,11
11,0,4,9,1,8,12,6,3,2,7,13,5,10
12,0,9,1,4,6,8,11,2,3,13,5,7,10
12,1,0,9,4,6,8,11,3,2,7,5,13,10
12,5,1,0,9,2,4,10,6,8,11,13,3,7
12,7,3,0,9,2,6,1,4,5,13,8,11,10
12,8,0,9,4,3,11,1,6,2,13,7,5,10
13,0,2,4,3,7,8,11,9,6,12,1,5,10
13,1,4,5,8,0,2,6,9,10,3,11,12,7
13,2,3,7,8,11,6,9,4,1,12,5,10
13,0,2,4,7,3,8,11,9,6,12,1,5,10
0,4,2,3,9,8,11,6,7,12,13,1,5,10
0,4,9,1,6,12,2,3,8,11,5,7,13,10
1,4,5,0,2,6,9,10,12,8,11,3,13,7
4,8,11,0,9,3,12,1,6,2,13,7,5,10
9,0,2,1,4,6,12,5,8,11,3,10,13,7
12,8,1,0,9,4,3,11,6,2,13,5,7,10
0,4,9,2,10,5,6,1,12,8,11,3,13,7
