0,1,2,3,4,5,6,7,8,9,10,11,12,13
"(0, 5)","(0, 6)","(0, 7)","(0, 8)","(0, 9)","(0, 11)","(0, 12)","(1, 5)","(1, 7)","(1, 8)","(1, 9)","(1, 10)","(1, 11)","(1, 12)","(1, 13)","(2, 5)","(2, 6)","(2, 7)","(3, 5)","(3, 6)","(4, 5)","(4, 6)","(4, 7)","(4, 13)","(5, 6)","(5, 8)","(5, 9)","(5, 10)","(5, 11)","(6, 7)","(6, 8)","(6, 10)","(6, 11)","(6, 12)","(7, 8)","(7, 9)","(7, 10)","(7, 11)","(7, 12)","(8, 9)","(8, 13)","(9, 10)","(10, 12)","(11, 13)","(12, 13)"
106,55
0,4,5,6,7,1,2,8,9,10,11,12,13
1,4,5,7,13,0,2,6,8,9,10,11,12
2,4,5,6,7,0,1,8,9,10,11,12,13
3,4,5,6
4,3,5,6
10,0,5,6,7,9,12,1,2,4,8,11,13
13,0,8,11,12,1,5,6,7,9,10,4,2
0,1,5,7,8,9,11,12,2,4,6,10,13
0,3,5,6,7,1,2,4,8,9,10,11,12,13
0,5,4,6,7,1,2,8,9,10,11,12,13
1,3,5,8,6,7,10,11,12,0,2,4,9,13
2,5,4,6,7,0,1,8,9,10,11,12,13
4,5,3,6
5,10,0,6,7,9,12,8,1,2,4,11,13
6,0,4,5,7,1,2,8,9,10,11,12,13
6,2,4,5,7,0,1,8,9,10,11,12,13
6,3,4,5
6,4,3,5
6,10,4,5,7,0,1,2,8,9,11,12,13
7,0,5,1,2,4,6,8,9,10,11,12,13
7,1,6,5,8,10,11,12,0,2,4,9,13
7,2,5,0,1,4,6,8,9,10,11,12,13
7,3,6,11,5,0,1,2,4,8,9,10,12,13
7,4,5,0,1,2,6,8,9,10,11,12,13
8,0,4,5,6,7,13,1,2,9,10,11,12
8,1,4,5,6,7,13,0,2,9,10,11,12
8,3,5,6
9,0,4,5,7,6,1,2,8,10,11,12,13
9,1,4,5,7,13,0,2,6,8,10,11,12
9,3,5,0,6,7,8,10,1,2,4,11,12,13
10,1,4,5,6,7,13,0,2,8,9,11,12
11,0,4,5,6,7,13,1,2,8,9,10,12
11,1,4,5,6,7,13,0,2,8,9,10,12
11,3,5,6
12,0,5,1,6,10,7,8,9,11,2,4,13
12,1,6,5,7,8,10,11,0,2,4,9,13
12,3,6,5,0,1,10,7,8,9,11,2,4,13
13,1,7,4,8,11,12,5,6,0,2,9,10
1,5,8,7,0,2,4,6,9,10,11,12,13
5,8,0,4,6,7,13,11,12,1,2,9,10
5,9,0,7,1,2,4,6,8,10,11,12,13
5,9,10,0,6,7,12,8,1,2,4,11,13
5,10,1,8,6,7,9,11,12,0,2,4,13
5,11,0,4,6,7,13,8,12,1,2,9,10
6,7,0,5,1,2,4,8,9,10,11,12,13
6,7,2,11,5,0,1,4,8,9,10,12,13
6,7,8
6,7,10,11,1,5,8,12,0,2,4,9,13
6,7,11
6,8,0,4,5,7,13,1,2,9,10,11,12
6,11,0,4,5,7,13,1,2,8,9,10,12
6,12,0,5,1,10,7,8,11,9,2,4,13
7,1,8,6,5,10,11,12,0,2,4,9,13
12,1,7,9,0,10,5,8,11,6,2,4,13
13,1,8,7,4,11,12,5,6,0,2,9,10
