0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"(0, 1)","(0, 2)","(0, 4)","(0, 5)","(0, 7)","(0, 9)","(0, 10)","(0, 11)","(0, 14)","(0, 15)","(0, 16)","(0, 17)","(0, 18)","(0, 19)","(1, 2)","(1, 6)","(1, 7)","(1, 8)","(1, 9)","(1, 10)","(1, 12)","(1, 17)","(1, 19)","(2, 3)","(2, 5)","(2, 6)","(2, 7)","(2, 8)","(2, 9)","(2, 10)","(2, 11)","(2, 14)","(2, 16)","(2, 18)","(3, 5)","(3, 7)","(3, 8)","(3, 9)","(3, 10)","(3, 11)","(3, 12)","(3, 14)","(3, 16)","(3, 18)","(3, 19)","(4, 5)","(4, 7)","(4, 8)","(4, 9)","(4, 10)","(4, 11)","(4, 12)","(4, 13)","(4, 14)","(4, 16)","(4, 17)","(4, 18)","(4, 19)","(5, 6)","(5, 7)","(5, 8)","(5, 9)","(5, 10)","(5, 11)","(5, 12)","(5, 14)","(5, 17)","(5, 18)","(5, 19)","(6, 8)","(6, 9)","(6, 10)","(6, 12)","(6, 13)","(6, 15)","(6, 17)","(6, 18)","(6, 19)","(7, 8)","(7, 9)","(7, 11)","(7, 12)","(7, 13)","(7, 14)","(7, 15)","(7, 16)","(7, 17)","(7, 18)","(8, 9)","(8, 10)","(8, 12)","(8, 13)","(8, 14)","(8, 16)","(8, 17)","(8, 18)","(9, 10)","(9, 14)","(9, 15)","(9, 17)","(10, 11)","(10, 13)","(10, 14)","(10, 15)","(10, 16)","(10, 18)","(10, 19)","(11, 12)","(11, 14)","(11, 15)","(11, 16)","(11, 17)","(11, 18)","(12, 16)","(12, 18)","(13, 14)","(13, 15)","(13, 16)","(13, 17)","(13, 18)","(14, 15)","(14, 16)","(14, 17)","(14, 18)","(14, 19)","(15, 17)","(15, 18)","(15, 19)","(17, 19)","(18, 19)"
1347,884
3,1,2,7,8,9,10,12,19,5,6,11,16,18,0,14,4,13,15,17
6,0,1,2,5,9,10,15,17,18,19,7,8,12,11,14,3,4,13,16
8,0,1,2,4,5,7,9,10,14,16,17,18,12,19,6,11,3,13,15
12,0,1,4,5,7,11,16,18,8,9,10,17,19,2,6,3,14,13,15
13,3,7,8,10,14,16,18,0,1,2,4,5,9,11,15,12,17,19,6
0,4,3,2,5,7,9,10,11,14,16,18,19,8,12,1,6,13,15,17
0,5,1,2,6,7,8,9,10,12,17,19,3,11,16,18,14,15,13,4
0,11,1,2,7,10,12,17,3,5,6,8,16,18,9,14,4,13,15,19
