0,1,2,3,4,5,6,7,8,9,10,11
"(0, 1)","(0, 11)","(0, 2)","(0, 10)","(1, 3)","(1, 11)","(1, 5)","(2, 4)","(2, 11)","(2, 6)","(3, 4)","(3, 5)","(4, 6)","(4, 7)","(5, 6)","(5, 7)","(5, 10)","(5, 9)","(6, 8)","(7, 8)","(7, 9)","(8, 9)","(8, 10)","(9, 10)"
76,20
3,0,1
5,0,1,10
7,0,8,10,5,9,1,4,2,6,3,11
0,5,1,10,2,6,11,8,7,9,4,3
0,6,2,3,1,5,4,11,10,7,8,9
0,8,10,7,1,5,2,4,9,6,11,3
0,9,10,11,5,1,2,8,6,7,4,3
1,7,5,8,0,10,6,9,2,4,11,3
3,0,1,5,10,8,4,6,7,9,2,11
3,0,1,9,5,10,8,4,6,7,2,11
4,0,2,6,10,3,5,7,8,9,1,11
5,0,1,10,9,2,6,11,8,7,4,3
5,0,1,10,11,2,6,8,7,9,4,3
6,0,2,11,3,5,4,1,10,7,8,9
8,6,1,7,5,9,10,0,4,2,3,11
9,3,5,0,10,1
9,5,0,10,1
10,2,0,9,4,7,6,5,8,3,1,11
10,3,5,11,0,1,8,4,6,7,9,2
11,4,2,6
