0,1,2,3,4,5,6,7,8,9
"(0, 9)","(0, 7)","(0, 4)","(0, 6)","(0, 1)","(0, 2)","(1, 2)","(1, 9)","(1, 8)","(1, 5)","(1, 7)","(1, 3)","(1, 6)","(2, 4)","(2, 9)","(2, 7)","(2, 8)","(2, 3)","(3, 4)","(3, 6)","(4, 8)","(4, 9)","(4, 5)","(5, 7)","(5, 9)","(6, 7)","(6, 8)","(6, 9)","(7, 9)","(8, 9)"
92,39
3,0,4,6,1,2,8,9,5,7
5,0,7,1,4,9,2,8,3,6
8,0,6,1,4,2,9,3,7,5
0,4,1,3,2,8,9,5,6,7
1,3,0,4,6,2,8,9,5,7
1,5,4,2,9,8,0,3,7,6
1,8,0,6,4,2,9,3,7,5
2,3,0,4,6,1,8,9,5,7
2,8,0,6,1,4,9,7,3,5
4,3,1,2,0,8,9,5,7,6
4,5,8,1,9,2,0,3,7,6
4,8,1,3,2,0,9,5,6,7
6,3,0,4,1,2,8,9,5,7
6,8,0,1,4,2,9,5,3,7
7,5,0,1,4,9,2,8,3,6
9,5,0,7,1,4,2,8,3,6
9,8,0,6,1,4,2,3,7,5
0,1,2,6,9,7,8,3,4,5
0,1,6,5,9,7,4,2,3,8
0,2,4,8,9,6,1,7,3,5
0,9,4,1,3,2,8,5,6,7
1,2,8,7,6,9,3,0,4,5
1,7,5,4,2,9,8,0,3,6
1,9,5,4,2,8,0,3,7,6
1,9,8,0,6,4,2,3,7,5
2,4,8,7,0,9,5,6,1,3
2,9,8,0,6,1,4,7,3,5
4,9,8,1,3,2,0,5,6,7
6,8,1,7,2,9,0,3,4,5
6,9,8,0,1,4,2,5,3,7
7,9,5,0,1,4,2,8,3,6
0,1,2,7,8,9,4,6,3,5
0,1,6,7,8,9,4,2,3,5
0,1,9,2,6,7,8,3,4,5
0,1,9,6,5,7,4,2,3,8
0,2,7,9
0,6,7,9
1,2,7,9
1,7,9,5,4,2,8,0,3,6
