0,1,2,3,4,5,6,7,8,9,10,11,12
"(0, 12)","(0, 2)","(0, 4)","(0, 9)","(0, 6)","(0, 8)","(0, 11)","(1, 12)","(1, 10)","(1, 9)","(1, 2)","(1, 8)","(1, 6)","(1, 7)","(2, 3)","(2, 12)","(2, 8)","(2, 10)","(2, 9)","(2, 4)","(2, 7)","(3, 4)","(3, 6)","(3, 7)","(3, 9)","(3, 8)","(4, 6)","(4, 7)","(4, 10)","(4, 9)","(4, 12)","(5, 6)","(5, 7)","(5, 9)","(5, 11)","(6, 7)","(6, 9)","(6, 10)","(6, 11)","(6, 12)","(7, 9)","(7, 11)","(7, 12)","(7, 8)","(8, 12)","(8, 9)","(8, 11)","(9, 11)","(9, 10)","(10, 11)","(10, 12)","(11, 12)"
184,107
0,1,12,2,9,6,8,11,10,7,4,3
1,0,12,9,2,8,6,11,10,7,4,3
3,1,2,6,7,9,8,0,12,10,4,11
7,0,6,9,4,11,12,8,2,3,1,10
10,0,11,12,6,4,2,9,7,8,1,3
0,1,12,2,9,6,8,11,10,7,4,3
0,2,3,4,9,6,8,7,12,10,1,11
1,2,6,3,0,12,10,9,4,7,8,11
2,3,1,6,7,9,8,4,10,0,12,11
2,7,0,6,9,4,11,12,8,3,10,1
4,0,1,6,7,10,9,2,12,8,3,11
4,3,1,6,7,10,9,2,12,8,0,11
4,5,6,7,9,2,3,10,0,1,12,8,11
5,3,6,7,9,2,4,10,0,1,12,11,8
6,0,3,2,4,9,8,12,1,10,7,11
6,1,5,9,7
6,3,2,7,4,9,10,0,1,12,11,8
6,7,0,9,4,11,12,8,2,1,10,3
6,10,0,11,12,4,2,9,7,8,1,3
7,1,0,6,9,4,11,12,8,2,3,10
8,0,1,12,2,9,6,11,10,7,4,3
8,1,0,12,9,2,6,11,10,7,4,3
8,3,1,2,6,7,9,0,12,10,4,11
8,7,0,6,9,4,11,12,2,3,1,10
9,0,1,12,2,6,8,11,10,7,4,3
9,1,0,12,2,8,6,11,10,7,4,3
9,3,1,2,6,7,8,0,12,10,4,11
9,7,0,6,4,11,12,8,2,3,1,10
9,10,0,11,12,6,4,2,7,8,1,3
10,1,0,11,12,6,4,2,9,8,7,3
11,0,5,9,6
11,5,0,6,9
11,10,5,6,9
12,0,1,2,9,6,8,3,10,4,7,11
12,1,0,9,2,8,6,7,4,11,10,3
0,2,4,8,3,7,9,12,6,11,1,10
1,2,7,6,3,0,12,10,9,4,8,11
2,3,4,6,0,12,1,10,9,7,8,11
2,4,7,1,6,10,9,12,3,0,11,8
2,4,10,8,3,7,0,9,12,11,1,6
4,6,0,8,3,7,9,2,12,11,1,10
4,6,3,5,7,9
4,6,7,2,3,9,10,0,1,12,8,11
5,6,7,0,9,11,4,12,8,2,1,10,3
6,1,7,8,3,9,0,11,12,2,4,10
6,9,0,3,2,4,8,12,1,10,7,11
6,9,1,5,7
6,9,3,2,7,4,10,0,1,12,11,8
6,9,7,0,4,11,12,8,2,10,3,1
6,9,10,0,11,12,4,2,7,8,1,3
6,10,1,8,7,3,9,0,11,12,2,4
6,11,0,8,7,3,9,1,12,4,2,10
6,11,10,8,7,3,9,0,1,12,2,4
6,12,0,3,2,8,7,4,9,1,10,11
6,12,1,4,10,9,2,7,11,0,8,3
6,12,7,0,9,4,11,8,2,1,10,3
8,0,2,7,12,4,9,6,11,10,1,3
8,1,2,6,12,0,7,3,9,11,10,4
8,2,3,6,12,1,0,7,9,11,10,4
8,2,7,0,6,9,4,11,12,3,1,10
8,7,1,0,6,9,4,11,12,2,3,10
9,0,2,3,4,6,8,7,12,10,1,11
9,1,2,6,3,0,12,10,4,7,8,11
9,2,3,1,6,7,8,4,10,0,12,11
9,2,7,0,6,4,11,12,8,3,10,1
9,4,0,1,6,7,10,2,12,8,3,11
9,4,3,1,6,7,10,2,12,8,0,11
9,7,1,0,6,4,11,12,8,2,3,10
9,8,0,1,12,2,6,11,10,7,4,3
9,8,1,0,12,2,6,11,10,7,4,3
9,8,3,1,2,6,7,0,12,10,4,11
9,8,7,0,6,4,11,12,2,3,1,10
9,10,1,0,11,12,6,4,2,8,7,3
9,11,0,5,6
9,11,5,0,6
9,11,10,5,6
10,1,2,8,11,12,9,7,6,0,4,3
11,7,5,4,10,12,6,9,0,1,2,8,3
11,8,0,7,12,2,4,9,6,10,1,3
11,8,7,6,12,1,0,3,9,2,4,10
11,12,0,4,10,7,6,9,2,1,8,3
12,0,2,3,8,7,4,6,9,1,11,10
12,1,2,6,3,0,10,9,4,7,8,11
12,2,7,0,6,9,4,11,8,3,10,1
12,2,10,0,11,6,4,9,7,8,3,1
12,4,0,1,6,7,10,9,2,8,3,11
12,4,7,1,6,10,9,2,3,0,11,8
12,4,10,1,6,7,9,2,3,0,11,8
1,2,7,8,6,3,0,12,10,9,4,11
2,3,4,7,8,0,9,12,6,11,1,10
2,4,9,3,6,0,12,1,10,7,8,11
2,4,9,7,1,6,10,12,3,0,11,8
4,6,3,7,8,0,9,2,12,11,1,10
6,9,3,4,5,7
6,9,4,7,2,3,10,0,1,12,8,11
6,9,5,7,0,11,4,12,8,2,10,3,1
6,11,5,7,8,3,9,0,1,12,2,4,10
8,2,3,7,6,12,1,0,9,11,10,4
8,2,9,1,6,12,0,7,3,11,10,4
8,2,9,3,6,12,1,0,7,11,10,4
8,2,9,7,0,6,4,11,12,3,1,10
8,2,12,1,6,0,7,3,9,11,10,4
8,2,12,7,0,6,9,4,11,3,1,10
9,1,2,7,6,3,0,12,10,4,8,11
9,8,7,1,0,6,4,11,12,2,3,10
9,11,7,5,4,10,12,6,0,1,2,8,3
12,1,2,7,6,3,0,10,9,4,8,11
