0,1,2,3,4,5,6,7,8,9,10
"(0, 4)","(0, 3)","(0, 1)","(0, 6)","(1, 3)","(1, 10)","(1, 9)","(1, 6)","(2, 4)","(2, 7)","(3, 5)","(3, 4)","(3, 7)","(4, 6)","(4, 9)","(5, 7)","(5, 10)","(5, 8)","(6, 10)","(7, 8)","(7, 9)","(8, 9)"
50,19
2,0,4
8,0,7,3,5,9,1,4,2,10,6
9,0,1,4,3,6,7,2,5,10,8
10,0,1,6
0,1,2,4,3,9,6,7,10,5,8
0,2,4,5,3,7,9,1,8,6,10
0,4,1,6,3,9,7,2,5,10,8
1,9,7,3,4,6,0,2,10,5,8
4,5,3
4,9,7,2,3,1,6,0,10,5,8
5,0,3,2,7,4,9,8,1,10,6
5,2,7,6,10,4,3,9,1,0,8
6,2,4
7,0,3,4,2,9,1,6,10,5,8
7,2,4,3,9,1,6,0,10,5,8
0,3,4,2,7,9,1,6,10,5,8
1,6,0,9,4,3,7,5,10,2,8
1,6,10
4,6,0,1,3,9,7,2,5,10,8
