0,1,2,3,4,5,6,7,8
"(0, 1)","(0, 8)","(0, 2)","(0, 6)","(0, 4)","(0, 5)","(1, 2)","(1, 8)","(1, 7)","(1, 6)","(1, 5)","(1, 3)","(2, 4)","(2, 5)","(2, 7)","(3, 6)","(3, 8)","(3, 4)","(3, 7)","(3, 5)","(4, 5)","(4, 7)","(5, 6)","(5, 7)","(6, 8)","(6, 7)","(7, 8)"
80,42
3,0,6,8,4,1,5,7,2
7,0,5,4,1,2,6,8,3
0,4,1,5,2,7,3,6,8
1,3,4,0,2,7,5,8,6
1,7,0,5,4,2,6,8,3
2,7,0,5,4,1,6,8,3
4,3,2,7,1,5,0,8,6
4,7,1,5,2,3,0,6,8
5,3,0,6,8,4,1,7,2
5,7,0,4,1,2,6,8,3
6,3,0,8,4,1,5,7,2
6,7,0,5,4,1,2,8,3
8,3,0,6,4,1,5,7,2
8,7,0,5,4,1,2,6,3
0,1,2,4,7,5,3,6,8
0,1,6,4,2,7,5,3,8
0,1,8,5,6,3,7,4,2
0,2,4,3,1,8,6,5,7
0,5,4,1,2,7,3,6,8
0,5,6
0,6,8
1,2,7,4,0,5,3,8,6
1,3,5,4,0,2,7,8,6
1,5,7,0,4,2,6,8,3
1,6,3,4,0,2,7,5,8
1,6,7,2,5,0,8,4,3
1,8,3,5,0,6,7,4,2
1,8,7,2,0,6,4,5,3
2,4,7,3,1,5,0,8,6
2,5,7,0,4,1,6,8,3
4,3,5,6,7,0,1,2,8
4,5,7,1,2,3,0,6,8
5,6,3,0,8,4,1,7,2
5,6,7,0,4,1,2,8,3
6,8,3,0,4,1,5,7,2
6,8,7,0,5,4,1,2,3
1,3,5,6,4,0,2,7,8
1,5,6,7,2,0,8,4,3
1,6,7,3,4,0,2,5,8
1,6,8,3,5,0,7,4,2
1,6,8,7,2,5,0,3,4
1,8,7,3,5,0,6,2,4
