0,1,2,3,4,5,6,7,8,9
"(0, 1)","(0, 9)","(0, 2)","(0, 8)","(0, 3)","(0, 4)","(1, 2)","(1, 3)","(1, 9)","(1, 8)","(1, 5)","(1, 7)","(2, 4)","(2, 5)","(2, 6)","(3, 5)","(3, 6)","(3, 8)","(3, 4)","(3, 7)","(4, 6)","(4, 8)","(4, 5)","(5, 6)","(5, 9)","(6, 7)","(6, 8)","(6, 9)","(7, 8)","(7, 9)"
71,33
5,0,3,2,1,4,9,6,7,8
6,1,5,7,8,3,9,2,4,0
7,0,8,9,1,3,6,5,4,2
0,4,1,2,3,8,5,6,9,7
0,9
1,5,0,3,2,4,9,6,7,8
1,7,2,6,5,8,3,9,4,0
2,5,0,3,1,4,9,6,7,8
2,6,3,1,0,4,5,9,8,7
3,5,0,2,1,4,9,6,8,7
3,6,2,1,5,0,4,9,8,7
3,7,0,8,9,1,6,5,4,2
4,5,1,2,3,8,0,6,9,7
4,6,1,2,3,8,0,5,7,9
8,6,2,0,1,4,9,3,5,7
8,7,0,9,1,3,6,5,4,2
9,5,0,3,2,1,4,6,7,8
9,6,4,0,5,2,8,3,1,7
9,7,0,8,1,3,6,5,4,2
0,1,3,7,9,8,6,5,4,2
0,1,8,2,6,4,3,9,5,7
0,3,4,7,1,9,8,6,2,5
0,8,4,2,6,1,3,9,5,7
1,3,7,6,2,9,8,5,0,4
1,8,7,2,6,0,4,5,3,9
2,4,5,3,1,0,6,8,9,7
2,4,6,3,1,0,5,8,9,7
3,4,5,2,1,0,6,8,9,7
3,4,6,2,1,5,0,8,9,7
3,8,6,2,1,5,0,4,9,7
3,8,7,0,9,1,6,5,4,2
4,8,6,2,0,1,9,3,5,7
3,4,8,6,5,1,0,2,9,7
