0,1,2,3,4,5,6,7,8,9,10,11,12
"(0, 2)","(0, 11)","(0, 6)","(0, 7)","(1, 2)","(1, 8)","(1, 5)","(1, 9)","(1, 12)","(2, 3)","(2, 5)","(2, 9)","(2, 11)","(3, 4)","(3, 5)","(3, 6)","(4, 5)","(4, 6)","(4, 7)","(5, 6)","(5, 11)","(5, 12)","(5, 7)","(6, 7)","(6, 8)","(6, 9)","(6, 10)","(7, 8)","(7, 9)","(7, 10)","(8, 10)","(8, 11)","(8, 12)","(9, 10)","(9, 11)","(9, 12)","(10, 11)","(10, 12)","(11, 12)"
75,45
0,1,2
1,0,2
3,0,2,6,5,9,11,7,1,12,10,8,4
5,0,6,2,11,7,3,9,8,10,4,12,1
8,0,7,6,11,9,10,5,12,1,2,3,4
9,0,7,11,6,2,8,10,5,3,1,12,4
10,1,9,8,12,7,11,6,5,0,2,3,4
2,3,0,6,5,9,11,7,1,12,10,8,4
2,4,3,5,0,6,7,11,9,8,10,12,1
2,5,0,6,11,7,3,9,8,10,4,12,1
2,9,0,7,11,6,5,8,10,3,1,12,4
3,1,2,5,0,6,11,7,8,9,10,12,4
4,1,5,0,6,7,2,11,8,9,3,10,12
4,3,0,6,7,2,5,9,11,1,12,10,8
5,1,0,6,2,11,7,8,9,3,10,12,4
6,0,3,2,5,9,11,7,1,12,10,8,4
6,3,2,5,9,0,1,11,12,7,8,10,4
6,5,2,3,9,0,7,11,12,1,4,8,10
6,8,2,5,3,9,0,11,1,12,7,10,4
6,9,3,2,0,5,11,7,1,12,10,8,4
6,10,2,5,3,9,0,11,12,7,1,8,4
7,0,3,6,4,5,2,9,11,12,1,10,8
8,1,11,2,5,9,12,6,7,10,0,3,4
9,1,0,7,11,6,2,8,5,10,12,3,4
11,0,1,12,9,8,5,2,7,6,10,3,4
11,3,5,2,1,12,9,8,6,7,10,0,4
11,4,5,1,12,9,8,2,7,6,10,3,0
11,5,1,12,9,8,2,7,6,10,0,3,4
12,1,3,5,2,9,11,6,7,8,10,0,4
12,3,5,2,11,9,1,8,6,7,10,0,4
12,4,5,0,11,6,7,2,10,9,8,3,1
12,5,0,11,6,2,7,10,9,8,3,1,4
1,2,5,0,6,11,7,8,9,3,10,12,4
2,11,5,1,12,9,8,7,6,10,0,3,4
6,3,4,2,5,9,0,1,11,12,7,8,10
6,4,5,2,3,9,0,7,11,12,1,8,10
6,5,3,2,9,0,7,11,12,1,4,8,10
6,7,0,3,4,5,2,11,9,10,8,12,1
6,8,3,9,7,10,11,1,12,2,4,5,0
6,9,4,7,8,10,11,12,1,0,5,2,3
6,10,3,7,4,5,11,12,9,0,8,2,1
7,4,5,2,9,0,3,6,11,12,1,8,10
12,5,1,3,2,9,11,7,6,8,10,4,0
6,3,4,5,2,9,0,7,11,12,1,8,10
6,4,7,5,2,3,9,0,11,12,1,10,8
