0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"(0, 5)","(0, 6)","(0, 8)","(0, 9)","(0, 10)","(0, 11)","(0, 12)","(1, 2)","(1, 6)","(1, 10)","(1, 11)","(1, 12)","(1, 13)","(1, 14)","(1, 17)","(1, 19)","(2, 7)","(2, 8)","(2, 11)","(2, 13)","(2, 14)","(2, 15)","(2, 16)","(2, 17)","(2, 18)","(2, 19)","(3, 4)","(3, 9)","(3, 10)","(3, 12)","(3, 14)","(3, 19)","(4, 5)","(4, 8)","(4, 12)","(4, 14)","(4, 17)","(4, 18)","(4, 19)","(5, 6)","(5, 8)","(5, 9)","(5, 10)","(5, 11)","(5, 12)","(5, 15)","(6, 9)","(6, 10)","(6, 12)","(6, 15)","(6, 16)","(6, 19)","(7, 12)","(7, 14)","(7, 15)","(8, 9)","(8, 11)","(8, 14)","(8, 17)","(8, 18)","(9, 11)","(9, 12)","(9, 15)","(9, 18)","(9, 19)","(10, 12)","(10, 13)","(10, 14)","(10, 18)","(10, 19)","(11, 12)","(11, 15)","(12, 13)","(12, 14)","(12, 17)","(12, 18)","(13, 14)","(13, 15)","(13, 17)","(13, 19)","(14, 15)","(14, 18)","(14, 19)","(15, 16)","(15, 19)"
214,129
0,1,6,10,11,12,5,9,15,19,3,18,2,13,14,7,4,8,16,17
1,0,6,10,11,12,5,9,15,19,3,18,2,13,14,7,4,8,16,17
3,1,10,12,14,19,4,6,9,13,17,5,18,8,15,11,0,2,7,16
4,2,8,14,17,18,19,9,1,12,13,10,3,5,11,15,6,0,7,16
14,0,8,10,12,5,18,4,9,11,17,15,2,3,19,6,1,13,7,16
15,1,2,6,11,13,14,19,16,0,5,9,12,10,8,4,18,3,7,17
17,0,8,12,4,5,9,11,14,18,3,19,10,15,1,2,13,6,7,16
18,1,2,10,12,14,13,19,7,11,17,15,4,9,3,6,8,0,5,16
19,0,6,9,10,3,5,12,18,4,14,15,8,1,13,2,17,11,7,16
1,2,10,13,14,18,19,12,4,9,7,11,17,3,6,8,5,15,0,16
2,7,6,1,15,16,19,12,14,11,13,5,9,3,4,10,17,18,8,0
4,3,6,5,12,19,9,10,15,1,13,14,8,18,0,7,11,2,17,16
5,0,4,8,12,9,11,14,17,18,3,19,15,1,2,10,13,6,7,16
5,4,7,12,15,14,6,9,11,13,19,8,10,1,0,3,18,2,17,16
5,15,4,14,19,8,10,12,6,9,2,11,0,18,17,13,3,7,1,16
5,16,6,15,8,2,0,9,11,14,1,19,18,10,12,3,4,13,17,7
6,0,4,5,12,19,8,9,10,15,1,3,13,14,11,17,18,2,7,16
6,1,9,11,12,19,0,5,15,2,3,4,10,13,14,8,7,16,18,17
6,15,4,5,12,19,14,9,10,8,7,11,13,1,3,18,0,2,17,16
6,19,0,9,10,3,5,12,18,4,14,15,8,1,13,2,17,11,7,16
7,3,12,14,2,19,1,11,13,17,18,15,4,6,9,10,8,5,16,0
7,4,12,14,2,8,17,18,19,1,11,13,0,5,9,10,15,3,6,16
7,10,12,14,2,1,13,18,19,11,17,15,4,9,8,3,6,0,5,16
8,0,1,2,11,14,17,6,10,12,15,16,19,13,18,7,5,9,4,3
8,4,3,9,14,5,12,18,19,15,10,6,0,11,17,1,13,7,2,16
8,14,1,2,11,17,12,15,4,13,0,5,9,18,7,6,19,10,3,16
8,16,2,15,5,9,11,14,6,4,10,12,18,19,3,1,0,17,13,7
8,17,1,2,11,14,12,15,4,13,0,5,9,18,7,6,19,10,3,16
8,18,1,2,11,14,17,10,12,13,19,7,9,15,0,5,4,3,6,16
9,0,4,3,5,8,12,18,19,10,14,6,15,11,17,2,1,13,16,7
9,3,10,0,5,6,12,18,19,8,4,15,1,13,14,2,11,17,7,16
9,15,4,3,5,8,12,18,19,14,10,6,2,11,0,17,7,13,1,16
9,16,6,15,4,3,5,8,12,18,19,2,14,17,10,11,0,7,13,1
9,18,7,12,15,2,14,5,6,11,13,1,17,8,19,3,4,10,16,0
9,19,2,8,11,15,18,4,14,5,1,12,10,3,17,6,13,7,0,16
10,0,4,3,5,12,14,18,19,8,9,15,6,1,13,11,17,2,7,16
10,1,5,6,11,12,0,9,15,3,18,19,13,14,2,7,4,8,16,17
10,3,6,9,12,19,0,5,18,1,4,13,14,8,11,15,2,17,7,16
11,0,1,6,10,12,5,9,15,19,3,18,2,13,14,7,4,8,16,17
11,1,0,6,10,12,5,9,15,19,3,18,2,13,14,7,4,8,16,17
12,0,4,5,8,9,11,14,17,18,3,19,15,1,2,10,13,6,7,16
12,1,5,6,10,11,0,9,15,19,3,18,7,13,14,2,4,8,17,16
12,3,2,1,7,11,13,14,17,18,19,10,15,9,8,4,6,0,5,16
12,4,2,1,7,11,13,14,17,18,8,19,10,15,5,9,0,3,6,16
12,14,0,8,10,4,5,9,11,17,18,3,19,15,6,1,2,13,7,16
12,17,0,8,4,5,9,11,14,18,3,19,10,15,1,2,13,6,7,16
12,18,3,4,9,10,14,5,8,19,0,6,15,11,17,2,1,13,7,16
13,1,0,10,12,6,11,5,15,19,9,2,4,8,14,7,3,18,17,16
13,2,0,10,12,8,11,1,14,18,19,5,7,17,4,9,15,6,3,16
