0,1,2,3,4,5,6,7,8
"(0, 1)","(0, 8)","(0, 2)","(0, 7)","(0, 3)","(0, 6)","(1, 2)","(1, 3)","(1, 8)","(1, 7)","(1, 5)","(2, 3)","(2, 5)","(2, 8)","(2, 7)","(2, 6)","(3, 5)","(3, 6)","(3, 7)","(4, 5)","(4, 6)","(4, 7)","(5, 6)","(5, 7)","(5, 8)","(6, 7)","(6, 8)"
106,46
5,0,6,3,7,2,8,1
0,5,1,8,2,7,3,6
0,6,1,5,7,8,3,2
1,5,0,6,3,7,2,8
2,4,5,7,6,1,8,3,0
2,5,0,6,3,7,8,1
3,4,5,6,7,1,8,0,2
3,5,0,6,7,2,8,1
4,5,0,6,7,3,2,8,1
6,5,1,7,8,3,0,2
7,5,0,6,3,2,8,1
8,5,0,6,3,7,2,1
0,1,8
0,2,6,1,5,7,8,3
0,3,6,1,5,7,8,2
1,2,5,0,6,3,7,8
1,3,5,0,6,7,2,8
2,3,5,0,6,7,8,1
6,2,5,1,7,8,3,0
6,3,5,1,7,8,0,2
6,4,5,1,7,8,3,0,2
6,7,0,1,5,8,3,2
6,7,5,1,8,3,0,2
6,8,0,1,5,7,3,2
6,8,5,1,7,3,0,2
7,1,5,0,6,3,2,8
7,2,5,0,6,3,8,1
7,3,5,0,6,2,8,1
7,4,5,0,6,3,2,8,1
8,1,5,0,6,3,7,2
8,2,5,0,6,3,7,1
0,1,2,3,4,7,6,5,8
0,1,2,7
0,1,3,7
0,2,3,6,5,1,8,7
0,2,7,6,1,5,8,3
0,3,7,6,1,5,8,2
1,2,3,5,6,0,8,7
1,2,7,5,0,6,3,8
1,3,7,5,0,6,2,8
6,2,3,5,4,7
6,7,2,5,1,8,3,0
6,7,3,5,1,8,0,2
6,7,4,5,1,8,3,0,2
7,2,3,5,0,6,8,1
0,1,2,7,3,4,6,5,8
