0,1,2,3,4,5,6,7,8,9,10
"(0, 1)","(0, 10)","(0, 2)","(0, 9)","(0, 3)","(0, 8)","(1, 6)","(1, 2)","(1, 3)","(1, 5)","(2, 3)","(2, 10)","(2, 7)","(2, 9)","(2, 6)","(2, 4)","(3, 4)","(3, 10)","(3, 7)","(3, 9)","(4, 5)","(4, 7)","(4, 8)","(4, 10)","(5, 7)","(5, 9)","(5, 6)","(6, 7)","(6, 8)","(6, 10)","(7, 9)","(7, 8)","(8, 9)"
72,36
4,1,3,5,2,7,9,6,8,0,10
5,0,9,1,2,3,7,6,4,8,10
6,0,1,2,8,10,3,7,9,4,5
7,1,6,5,2,3,10,4,9,0,8
0,8,7,2,9,3,6,4,1,10,5
0,9,1,5,2,3,4,7,6,8,10
0,10,1,2,3,6,7,8,9,4,5
1,5,4,2,3,7,9,6,0,8,10
1,6,0,2,8,10,7,9,4,3,5
2,4,1,3,5,7,9,6,8,0,10
2,6,0,1,8,10,3,9,4,7,5
2,7,1,6,5,3,10,4,9,0,8
3,4,1,5,2,7,9,6,8,0,10
3,7,1,6,5,2,10,4,9,0,8
8,4,6,5,7,10,2,9,1,3,0
8,6,5,9,4,7,2,3,10,0,1
8,7,3,9,0,4,5,2,10,6,1
9,5,6,8,7,2,4,0,1,3,10
9,7,1,0,5,2,3,6,8,10,4
10,4,1,0,2,3,6,5,8,9,7
10,6,1,0,2,3,8,7,4,9,5
0,1,2
0,1,3
0,2,9,1,5,3,4,7,6,8,10
0,2,10,1,3,6,7,8,9,4,5
0,3,9,1,5,2,4,7,6,8,10
0,3,10,1,2,6,8,7,9,4,5
1,2,3
2,3,4,6,10,1,7,5,8,0,9
2,3,7,1,6,5,10,4,9,0,8
2,9,7,1,0,5,3,6,8,10,4
2,10,4,1,0,3,6,5,8,9,7
3,9,7,1,0,5,2,6,8,10,4
3,10,4,1,0,2,6,5,8,9,7
0,2,3,9,8,7,6,4,1,10,5
0,2,3,10,8,7,9,6,4,5,1
