0,1,2,3,4,5,6,7
"(0, 5)","(0, 4)","(0, 7)","(0, 2)","(0, 1)","(0, 3)","(1, 5)","(1, 2)","(1, 3)","(1, 4)","(1, 7)","(2, 5)","(2, 6)","(2, 3)","(2, 4)","(3, 4)","(3, 7)","(3, 5)","(3, 6)","(4, 5)","(4, 6)","(5, 6)","(5, 7)","(6, 7)"
101,29
6,1,2,5,7,4,3,0
2,6,1,5,7,4,3,0
3,6,1,2,5,7,4,0
4,6,1,2,5,7,3,0
5,6,1,2,7,4,3,0
7,6,2,0,3,5,1,4
0,1,7,2,6,3,5,4
2,3,6,1,5,7,4,0
2,4,6,1,5,7,3,0
2,5,6,1,7,4,3,0
3,4,6,1,2,5,7,0
3,5,6,1,2,7,4,0
3,7,6,4,0,5,1,2
4,5,6,1,2,7,3,0
5,7,6,2,0,3,1,4
0,1,3,7,4,6,5,2
0,1,5,7,2,6,3,4
0,3,5,7
1,3,5,7
2,3,4,6,1,5,7,0
2,3,5,6,1,7,4,0
2,4,5,6,1,7,3,0
3,4,5,6,1,2,7,0
0,1,2,3,4
0,1,2,3,5
0,1,2,4,5
0,1,3,4,5
0,2,3,4,5
1,2,3,4,5
