0,1,2,3,4,5,6,7,8,9,10
"(0, 7)","(0, 6)","(0, 10)","(0, 1)","(0, 4)","(0, 5)","(0, 9)","(1, 10)","(1, 7)","(1, 3)","(1, 5)","(1, 8)","(2, 5)","(2, 8)","(2, 7)","(3, 8)","(3, 9)","(3, 10)","(3, 4)","(3, 7)","(3, 5)","(4, 10)","(4, 5)","(4, 6)","(4, 8)","(5, 9)","(5, 7)","(6, 7)","(6, 8)","(7, 8)","(7, 9)","(8, 10)","(9, 10)"
84,40
2,0,5,7
3,0,9,10,1,4,7,5,8,6,2
8,0,10,7,4,6,1,3,9,5,2
0,1,4,10,3,5,8,9,7,2,6
0,2,7,5,8,6,10,1,4,3,9
0,4,3,7,10,1,5,9,6,8,2
1,3,4,10,0,5,8,9,7,6,2
1,8,2,7,5,4,3,10,0,6,9
2,5,0,7
4,3,2,5,8,7,1,0,6,10,9
4,8,2,5,1,3,7,10,0,6,9
5,3,0,9,10,1,4,7,8,6,2
6,0,3,7,4,8,10,1,5,9,2
7,2,0,5
7,3,0,9,10,1,4,5,8,6,2
7,8,0,10,4,6,1,3,9,5,2
9,0,1,5,3,7,10,4,8,6,2
9,2,5,7
9,3,4,5,0,10,1,7,8,6,2
10,3,0,9,1,4,7,5,8,6,2
10,8,0,7,4,6,1,3,9,5,2
0,1,5,6,7,8,4,3,10,2,9
1,3,5,6,7,0,8,4,10,9,2
1,7,0,4,10,3,5,8,6,9,2
1,7,3,4,10,0,5,8,6,9,2
1,7,8,2,5,4,3,10,0,6,9
1,8,3,6,7,0,4,5,10,9,2
1,10,3,7,8,0,9,4,6,5,2
1,10,8,2,7,5,0,3,9,4,6
4,8,3,9,10,5,0,7,1,2,6
4,10,3,7,5,6,0,8,1,9,2
4,10,8,2,5,9,1,3,0,7,6
5,7,3,0,9,10,1,4,8,6,2
5,9,0,1,3,7,10,4,8,6,2
5,9,3,6,4,0,7,8,10,1,2
6,7,0,8,10,1,4,3,9,5,2
6,7,8,1,0,10,4,3,9,5,2
7,9,0,1,5,3,10,4,8,6,2
7,9,3,4,0,6,8,5,10,1,2
0,5,7,9,1,3,10,4,8,6,2
