0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"(0, 14)","(0, 2)","(0, 3)","(0, 6)","(1, 3)","(1, 7)","(2, 4)","(2, 5)","(3, 5)","(3, 12)","(4, 5)","(4, 10)","(5, 6)","(5, 7)","(6, 8)","(7, 9)","(7, 14)","(8, 9)","(8, 10)","(9, 10)","(9, 11)","(9, 12)","(10, 11)","(10, 12)","(10, 14)","(11, 12)","(11, 13)","(12, 14)","(12, 13)","(13, 14)"
96,30
1,0,3
9,0,8,6,10,14,7,12,3,5,1,2,4
12,1,3
0,2,1,3,5,7,6,14,12,10,4,9,8
2,3,0,5,6,1,7,14,12,10,4,8,9
2,7,5,3,0,1,14,6,12,10,4,9,8
2,14,0,3,5,12,7,6,10,4,1,9,8
4,0,2,1,5,3,7,6,14,10,12,9,8
5,1,3,7,2,0,6,14,12,9,10,4,8
6,0,1,5,3,7,2,14,12,10,8,9,4
7,1,2,5,3,0,6,14,12,9,10,4,8
7,4,5,0,14,2,6,3,10,12,1,9,8
7,5,0,14,6,3,2,12,1,9,10,8,4
8,0,6,9,14,12,3,7,10,5,1,2,4
8,4,10,3,9,12,6,5,0,7,14,2,1
8,5,6,3,9,12,10,0,7,14,4,2,1
9,1,7,6,8,3,5,0,12,10,2,14,4
10,0,14,1,9,7,12,3,8,6,5,4,2
10,4,0,14,2
12,0,14,3,9,7,10,6,8,5,1,2,4
13,0,14,1,7,12,3,9,5,11,8,6,10,2,4
13,9,11,12,2,14,0,10,4,7,5,3,6,8,1
14,0,1,7,3,5,12,6,2,9,8,10,4
14,6,0,7,5,3,2,12,1,10,8,9,4
3,5,12,2,0,10,4,14,6,7,8,9,1
6,5,7,3,0,1,2,14,12,10,8,9,4
11,3,12,9,8,10,5,6,0,4,14,7,2,13,1
13,3,12,0,14,9,11,7,10,6,8,5,1,2,4
13,7,14,9,11,12,10,6,0,5,8,3,2,4,1
14,7,9,12,10,6,0,5,8,3,2,4,1
