0,1,2,3,4,5,6,7,8,9,10
"(0, 1)","(0, 10)","(0, 2)","(0, 3)","(0, 8)","(0, 5)","(1, 10)","(1, 4)","(1, 9)","(1, 7)","(1, 6)","(1, 5)","(2, 4)","(2, 8)","(2, 9)","(2, 6)","(2, 7)","(2, 3)","(3, 7)","(3, 8)","(3, 9)","(3, 5)","(4, 5)","(4, 7)","(4, 9)","(4, 6)","(5, 6)","(5, 10)","(5, 9)","(6, 7)","(7, 10)","(8, 9)","(8, 10)"
74,41
4,0,5,2,1,6,9,3,7,8,10
6,0,5,1,2,4,9,3,7,8,10
7,0,10,1,3,2,5,8,9,4,6
9,0,1,2,3,8,5,4,7,6,10
0,1,4,2,5,9,6,7,3,8,10
0,2,1,4,9,6,7,5,3,8,10
0,3,1,7,9,5,10,2,4,6,8
0,8,1,9,10,2,3,5,4,6,7
1,4,3,0,9,7,5,2,8,10,6
1,6,3,0,9,7,5,2,8,10,4
1,7,3,0,9,5,10,2,8,4,6
1,9,3,0,7,5,2,8,10,4,6
2,4,5,0,9,6,3,1,8,7,10
2,6,3,5,7,4,9,0,1,10,8
2,7,1,0,4,9,6,10,3,5,8
2,9,1,0,4,6,7,3,8,5,10
3,7,1,0,9,5,10,2,8,4,6
3,9,1,0,7,5,2,8,10,4,6
5,4,0,2,1,9,6,3,7,8,10
5,6,0,1,2,4,9,7,3,8,10
5,9,0,1,2,3,8,4,7,6,10
8,9,1,0,10,2,3,5,4,6,7
8,10
10,7,0,1,3,2,9,5,4,6,8
0,1,5,9,2,3,8,4,6,7,10
0,2,3,7,1,10,4,9,6,5,8
0,5,10
0,8,2,1,9,10,4,6,7,3,5
0,10,1,4,2,5,7,8,9,6,3
1,4,5,3,0,9,7,2,8,10,6
1,5,6,3,0,9,7,2,8,10,4
1,5,9,3,0,7,2,8,10,4,6
1,5,10
1,6,4,3,0,9,7,5,2,8,10
1,7,4,5,10,3,6,0,8,9,2
1,9,4,3,0,7,5,2,8,10,6
2,3,9,7,1,4,0,6,5,8,10
2,4,6,5,0,9,3,1,8,7,10
2,8,9,1,0,4,6,7,10,3,5
3,8,0,1,7,9,5,10,2,4,6
3,8,9,1,0,7,5,10,2,4,6
