0,1,2,3,4,5,6,7,8,9,10
"(0, 7)","(0, 5)","(0, 1)","(0, 4)","(1, 6)","(1, 7)","(1, 5)","(2, 7)","(2, 6)","(2, 9)","(2, 8)","(2, 4)","(2, 5)","(3, 9)","(3, 10)","(3, 4)","(3, 8)","(3, 7)","(3, 6)","(4, 9)","(4, 8)","(4, 10)","(4, 6)","(4, 5)","(5, 10)","(5, 6)","(5, 7)","(5, 9)","(6, 7)","(7, 8)","(7, 10)","(8, 9)","(9, 10)"
74,42
2,0,7,4,5,6,3,8,10,1,9
3,0,4,7,8,10,6,2,5,9,1
6,0,1,7,5,4,2,3,8,10,9
8,0,4,7,3,10,6,2,5,9,1
10,0,5,4,7,8,3,6,2,9,1
0,1,4,6,5,7,2,3,8,10,9
0,4,3,7,2,6,5,8,10,9,1
4,2,3,7,6,9,8,0,5,10,1
4,3,5,9,10,7,6,2,8,0,1
4,6,1,0,5,7,2,3,8,10,9
4,8,1,6,0,5,7,2,3,9,10
4,10,2,5,9,7,3,8,0,6,1
5,2,0,7,4,6,3,8,10,1,9
5,6,0,1,7,4,2,3,8,10,9
5,10,0,4,7,8,3,6,2,9,1
6,1,0,7,5,4,2,3,8,10,9
7,2,0,4,5,8,3,10,6,9,1
7,3,0,4,8,10,6,2,5,9,1
7,6,0,1,5,4,8,3,10,2,9
7,8,0,4,3,10,6,2,5,9,1
7,10,0,5,4,8,3,6,2,9,1
9,2,3,7,6,8,4,5,10,0,1
9,3,2,4,8,7,6,10,0,5,1
0,1,5,6,7,4,2,3,8,10,9
0,4,5,8,7,2,9,6,3,10,1
0,5,7
0,7,1,4,2,6,3,5,8,10,9
1,5,6,0,7,4,2,3,8,10,9
4,2,5,3,7,6,9,8,10,0,1
4,5,6,1,0,7,2,3,8,10,9
4,5,10,8,2,7,9,3,6,0,1
4,6,2,3,7,9,8,0,5,10,1
4,8,2,7,3,10,6,0,5,9,1
4,9,2,3,7,6,8,0,5,10,1
4,9,3,7,8,10,6,0,2,5,1
4,10,3,8,9,7,2,5,0,6,1
5,7,2,0,4,8,3,10,6,9,1
5,7,6,0,1,4,8,3,10,2,9
5,7,10,0,4,8,3,6,2,9,1
5,9,2,3,10,6,4,7,8,0,1
7,6,1,0,5,4,8,3,10,2,9
5,7,1,6,0,4,8,3,10,2,9
