0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
"(0, 1)","(0, 2)","(0, 3)","(0, 4)","(0, 5)","(0, 6)","(0, 7)","(0, 8)","(0, 9)","(0, 10)","(0, 11)","(0, 13)","(0, 15)","(0, 16)","(0, 17)","(1, 2)","(1, 3)","(1, 4)","(1, 5)","(1, 6)","(1, 7)","(1, 8)","(1, 9)","(1, 10)","(1, 11)","(1, 13)","(1, 14)","(1, 16)","(1, 17)","(1, 18)","(2, 3)","(2, 4)","(2, 5)","(2, 6)","(2, 7)","(2, 8)","(2, 9)","(2, 10)","(2, 11)","(2, 12)","(2, 13)","(2, 14)","(2, 15)","(2, 16)","(2, 17)","(2, 18)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(3, 8)","(3, 9)","(3, 10)","(3, 11)","(3, 13)","(3, 14)","(3, 15)","(3, 16)","(3, 17)","(3, 18)","(4, 5)","(4, 6)","(4, 7)","(4, 8)","(4, 9)","(4, 10)","(4, 11)","(4, 12)","(4, 13)","(4, 14)","(4, 15)","(4, 16)","(4, 17)","(4, 18)","(5, 6)","(5, 7)","(5, 8)","(5, 9)","(5, 10)","(5, 11)","(5, 12)","(5, 13)","(5, 15)","(5, 16)","(5, 17)","(5, 18)","(6, 7)","(6, 8)","(6, 9)","(6, 10)","(6, 11)","(6, 12)","(6, 13)","(6, 14)","(6, 15)","(6, 16)","(6, 17)","(6, 18)","(7, 8)","(7, 9)","(7, 10)","(7, 11)","(7, 12)","(7, 13)","(7, 14)","(7, 15)","(7, 16)","(7, 18)","(8, 9)","(8, 10)","(8, 11)","(8, 12)","(8, 13)","(8, 14)","(8, 15)","(8, 16)","(8, 17)","(9, 10)","(9, 11)","(9, 13)","(9, 14)","(9, 15)","(9, 16)","(9, 17)","(9, 18)","(10, 11)","(10, 12)","(10, 13)","(10, 14)","(10, 15)","(10, 16)","(10, 17)","(10, 18)","(11, 12)","(11, 13)","(11, 14)","(11, 15)","(11, 16)","(11, 17)","(11, 18)","(12, 13)","(12, 14)","(12, 15)","(12, 17)","(12, 18)","(13, 14)","(13, 15)","(13, 16)","(13, 18)","(14, 15)","(14, 16)","(14, 17)","(14, 18)","(15, 16)","(15, 17)","(15, 18)","(16, 17)","(16, 18)","(17, 18)"
47361,21801
12,1,2,4,5,6,7,8,10,11,13,14,17,18,3,9,15,16,0
14,0,1,2,3,4,6,7,8,9,10,11,13,15,16,17,5,18,12
18,0,1,2,3,4,5,6,7,9,10,11,13,15,16,17,8,14,12
0,15,1,2,3,4,5,6,7,8,9,10,11,13,14,16,17,18,12
1,14,0,2,3,4,6,7,8,9,10,11,13,15,16,17,5,12,18
1,18,0,2,3,4,5,6,7,9,10,11,13,15,16,17,8,12,14
2,12,3,4,5,6,7,8,10,11,13,14,15,17,18,1,9,16,0
2,14,0,1,3,4,6,7,8,9,10,11,13,15,16,17,5,18,12
2,18,0,1,3,4,5,6,7,9,10,11,13,15,16,17,8,14,12
3,14,0,1,2,4,6,7,8,9,10,11,13,15,16,17,5,18,12
