0,1,2,3,4,5,6,7,8,9,10
"(0, 10)","(0, 3)","(0, 7)","(0, 4)","(1, 2)","(1, 3)","(1, 10)","(1, 9)","(2, 4)","(2, 5)","(2, 7)","(2, 8)","(2, 9)","(3, 9)","(3, 10)","(4, 9)","(5, 6)","(5, 10)","(6, 8)","(6, 9)","(7, 8)","(8, 9)"
66,28
6,0,5,10,8,7,9,3,4,2,1
1,2,0,3,10,4,7,9,5,8,6
2,3,1,9,7,0,8,4,10,5,6
3,5,10
3,6,9,0,5,10,8,7,4,2,1
3,7,0,9,8,2,4,1,10,5,6
3,8,9,0,7,4,2,1,10,5,6
4,0,1,2,9,10,3,7,5,8,6
4,1,2,9,7,0,8,10,3,5,6
5,0,10,2,7,4,1,9,3,6,8
5,2,0,10,4,7,1,3,9,6,8
6,1,9,2,5,8,10,3,0,7,4
7,0,1,2,10,3,4,5,9,6,8
7,1,2,6,8,9,5,10,0,3,4
8,1,9,2,0,7,3,10,4,5,6
8,2,0,7,4,9,3,1,10,5,6
9,1,0,3,4,10,2,7,5,8,6
9,2,0,3,4,7,1,8,10,5,6
10,0,1,3
10,7,0,2,1,5,4,3,9,8,6
1,3,9,0,10,4,2,7,5,8,6
2,4,5,3,1,9,0,10,6,7,8
2,4,8,9,0,7,3,1,10,5,6
2,4,9,0,7,3,8,1,10,5,6
7,2,5,4,0,10,1,9,3,8,6
7,2,8,0,4,9,3,1,10,5,6
7,2,9,8,0,4,3,1,10,5,6
9,1,2,0,3,4,10,7,5,8,6
