0,1,2,3,4,5,6,7,8,9,10,11
"(0, 1)","(0, 3)","(0, 4)","(0, 5)","(0, 6)","(0, 9)","(0, 10)","(0, 11)","(1, 2)","(1, 3)","(1, 4)","(1, 5)","(1, 6)","(1, 7)","(1, 8)","(1, 10)","(1, 11)","(2, 3)","(2, 4)","(2, 5)","(2, 6)","(2, 7)","(2, 8)","(2, 9)","(2, 10)","(2, 11)","(3, 4)","(3, 5)","(3, 7)","(3, 8)","(3, 9)","(3, 11)","(4, 5)","(4, 6)","(4, 7)","(4, 8)","(4, 9)","(4, 10)","(4, 11)","(5, 6)","(5, 7)","(5, 8)","(5, 9)","(5, 10)","(5, 11)","(6, 7)","(6, 8)","(6, 9)","(6, 10)","(7, 10)","(7, 11)","(8, 9)","(8, 10)","(8, 11)","(9, 10)"
437,323
2,0,1,3,4,5,6,9,10,11,8,7
7,0,1,3,4,5,6,10,11,2,8,9
8,0,1,3,4,5,6,9,10,11,2,7
0,1,2,3,4,5,6,9,10,11,7,8
0,9,2,1,3,4,5,6,10,11,8,7
1,2,0,3,4,5,6,9,10,11,7,8
1,7,0,3,4,5,6,10,11,2,8,9
1,8,0,3,4,5,6,9,10,11,2,7
3,2,0,1,4,5,6,9,10,11,8,7
3,7,0,1,4,5,6,10,11,2,8,9
3,8,0,1,4,5,6,9,10,11,2,7
4,2,0,1,3,5,6,9,10,11,8,7
4,7,0,1,3,5,6,10,11,2,8,9
4,8,0,1,3,5,6,9,10,11,2,7
5,2,0,1,3,4,6,9,10,11,8,7
5,7,0,1,3,4,6,10,11,2,8,9
5,8,0,1,3,4,6,9,10,11,2,7
6,2,0,1,3,4,5,9,10,11,8,7
6,7,0,1,3,4,5,10,11,2,8,9
6,8,0,1,3,4,5,9,10,11,2,7
9,2,1,0,3,4,5,6,8,10,11,7
9,8,1,0,2,3,4,5,6,10,11,7
10,2,0,1,3,4,5,6,9,11,8,7
10,7,0,1,3,4,5,6,11,2,8,9
10,8,0,1,3,4,5,6,9,11,2,7
11,2,0,1,3,4,5,6,9,10,8,7
11,7,0,1,3,4,5,6,10,2,8,9
11,8,0,1,3,4,5,6,9,10,2,7
0,1,3,2,4,5,6,9,10,11,7,8
0,3,9,2,1,4,5,6,10,11,8,7
0,4,1,2,3,5,6,9,10,11,7,8
0,4,9,2,1,3,5,6,10,11,8,7
0,5,1,2,3,4,6,9,10,11,7,8
0,5,9,2,1,3,4,6,10,11,8,7
0,6,1,3,2,4,5,7,8,9,10,11
0,6,9,3,1,2,4,5,7,8,10,11
0,10,1,3,2,4,5,7,8,9,6,11
0,10,9,3,1,2,4,5,7,8,6,11
0,11,1,2,3,4,5,6,9,10,7,8
1,2,3,0,4,5,6,9,10,11,7,8
1,3,7,0,4,5,6,10,11,2,8,9
1,3,8,0,4,5,6,9,10,11,2,7
1,4,2,0,3,5,6,9,10,11,7,8
