service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
000001,0,0,0,0,0,0,0,20210324,20210622
000002,0,0,0,0,0,0,0,20210324,20210622
000003,0,0,0,0,0,0,0,20210324,20210622
000004,0,0,0,0,0,0,0,20210324,20210622
000005,0,0,0,0,0,0,0,20210324,20210622
000006,0,0,0,0,0,0,0,20210324,20210622
000007,0,0,0,0,0,0,0,20210324,20210622
000008,0,0,0,0,0,0,0,20210324,20210622
000009,0,0,0,0,0,0,0,20210324,20210622
000010,0,0,0,0,0,0,0,20210324,20210622
000011,0,0,0,0,0,0,0,20210324,20210622
000012,0,0,0,0,0,0,0,20210324,20210622
000013,0,0,0,0,0,0,0,20210324,20210622
000014,0,0,0,0,0,0,0,20210324,20210622
000015,0,0,0,0,0,0,0,20210324,20210622
000016,0,0,0,0,0,0,0,20210324,20210622
000017,0,0,0,0,0,0,0,20210324,20210622
000018,0,0,0,0,0,0,0,20210324,20210622
000019,0,0,0,0,0,0,0,20210324,20210622
000020,0,0,0,0,0,0,0,20210324,20210622
000021,0,0,0,0,0,0,0,20210324,20210622
000022,0,0,0,0,0,0,0,20210324,20210622
000023,0,0,0,0,0,0,0,20210324,20210622
000024,0,0,0,0,0,0,0,20210324,20210622
000025,0,0,0,0,0,0,0,20210324,20210622
000026,0,0,0,0,0,0,0,20210324,20210622
000027,0,0,0,0,0,0,0,20210324,20210622
000028,0,0,0,0,0,0,0,20210324,20210622
000029,0,0,0,0,0,0,0,20210324,20210622
000030,0,0,0,0,0,0,0,20210324,20210622
000031,0,0,0,0,0,0,0,20210324,20210622
000032,0,0,0,0,0,0,0,20210324,20210622
000033,0,0,0,0,0,0,0,20210324,20210622
000034,0,0,0,0,0,0,0,20210324,20210622
000035,0,0,0,0,0,0,0,20210324,20210622
000036,0,0,0,0,0,0,0,20210324,20210622
000037,0,0,0,0,0,0,0,20210324,20210622
000038,0,0,0,0,0,0,0,20210324,20210622
000039,0,0,0,0,0,0,0,20210324,20210622
