service_id,date,exception_type
000001,20210405,1
000001,20210411,1
000001,20210418,1
000001,20210425,1
000001,20210502,1
000001,20210509,1
000001,20210516,1
000001,20210523,1
000001,20210524,1
000001,20210530,1
000001,20210606,1
000001,20210613,1
000001,20210620,1
000002,20210328,1
000003,20210327,1
000004,20210403,1
000004,20210410,1
000004,20210417,1
000004,20210424,1
000004,20210501,1
000004,20210508,1
000004,20210513,1
000004,20210514,1
000004,20210515,1
000004,20210522,1
000004,20210529,1
000004,20210605,1
000004,20210612,1
000004,20210619,1
000005,20210404,1
000005,20210405,1
000005,20210411,1
000005,20210418,1
000005,20210425,1
000005,20210502,1
000005,20210509,1
000005,20210516,1
000005,20210523,1
000005,20210606,1
000005,20210613,1
000005,20210620,1
000006,20210402,1
000006,20210409,1
000006,20210416,1
000006,20210423,1
000006,20210430,1
000006,20210507,1
000006,20210512,1
000006,20210521,1
000006,20210528,1
000006,20210604,1
000006,20210611,1
000006,20210618,1
000007,20210326,1
000007,20210328,1
000008,20210326,1
000008,20210402,1
000008,20210409,1
000008,20210416,1
000008,20210423,1
000008,20210430,1
000008,20210618,1
000009,20210512,1
000009,20210521,1
000009,20210528,1
000009,20210604,1
000009,20210611,1
000010,20210512,1
000010,20210521,1
000011,20210512,1
000011,20210516,1
000011,20210521,1
000012,20210612,1
000012,20210613,1
000013,20210506,1
000013,20210508,1
000013,20210509,1
000013,20210514,1
000013,20210520,1
000013,20210524,1
000013,20210527,1
000013,20210529,1
000013,20210530,1
000013,20210603,1
000013,20210605,1
000013,20210606,1
000013,20210610,1
000014,20210327,1
000014,20210328,1
000014,20210401,1
000014,20210403,1
000014,20210405,1
000014,20210408,1
000014,20210410,1
000014,20210411,1
000014,20210415,1
000014,20210417,1
000014,20210418,1
000014,20210422,1
000014,20210424,1
000014,20210425,1
000014,20210429,1
000014,20210501,1
000014,20210502,1
000014,20210617,1
000014,20210619,1
000014,20210620,1
000015,20210516,1
000015,20210523,1
000015,20210530,1
000015,20210606,1
000016,20210509,1
000017,20210328,1
000017,20210411,1
000017,20210418,1
000017,20210425,1
000017,20210502,1
000017,20210613,1
000017,20210620,1
000018,20210405,1
000018,20210524,1
000019,20210405,1
000019,20210411,1
000019,20210418,1
000019,20210425,1
000019,20210502,1
000019,20210509,1
000019,20210524,1
000019,20210530,1
000019,20210606,1
000019,20210620,1
000020,20210613,1
000021,20210425,1
000021,20210502,1
000021,20210509,1
000021,20210530,1
000021,20210606,1
000021,20210613,1
000021,20210620,1
000022,20210418,1
000023,20210418,1
000023,20210425,1
000023,20210502,1
000023,20210620,1
000024,20210509,1
000024,20210530,1
000024,20210606,1
000024,20210613,1
000025,20210326,1
000025,20210409,1
000025,20210416,1
000026,20210402,1
000026,20210423,1
000026,20210430,1
000026,20210507,1
000026,20210512,1
000026,20210521,1
000026,20210528,1
000026,20210604,1
000026,20210611,1
000026,20210618,1
000027,20210328,1
000027,20210404,1
000027,20210405,1
000027,20210411,1
000027,20210418,1
000027,20210425,1
000027,20210502,1
000027,20210509,1
000027,20210516,1
000027,20210523,1
000027,20210524,1
000027,20210530,1
000027,20210606,1
000027,20210613,1
000027,20210620,1
000028,20210516,1
000028,20210524,1
000029,20210328,1
000029,20210411,1
000029,20210418,1
000029,20210425,1
000029,20210502,1
000029,20210509,1
000029,20210516,1
000029,20210523,1
000029,20210530,1
000029,20210606,1
000029,20210613,1
000029,20210620,1
000030,20210324,1
000030,20210325,1
000030,20210328,1
000030,20210329,1
000030,20210330,1
000030,20210331,1
000030,20210401,1
000030,20210404,1
000030,20210405,1
000030,20210406,1
000030,20210407,1
000030,20210408,1
000030,20210411,1
000030,20210412,1
000030,20210413,1
000030,20210414,1
000030,20210415,1
000030,20210418,1
000030,20210419,1
000030,20210420,1
000030,20210421,1
000030,20210422,1
000030,20210425,1
000030,20210426,1
000030,20210427,1
000030,20210428,1
000030,20210429,1
000030,20210502,1
000030,20210503,1
000030,20210504,1
000030,20210505,1
000030,20210506,1
000030,20210509,1
000030,20210510,1
000030,20210511,1
000030,20210516,1
000030,20210517,1
000030,20210518,1
000030,20210519,1
000030,20210520,1
000030,20210523,1
000030,20210525,1
000030,20210526,1
000030,20210527,1
000030,20210530,1
000030,20210531,1
000030,20210601,1
000030,20210602,1
000030,20210603,1
000030,20210606,1
000030,20210607,1
000030,20210608,1
000030,20210609,1
000030,20210610,1
000030,20210613,1
000030,20210614,1
000030,20210615,1
000030,20210616,1
000030,20210617,1
000030,20210620,1
000030,20210621,1
000030,20210622,1
000031,20210524,1
000032,20210326,1
000032,20210402,1
000032,20210409,1
000032,20210416,1
000032,20210423,1
000032,20210430,1
000032,20210507,1
000032,20210512,1
000032,20210521,1
000032,20210528,1
000032,20210604,1
000032,20210611,1
000032,20210618,1
000033,20210328,1
000033,20210405,1
000033,20210411,1
000033,20210418,1
000033,20210425,1
000033,20210502,1
000033,20210509,1
000033,20210524,1
000033,20210530,1
000033,20210606,1
000033,20210613,1
000033,20210620,1
000034,20210516,1
000034,20210523,1
000035,20210513,1
000035,20210522,1
000036,20210504,1
000036,20210505,1
000036,20210506,1
000036,20210507,1
000036,20210508,1
000036,20210510,1
000036,20210511,1
000036,20210512,1
000036,20210513,1
000036,20210514,1
000036,20210517,1
000036,20210518,1
000036,20210519,1
000036,20210520,1
000036,20210521,1
000036,20210525,1
000036,20210526,1
000036,20210527,1
000036,20210528,1
000036,20210529,1
000036,20210531,1
000036,20210601,1
000036,20210602,1
000036,20210603,1
000036,20210604,1
000036,20210605,1
000036,20210607,1
000036,20210608,1
000036,20210609,1
000036,20210610,1
000036,20210611,1
000036,20210612,1
000036,20210614,1
000036,20210615,1
000037,20210329,1
000037,20210330,1
000037,20210331,1
000037,20210401,1
000037,20210402,1
000037,20210403,1
000037,20210406,1
000037,20210407,1
000037,20210408,1
000037,20210409,1
