0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"(0, 1)","(0, 2)","(0, 3)","(0, 4)","(0, 6)","(0, 9)","(0, 10)","(0, 11)","(0, 12)","(0, 13)","(0, 14)","(0, 15)","(0, 16)","(1, 2)","(1, 3)","(1, 4)","(1, 6)","(1, 8)","(1, 9)","(1, 10)","(1, 12)","(1, 13)","(1, 14)","(1, 15)","(2, 3)","(2, 4)","(2, 5)","(2, 6)","(2, 10)","(2, 12)","(2, 13)","(2, 15)","(2, 16)","(3, 5)","(3, 6)","(3, 7)","(3, 10)","(3, 11)","(3, 14)","(3, 15)","(3, 16)","(4, 5)","(4, 6)","(4, 7)","(4, 8)","(4, 9)","(4, 10)","(4, 11)","(4, 13)","(4, 15)","(4, 16)","(5, 6)","(5, 7)","(5, 9)","(5, 10)","(5, 12)","(5, 14)","(5, 15)","(5, 16)","(6, 7)","(6, 8)","(6, 9)","(6, 10)","(6, 12)","(6, 14)","(6, 16)","(7, 8)","(7, 9)","(7, 10)","(7, 11)","(7, 12)","(7, 14)","(8, 9)","(8, 10)","(8, 11)","(8, 12)","(8, 13)","(8, 14)","(8, 16)","(9, 11)","(9, 12)","(9, 13)","(9, 14)","(9, 15)","(10, 14)","(10, 15)","(10, 16)","(11, 12)","(11, 14)","(11, 16)","(12, 13)","(12, 16)","(13, 14)","(13, 15)","(14, 15)","(14, 16)","(15, 16)"
732,348
5,1,2,3,4,6,9,10,12,14,15,0,13,16,7,11,8
7,2,3,4,5,6,10,12,0,1,11,15,16,8,9,13,14
8,0,1,4,6,9,10,11,12,13,14,16,3,2,15,5,7
0,11,2,3,4,12,16,1,5,6,7,10,15,8,9,13,14
0,16,1,2,3,4,6,8,10,12,14,15,13,5,7,11,9
1,8,3,6,7,10,11,14,16,0,4,9,12,5,2,15,13
2,5,1,3,4,6,9,10,12,14,15,0,7,11,16,8,13
3,5,1,2,4,6,9,10,12,14,15,0,13,16,7,11,8
3,7,4,0,1,2,5,6,10,11,15,16,9,12,14,8,13
4,5,1,2,3,6,9,10,12,14,15,0,13,16,7,11,8
4,7,3,0,1,2,5,6,10,11,15,16,9,12,14,8,13
4,8,0,1,6,9,10,11,12,13,14,16,3,2,15,7,5
6,5,1,2,3,4,9,10,12,14,15,0,13,16,7,11,8
6,7,2,3,4,5,10,12,0,1,11,15,16,8,9,13,14
6,8,0,1,4,9,10,11,12,13,14,16,3,2,15,5,7
9,5,3,0,1,6,7,11,14,15,2,4,10,12,16,8,13
9,7,3,0,1,5,6,11,14,15,4,10,12,2,16,8,13
9,8,0,1,4,6,10,11,12,13,14,16,3,2,15,5,7
10,5,1,2,3,4,6,9,12,14,15,0,13,16,7,11,8
10,7,2,3,4,5,6,12,0,1,11,15,16,8,9,13,14
10,8,0,1,4,6,9,11,12,13,14,16,3,2,15,5,7
11,7,2,0,3,4,12,16,5,6,10,9,14,15,1,8,13
11,8,3,1,6,7,10,14,16,0,4,9,12,2,15,5,13
12,5,1,2,3,4,6,9,10,14,15,0,13,16,7,11,8
12,7,4,0,1,2,5,6,8,9,11,13,16,3,10,14,15
12,8,0,1,4,6,9,10,11,13,14,16,3,2,15,5,7
13,8,0,1,4,6,9,10,11,12,14,16,3,2,15,5,7
14,5,2,0,1,3,6,10,13,15,16,4,9,12,8,7,11
14,7,2,0,1,3,5,6,10,13,15,16,4,12,9,11,8
14,8,0,1,4,6,9,10,11,12,13,16,3,2,15,5,7
15,5,1,2,3,4,6,9,10,12,14,0,13,16,7,11,8
16,5,1,0,2,3,4,6,8,10,12,14,15,9,11,13,7
16,8,3,1,6,7,10,11,14,0,2,4,12,15,9,5,13
0,1,9,3,5,6,7,11,14,15,2,4,10,12,16,8,13
0,1,14,2,3,5,6,10,13,15,16,4,9,12,8,7,11
0,2,16,1,3,4,6,8,10,12,14,15,5,7,11,9,13
0,3,11,13,1,2,14,15,4,8,9,12,16,5,6,10,7
0,3,16,1,2,4,6,8,10,12,14,15,13,5,7,11,9
0,4,11,8,1,6,9,10,12,13,14,16,3,2,15,7,5
0,4,16,1,2,3,6,8,10,12,14,15,13,5,7,11,9
0,6,16,1,2,3,4,8,10,12,14,15,13,5,7,11,9
0,9,11,3,1,5,6,7,14,15,4,8,12,2,10,16,13
0,10,16,1,2,3,4,6,8,12,14,15,13,5,7,11,9
0,12,11,8,1,4,6,9,10,13,14,16,3,2,15,5,7
0,12,16,1,2,3,4,6,8,10,14,15,13,5,7,11,9
0,14,11,2,1,3,5,6,10,13,15,16,4,12,8,9,7
0,14,16,2,1,3,5,6,10,13,15,4,8,12,9,7,11
0,15,16,1,2,3,4,6,8,10,12,14,13,5,7,11,9
1,4,8,5,2,3,6,9,10,12,14,15,7,16,13,0,11
1,6,8,3,7,10,11,14,16,4,9,12,5,0,2,15,13
1,9,8,3,0,5,6,7,11,14,15,10,16,4,12,13,2
1,10,8,3,6,7,11,14,16,0,4,9,12,5,2,15,13
1,12,8,5,2,3,4,6,9,10,14,15,7,16,13,0,11
1,13,8,3,0,2,14,15,6,7,10,11,16,4,9,12,5
1,14,8,5,2,3,4,6,9,10,12,15,7,16,0,13,11
2,3,5,4,0,1,6,7,10,11,15,16,9,12,14,8,13
2,4,5,3,0,1,6,7,10,11,15,16,9,12,14,8,13
2,6,5,1,3,4,9,10,12,14,15,0,7,11,16,8,13
2,10,5,1,3,4,6,9,12,14,15,0,7,11,16,8,13
2,12,5,4,0,1,6,7,8,9,11,13,16,3,10,14,15
2,15,5,1,3,4,6,9,10,12,14,0,7,11,16,8,13
2,16,5,1,0,3,4,6,8,10,12,14,15,9,11,13,7
3,6,5,1,2,4,9,10,12,14,15,0,13,16,7,11,8
3,6,7,4,0,1,2,5,10,11,15,16,9,12,14,8,13
3,7,5,4,0,1,2,6,10,11,15,16,9,12,14,8,13
3,10,5,1,2,4,6,9,12,14,15,0,13,16,7,11,8
3,10,7,4,0,1,2,5,6,11,15,16,9,12,14,8,13
3,11,7,13,0,1,2,14,15,4,8,9,12,6,10,16,5
3,14,5,4,0,1,2,6,7,10,11,15,16,8,9,13,12
3,14,7,4,0,1,2,5,6,10,11,15,16,8,9,13,12
3,15,5,1,2,4,6,9,10,12,14,0,13,16,7,11,8
3,16,5,1,0,2,4,6,8,10,12,14,15,9,11,13,7
4,6,5,1,2,3,9,10,12,14,15,0,13,16,7,11,8
4,6,7,3,0,1,2,5,10,11,15,16,9,12,14,8,13
4,6,8,0,1,9,10,11,12,13,14,16,3,2,15,5,7
4,7,5,3,0,1,2,6,10,11,15,16,9,12,14,8,13
4,9,5,3,0,1,2,6,7,10,11,15,16,14,12,8,13
4,9,7,3,0,1,2,5,6,10,11,15,16,14,12,8,13
4,9,8,0,1,6,10,11,12,13,14,16,3,2,15,7,5
4,10,5,1,2,3,6,9,12,14,15,0,13,16,7,11,8
4,10,7,3,0,1,2,5,6,11,15,16,9,12,14,8,13
4,10,8,0,1,6,9,11,12,13,14,16,3,2,15,7,5
4,11,7,6,0,3,8,9,12,14,16,10,1,13,2,5,15
4,11,8,6,0,3,7,9,12,14,16,1,10,13,2,5,15
4,13,8,0,1,6,9,10,11,12,14,16,3,2,15,7,5
4,15,5,1,2,3,6,9,10,12,14,0,13,16,7,11,8
4,16,5,1,0,2,3,6,8,10,12,14,15,9,11,13,7
4,16,8,5,6,7,9,10,12,14,3,11,0,15,1,2,13
6,9,5,3,0,1,7,11,14,15,2,4,10,12,16,8,13
6,9,7,3,0,1,5,11,14,15,4,10,12,2,16,8,13
6,9,8,0,1,4,10,11,12,13,14,16,3,2,15,5,7
6,10,5,1,2,3,4,9,12,14,15,0,13,16,7,11,8
6,10,7,2,3,4,5,12,0,1,11,15,16,8,9,13,14
6,10,8,0,1,4,9,11,12,13,14,16,3,2,15,5,7
6,12,5,1,2,3,4,9,10,14,15,0,13,16,7,11,8
6,12,7,4,0,1,2,5,8,9,11,13,16,3,10,14,15
6,12,8,0,1,4,9,10,11,13,14,16,3,2,15,5,7
6,14,5,2,0,1,3,10,13,15,16,4,9,12,8,7,11
6,14,7,2,0,1,3,5,10,13,15,16,4,12,9,11,8
6,14,8,0,1,4,9,10,11,12,13,16,3,2,15,5,7
6,16,5,1,0,2,3,4,8,10,12,14,15,9,11,13,7
6,16,8,3,1,7,10,11,14,0,2,4,12,15,9,5,13
9,11,7,3,0,1,5,6,14,15,4,10,12,2,16,8,13
9,11,8,3,0,1,5,6,7,14,15,10,16,4,12,13,2
9,12,5,4,0,1,2,6,7,8,11,13,16,3,10,14,15
9,12,7,4,0,1,2,5,6,8,11,13,16,3,10,14,15
9,12,8,0,1,4,6,10,11,13,14,16,3,2,15,5,7
9,13,8,0,1,4,6,10,11,12,14,16,3,2,15,5,7
9,14,5,4,0,1,6,7,8,10,11,13,15,16,2,3,12
9,14,7,4,0,1,5,6,8,10,11,13,15,16,3,12,2
9,14,8,0,1,4,6,10,11,12,13,16,3,2,15,5,7
9,15,5,3,0,1,6,7,11,14,2,4,10,12,16,8,13
10,14,5,2,0,1,3,6,13,15,16,4,9,12,8,7,11
10,14,7,2,0,1,3,5,6,13,15,16,4,12,9,11,8
10,14,8,0,1,4,6,9,11,12,13,16,3,2,15,5,7
10,15,5,1,2,3,4,6,9,12,14,0,13,16,7,11,8
10,16,5,1,0,2,3,4,6,8,12,14,15,9,11,13,7
10,16,8,3,1,6,7,11,14,0,2,4,12,15,9,5,13
11,12,7,6,0,3,4,8,9,14,16,10,1,13,2,5,15
11,12,8,6,0,3,4,7,9,14,16,1,10,13,2,5,15
11,14,7,2,0,3,4,12,16,1,5,6,10,13,15,9,8
11,14,8,6,0,3,4,7,9,12,16,1,10,13,2,5,15
11,16,0,2,3,4,12,1,5,6,7,10,15,8,9,13,14
11,16,8,3,1,6,7,10,14,0,4,9,12,2,15,5,13
12,7,5,4,0,1,2,6,8,9,11,13,16,3,10,14,15
12,13,8,0,1,4,6,9,10,11,14,16,3,2,15,5,7
12,16,5,1,0,2,3,4,6,8,10,14,15,9,11,13,7
12,16,8,5,4,6,7,9,10,14,0,1,2,11,13,15,3
13,14,8,0,1,4,6,9,10,11,12,16,3,2,15,5,7
14,15,5,2,0,1,3,6,10,13,16,4,9,12,8,7,11
14,16,5,2,0,1,3,6,10,13,15,4,9,12,8,7,11
14,16,8,5,4,6,7,9,10,12,0,1,11,13,15,2,3
15,16,5,1,0,2,3,4,6,8,10,12,14,9,11,13,7
0,1,2,3,5,4,6,9,10,12,14,15,16,7,11,8,13
