0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"(0, 2)","(0, 3)","(0, 4)","(0, 5)","(0, 6)","(0, 7)","(0, 13)","(1, 5)","(1, 13)","(2, 5)","(2, 8)","(2, 12)","(2, 15)","(3, 4)","(3, 6)","(3, 7)","(3, 8)","(3, 12)","(3, 13)","(3, 15)","(4, 11)","(4, 12)","(4, 16)","(5, 6)","(5, 7)","(5, 8)","(5, 15)","(6, 8)","(6, 10)","(6, 11)","(6, 14)","(7, 10)","(7, 13)","(7, 14)","(7, 16)","(8, 10)","(8, 11)","(8, 12)","(8, 14)","(9, 11)","(10, 12)","(11, 13)","(11, 14)","(11, 15)","(12, 14)","(12, 15)","(12, 16)","(13, 15)","(13, 16)","(14, 16)"
87,44
0,1,5,13,7,15,3,2,6,8,12,11,10,14,4,16
1,0,5,13,7,15,3,2,6,8,12,11,10,14,16,4
8,0,2,3,5,6,12,15,7,4,10,14,16,11,13,1
9,0,11,4,6,13,3,16,8,15,7,12,14,2,5,10,1
10,1,6,5,7,8,13,0,3,14,11,15,2,4,12,16
11,0,4,6,13,3,16,8,15,7,12,14,2,5,10,1
12,1,2,5,8,15,3,13,16,0,6,7,11,14,4,10
14,1,6,5,7,8,13,11,16,0,3,10,15,12,4,2
15,1,5,13,0,7,2,3,8,12,6,11,10,14,16,4
16,0,4,7,13,3,11,12,6,8,15,14,2,10,5,1
0,1,5,13,7,15,3,2,6,8,12,11,10,14,4,16
0,2,4,12,3,8,15,5,6,11,13,7,1,10,14,16
1,2,5,7,13,0,15,3,8,12,6,10,14,11,16,4
3,0,2,8,12,15,5,6,11,4,13,7,1,10,14,16
3,8,5,0,6,7,15,2,13,10,14,11,12,1,16,4
3,12,2,0,8,15,4,5,6,13,11,16,7,1,10,14
4,0,2,12,3,8,15,11,5,6,13,14,7,1,10,16
5,0,1,13,7,15,3,2,6,8,12,11,10,14,4,16
5,1,0,13,7,15,3,2,6,8,12,11,10,14,16,4
5,8,0,2,3,6,12,15,7,4,10,14,16,11,13,1
5,15,1,13,0,7,2,3,8,12,6,11,10,14,16,4
6,0,2,5,8,3,12,15,7,10,14,4,16,11,13,1
6,1,5,7,0,3,10,14,13,8,15,12,11,16,2,4
7,0,1,5,13,15,3,2,6,8,12,10,14,11,16,4
7,10,12,3,14,16,6,8,4,13,0,5,11,15,2,1
7,14,15,3,5,13,11,12,6,8,0,4,1,2,16,10
7,16,4,0,3,13,12,11,15,10,14,2,6,8,5,1
8,1,5,0,2,3,6,13,12,15,7,11,16,4,10,14
12,2,7,3,10,14,16,0,5,8,15,6,4,13,11,1
13,0,2,15,3,5,8,12,6,7,1,11,10,14,16,4
13,1,2,0,15,5,3,7,8,12,6,11,10,14,16,4
13,9,11,0,4,6,3,16,8,15,7,12,14,2,5,10,1
13,11,0,4,6,3,16,8,15,7,12,14,2,5,10,1
14,2,8,12,15,11,3,5,4,6,13,7,0,16,10,1
15,2,4,3,11,12,0,8,6,13,14,5,10,16,7,1
0,2,5,6,8,3,12,15,7,4,10,14,16,13,11,1
2,5,8,0,3,6,12,15,7,4,10,14,16,11,13,1
3,7,0,12,10,14,16,2,4,6,8,11,13,15,5,1
3,7,13
3,13,0,6,11,4,8,15,16,12,2,5,7,14,10,1
5,6,8,0,2,3,12,15,7,10,14,4,16,11,13,1
5,7,0,1,13,15,3,2,6,8,12,10,14,11,16,4
7,13,0,2,5,15,1,3,8,12,6,10,14,11,16,4
12,2,8,7,3,10,14,16,0,5,15,6,4,13,11,1
