0,1,2,3,4,5,6,7,8,9,10,11,12,13
"(0, 13)","(0, 2)","(0, 12)","(0, 3)","(0, 11)","(0, 4)","(0, 7)","(0, 9)","(1, 13)","(1, 4)","(1, 12)","(1, 5)","(1, 11)","(1, 6)","(1, 8)","(2, 3)","(2, 5)","(2, 13)","(2, 6)","(2, 12)","(2, 11)","(2, 10)","(3, 4)","(3, 5)","(3, 7)","(3, 13)","(3, 10)","(4, 6)","(4, 7)","(4, 8)","(4, 9)","(5, 6)","(5, 7)","(5, 8)","(5, 9)","(6, 7)","(6, 8)","(6, 9)","(6, 10)","(7, 8)","(7, 9)","(7, 10)","(7, 11)","(8, 9)","(8, 10)","(8, 11)","(8, 12)","(9, 10)","(9, 11)","(9, 12)","(10, 11)","(10, 12)","(10, 13)","(11, 12)","(11, 13)","(12, 13)"
167,111
0,1,13,12,11,4,3,9,8,7,5,2,10,6
1,3,13,4,5,0,2,6,7,8,9,12,11,10
5,0,3,7,2,9,4,10,6,11,12,1,8,13
6,0,7,4,9,2,5,10,3,11,12,8,1,13
8,0,7,9,11,4,12,10,1,13,3,2,6,5
10,1,11,8,12,13,6,9,7,2,5,4,0,3
0,2,1,13,12,11,4,5,6,3,10,9,8,7
1,4,5,3,6,7,8,9,13,2,10,0,11,12
2,5,1,13,6,12,11,3,10,8,9,7,4,0
2,6,4,3,0,5,7,10,9,8,1,11,12,13
2,10,1,5,13,6,12,11,8,3,7,9,4,0
3,0,1,4,5,13,12,11,6,7,8,9,2,10
3,5,1,4,13,6,7,8,9,0,2,10,11,12
3,10,1,4,5,13,11,8,12,6,7,9,0,2
4,0,2,3,6,5,7,10,9,8,1,11,12,13
4,6,0,7,9,2,5,10,3,11,12,8,1,13
4,8,0,7,9,11,12,10,1,6,3,13,2,5
5,1,4,6,3,7,8,9,2,10,13,0,11,12
6,1,3,5,7,4,2,10,13,8,9,11,0,12
7,0,2,6,5,10,3,11,4,9,8,1,12,13
7,5,2,6,10,3,11,0,4,8,9,1,12,13
7,6,3,5,4,2,10,8,1,9,0,11,12,13
7,8,3,10,5,4,9,6,2,1,0,11,12,13
7,10,2,6,5,3,11,0,4,8,9,1,13,12
8,1,3,7,10,5,4,13,6,11,0,12,9,2
9,0,3,10,7,5,4,11,12,13,2,8,6,1
9,5,4,6,3,7,8,1,2,10,0,13,11,12
9,6,3,10,7,5,4,0,2,8,11,12,13,1
9,8,3,10,7,5,4,0,6,2,11,12,13,1
9,10,5,8,7,6,3,2,4,11,12,0,1,13
11,0,1,13,12,4,3,9,8,7,2,10,5,6
11,1,7,4,5,6,8,0,9,3,2,10,13,12
11,8,0,7,9,4,12,10,1,13,3,2,6,5
11,10,1,8,12,13,6,9,2,7,5,4,0,3
12,0,1,13,11,4,3,9,8,7,2,10,5,6
12,1,7,11,10,0,9,8,4,5,6,2,13,3
12,8,0,7,9,11,4,10,1,13,3,2,6,5
12,10,1,11,8,13,6,9,7,2,5,4,0,3
13,0,1,12,11,4,9,8,7,3,10,6,5,2
13,1,10,12,11,6,8,9,2,7,0,5,4,3
13,10,1,11,8,12,6,9,7,2,0,5,4,3
0,2,3,12,13,10,9,11,7,6,5,4,8,1
1,4,6,7,5,11,8,3,9,2,0,10,13,12
2,3,10,12,0,13,11,7,9,6,5,8,4,1
2,11,0,10,13,12,3,7,9,8,4,5,6,1
2,11,10,9,0,5,6,12,13,3,7,4,8,1
2,12,0,10,13,3,11,7,9,4,5,6,8,1
2,12,10,9,0,5,6,11,13,3,7,4,8,1
2,13,0,1,5,6,12,11,4,3,7,9,8,10
2,13,10,1,5,6,12,11,8,3,7,9,4,0
3,4,0,6,2,5,7,10,9,11,12,8,1,13
3,4,7
3,7,0,2,6,5,10,11,4,9,8,1,12,13
3,13,0,1,4,5,12,11,6,7,8,9,2,10
3,13,10,1,4,5,11,8,12,6,0,7,9,2
4,7,0,2,3,6,5,10,11,13,9,8,1,12
4,7,6,5,3,1,8,9,2,10,13,0,11,12
4,7,8,5,3,6,1,9,10,2,13,0,11,12
4,8,1,5,3,6,7,9,10,13,2,0,11,12
4,9,0,6,2,7,3,5,12,11,10,13,8,1
4,9,6,5,3,1,7,8,0,10,2,13,12,11
4,9,8,5,3,6,1,7,0,10,2,13,12,11
5,1,6,7,4,11,8,3,9,0,2,10,13,12
7,9,0,3,10,5,4,11,12,13,2,8,6,1
7,9,5,4,6,3,8,1,2,10,0,13,11,12
7,9,6,3,10,5,4,0,2,8,11,12,13,1
7,9,8,3,10,5,4,0,6,2,11,12,13,1
7,9,10,5,8,6,3,2,4,11,12,0,1,13
7,11,0,8,12,4,9,10,1,13,3,2,6,5
7,11,8,6,10,9,1,2,12,13,5,4,0,3
7,11,10,6,9,8,1,2,12,5,4,0,13,3
9,5,6,4,3,7,8,1,0,10,2,13,11,12
9,10,6,5,8,7,3,2,4,11,12,0,1,13
9,11,0,6,10,8,7,1,2,4,12,13,3,5
9,11,8,6,10,7,1,2,12,13,5,4,3,0
9,11,10,6,8,7,1,2,5,12,4,3,0,13
9,12,0,10,13,2,3,11,7,5,6,4,8,1
9,12,8,7,11,10,0,13,3,2,4,1,5,6
9,12,10,7,11,0,8,13,2,3,4,1,5,6
11,1,8,10,13,12,6,2,9,7,5,0,3,4
11,12,0,1,13,4,3,7,8,9,2,10,5,6
11,12,1,7,10,0,9,8,4,5,6,13,3,2
11,12,8,0,7,9,4,10,1,13,3,2,6,5
11,12,10,1,8,13,6,2,7,9,5,3,0,4
11,13,0,1,12,4,9,8,7,3,10,6,5,2
11,13,1,10,12,6,8,9,2,7,0,5,4,3
11,13,10,1,8,12,6,9,2,7,0,5,4,3
12,1,8,10,13,11,6,2,9,7,5,0,3,4
12,13,0,1,11,4,9,8,7,3,10,6,5,2
12,13,1,10,11,6,8,9,7,2,0,5,4,3
12,13,10,1,11,8,6,9,7,2,0,5,4,3
2,11,0,12,10,13,3,7,9,4,5,6,8,1
2,11,10,12,9,0,5,6,13,3,7,4,8,1
2,11,13,0,10,12,3,7,9,8,4,5,6,1
2,11,13,10,9,0,5,6,12,3,7,4,8,1
2,12,13,0,10,3,11,7,9,4,5,6,8,1
2,12,13,10,9,0,5,6,11,3,7,4,8,1
4,7,6,8,5,3,1,9,2,10,13,0,11,12
4,7,9,6,5,3,1,8,0,10,2,13,11,12
4,7,9,8,5,3,6,1,0,10,2,13,11,12
4,9,8,6,5,3,1,7,0,10,2,13,12,11
7,9,5,6,4,3,8,1,0,10,2,13,11,12
7,9,10,6,5,8,3,2,4,11,12,0,1,13
7,9,11,8,6,10,1,2,12,13,4,5,3,0
7,9,11,10,6,8,1,2,5,12,4,13,3,0
7,11,10,8,6,9,1,2,12,5,4,0,13,3
9,11,12,8,7,10,0,13,3,2,4,1,5,6
9,11,12,10,7,0,8,13,2,3,4,1,5,6
9,12,8,10,7,11,0,4,13,2,3,1,6,5
11,12,13,0,1,4,7,8,9,3,10,6,5,2
11,12,13,10,1,8,6,7,9,2,0,3,5,4
