0,1,2,3,4,5,6,7,8,9,10,11,12,13
"(0, 13)","(0, 2)","(0, 12)","(0, 3)","(0, 11)","(0, 4)","(0, 8)","(1, 2)","(1, 3)","(1, 4)","(1, 6)","(1, 10)","(1, 11)","(1, 7)","(2, 4)","(2, 8)","(2, 12)","(3, 5)","(3, 11)","(3, 12)","(4, 5)","(4, 6)","(4, 8)","(4, 9)","(5, 6)","(5, 8)","(5, 9)","(5, 13)","(5, 10)","(6, 7)","(6, 10)","(6, 13)","(7, 8)","(7, 9)","(7, 12)","(7, 13)","(8, 11)","(9, 10)","(9, 13)","(9, 11)","(11, 12)","(12, 13)"
76,42
0,1,2,3,11,4,12,8,5,9,7,13,6,10
1,0,2,3,4,11,12,8,5,9,7,13,6,10
5,1,4,6,3,10,0,9,13,8,2,11,7,12
6,0,4,13,5,9,3,8,7,10,11,1,12,2
7,0,8,12,13,11,2,5,1,9,3,4,6,10
9,1,7,10,4,11,6,8,12,5,0,13,2,3
10,0,6,4,9,1,5,13,11,2,3,8,7,12
0,2,3,1,12,4,11,7,5,8,9,6,13,10
1,2,3,0,12,11,4,7,8,9,5,6,13,10
2,12
3,0,10,1,5,13,4,8,9,11,6,2,7,12
3,1,10,5,4,6,0,9,2,11,13,8,7,12
4,0,1,2,3,11,12,8,5,9,7,13,6,10
4,1,0,2,3,11,12,8,5,9,7,13,6,10
4,5,1,6,3,10,0,9,13,8,2,11,7,12
4,6,0,13,5,9,3,8,7,10,11,1,12,2
4,9,1,7,10,11,6,8,12,5,0,13,2,3
6,1,0,4,13,2,3,11,5,9,8,7,12,10
7,1,5,6,8,9,13,3,4,10,11,2,0,12
8,0,1,7,11,2,4,3,12,13,9,6,5,10
8,5,1,7,11,2,4,6,3,10,9,13,12,0
8,11
10,1,0,6,4,9,5,13,11,2,3,8,7,12
11,0,2,12,8,1,7,3,4,9,13,6,5,10
11,1,2,12,8,0,7,3,4,9,13,6,5,10
12,0,1,11,7,2,3,4,8,9,13,6,5,10
12,7,5,3,13,6,8,9,1,0,11,4,10,2
13,0,1,6,7,2,3,11,4,5,8,12,9,10
13,5,4,0,9,6,3,8,11,7,10,12,1,2
13,6,0,4,5,9,3,8,7,10,11,12,1,2
0,2,4,7,13,12,8,1,6,9,5,11,3,10
1,2,4,5,3,6,10,8,0,12,11,7,9,13
2,8,0,3,1,12,5,11,4,7,6,10,13,9
2,12,0,3,1,11,7,4,8,9,13,6,5,10
3,0,11,10,1,5,13,4,8,9,6,2,7,12
3,11,12
3,12,0,10,1,5,11,7,2,9,13,6,4,8
4,6,1,0,13,2,3,11,5,9,7,12,8,10
4,8,0,1,7,11,2,3,6,9,12,13,5,10
4,8,5,1,7,11,2,6,3,10,9,13,12,0
7,1,6,12,2,3,11,13,8,4,0,5,9,10
11,12,0,2,8,1,7,4,3,9,13,6,5,10
