0,1,2,3,4,5,6,7,8,9,10,11,12
"(0, 1)","(0, 12)","(0, 2)","(0, 11)","(0, 10)","(0, 9)","(0, 5)","(0, 7)","(0, 6)","(0, 3)","(0, 4)","(1, 2)","(1, 3)","(1, 4)","(1, 6)","(1, 8)","(1, 11)","(1, 7)","(1, 5)","(1, 10)","(2, 3)","(2, 5)","(2, 12)","(2, 6)","(2, 9)","(2, 8)","(2, 4)","(2, 11)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(3, 8)","(3, 11)","(3, 10)","(4, 5)","(4, 7)","(4, 8)","(4, 12)","(4, 6)","(4, 11)","(4, 10)","(5, 11)","(5, 6)","(5, 12)","(5, 7)","(5, 8)","(5, 9)","(6, 9)","(6, 11)","(6, 12)","(6, 8)","(6, 7)","(7, 9)","(7, 10)","(7, 12)","(8, 9)","(8, 10)","(8, 11)","(8, 12)","(9, 12)","(9, 10)","(10, 11)","(10, 12)","(11, 12)"
715,300
8,0,9,4,3,2,1,10,6,5,11,12,7
0,9,1,8,7,6,2,10,5,4,3,11,12
0,12,1,11,2,7,4,5,6,10,8,3,9
1,8,0,9,4,3,2,10,6,5,11,12,7
2,8,0,9,4,3,1,10,6,5,11,12,7
3,8,0,9,4,2,1,10,6,5,11,12,7
4,8,0,9,3,2,1,10,6,5,11,12,7
5,8,0,9,4,3,2,1,10,6,11,12,7
6,8,0,9,4,3,2,1,10,5,11,12,7
9,8,1,7,6,0,2,10,5,4,3,12,11
10,8,0,9,4,3,2,1,6,5,11,12,7
11,8,0,9,4,3,2,1,10,6,5,12,7
12,8,1,11,0,2,7,4,5,6,10,3,9
0,1,7,2,9,4,3,12,5,6,8,10,11
0,1,10,2,3,9,8,4,11,12,5,6,7
0,2,9,4,8,7,6,12,10,5,3,1,11
0,2,12,3,11,7,4,5,6,10,8,1,9
0,4,12,1,11,2,7,5,6,10,8,3,9
0,5,9,1,8,7,6,2,10,4,3,11,12
0,5,12,1,11,2,7,4,6,10,8,3,9
0,6,9,1,8,7,2,10,5,4,3,11,12
0,6,12,1,11,2,7,4,5,10,8,3,9
0,7,9,4,8,6,12,2,10,5,3,1,11
0,7,12,3,11,2,4,5,6,10,8,1,9
0,10,9,6,7,3,8,4,11,12,1,5,2
0,10,12,3,11,2,7,4,5,6,8,1,9
0,11,12,1,2,7,4,5,6,10,8,3,9
1,2,8,0,9,4,3,10,6,5,11,12,7
1,3,8,0,9,4,2,10,6,5,11,12,7
1,4,8,0,9,3,2,10,6,5,11,12,7
1,5,8,0,9,4,3,2,10,6,11,12,7
1,6,8,0,9,4,3,2,10,5,11,12,7
1,10,8,2,0,3,9,4,11,12,5,6,7
1,11,8,0,9,4,3,2,10,6,5,12,7
2,3,8,0,9,4,1,10,6,5,11,12,7
2,4,8,0,9,3,1,10,6,5,11,12,7
2,5,8,0,9,4,3,1,10,6,11,12,7
2,6,8,0,9,4,3,1,10,5,11,12,7
2,9,8,4,7,6,12,0,10,5,3,1,11
2,11,8,0,9,4,3,1,10,6,5,12,7
2,12,8,3,11,0,7,4,5,6,10,1,9
3,4,8,0,9,2,1,10,6,5,11,12,7
3,5,8,0,9,4,2,1,10,6,11,12,7
3,6,8,0,9,4,2,1,10,5,11,12,7
3,10,8,0,9,4,2,1,6,5,11,12,7
3,11,8,0,9,4,2,1,10,6,5,12,7
4,5,8,0,9,3,2,1,10,6,11,12,7
4,6,8,0,9,3,2,1,10,5,11,12,7
4,10,8,0,9,3,2,1,6,5,11,12,7
4,11,8,0,9,3,2,1,10,6,5,12,7
4,12,8,1,11,0,2,7,5,6,10,3,9
5,6,8,0,9,4,3,2,1,10,11,12,7
5,9,8,1,7,6,0,2,10,4,3,12,11
5,11,8,0,9,4,3,2,1,10,6,12,7
5,12,8,1,11,0,2,7,4,6,10,3,9
6,9,8,1,7,0,2,10,5,4,3,12,11
6,11,8,0,9,4,3,2,1,10,5,12,7
6,12,8,1,11,0,2,7,4,5,10,3,9
9,10,8,11,6,12,0,2,5,3,1,4,7
9,12,0,1,8,7,6,2,10,5,11,4,3
9,12,8,1,7,6,0,2,10,5,11,4,3
10,11,8,0,9,4,3,2,1,6,5,12,7
10,12,8,3,11,0,2,7,4,5,6,1,9
11,12,8,1,0,2,7,4,5,6,10,9,3
0,1,3,7,2,9,4,12,5,6,8,10,11
0,1,3,10,2,9,8,4,11,12,7,6,5
0,1,4,7,2,9,3,12,5,6,8,10,11
0,1,4,10,2,3,9,8,11,12,5,6,7
0,1,5,7,2,9,4,3,12,6,8,10,11
0,1,6,7,2,9,4,3,12,5,8,10,11
0,1,11,10,2,3,9,8,4,12,5,6,7
0,2,4,12,3,11,7,5,6,10,8,1,9
0,2,5,9,4,8,7,6,12,10,3,1,11
0,2,5,12,3,11,7,4,6,10,8,1,9
0,2,6,9,4,8,7,12,10,5,3,1,11
0,2,6,12,3,11,7,4,5,10,8,1,9
0,2,11,12,3,7,4,5,6,10,8,9,1
0,4,5,12,1,11,2,7,6,10,8,3,9
0,4,6,12,1,11,2,7,5,10,8,3,9
0,4,7,12,3,11,2,5,6,10,8,1,9
0,4,10,12,6,7,3,9,8,11,1,5,2
0,4,11,12,1,2,7,5,6,10,8,3,9
0,5,6,9,1,8,7,2,10,4,3,11,12
0,5,6,12,1,11,2,7,4,10,8,3,9
0,5,7,9,4,8,6,12,2,10,3,1,11
0,5,7,12,3,11,2,4,6,10,8,1,9
0,5,11,12,1,2,7,4,6,10,8,3,9
0,6,7,9,4,8,12,2,10,5,3,1,11
0,6,7,12,3,11,2,4,5,10,8,1,9
0,6,11,12,1,2,7,4,5,10,8,3,9
0,7,10,1,2,9,4,3,12,5,6,8,11
0,7,10,9,11,4,3,12,5,6,1,8,2
0,7,10,12,3,11,2,4,5,6,8,1,9
0,10,11,12,3,2,7,4,5,6,8,1,9
1,2,3,8,0,9,4,10,6,5,11,12,7
1,2,4,8,0,9,3,10,6,5,11,12,7
1,2,5,8,0,9,4,3,10,6,11,12,7
1,2,6,8,0,9,4,3,10,5,11,12,7
1,2,11,8,0,9,4,3,10,6,5,12,7
1,3,4,8,0,9,2,10,6,5,11,12,7
1,3,5,8,0,9,4,2,10,6,11,12,7
1,3,6,8,0,9,4,2,10,5,11,12,7
1,3,10,8,2,0,9,4,11,12,5,6,7
1,3,11,8,0,9,4,2,10,6,5,12,7
1,4,5,8,0,9,3,2,10,6,11,12,7
1,4,6,8,0,9,3,2,10,5,11,12,7
1,4,10,8,2,0,3,9,11,12,5,6,7
1,4,11,8,0,9,3,2,10,6,5,12,7
1,5,6,8,0,9,4,3,2,10,11,12,7
1,5,11,8,0,9,4,3,2,10,6,12,7
1,6,11,8,0,9,4,3,2,10,5,12,7
1,10,11,8,2,0,3,9,4,12,5,6,7
2,3,4,8,0,9,1,10,6,5,11,12,7
2,3,5,8,0,9,4,1,10,6,11,12,7
2,3,6,8,0,9,4,1,10,5,11,12,7
2,3,11,8,0,9,4,1,10,6,5,12,7
2,4,5,8,0,9,3,1,10,6,11,12,7
2,4,6,8,0,9,3,1,10,5,11,12,7
2,4,11,8,0,9,3,1,10,6,5,12,7
2,4,12,8,3,11,0,7,5,6,10,1,9
2,5,6,8,0,9,4,3,1,10,11,12,7
2,5,9,8,4,7,6,12,0,10,3,1,11
2,5,11,8,0,9,4,3,1,10,6,12,7
2,5,12,8,3,11,0,7,4,6,10,1,9
2,6,9,8,4,7,12,0,10,5,3,1,11
2,6,11,8,0,9,4,3,1,10,5,12,7
2,6,12,8,3,11,0,7,4,5,10,1,9
2,9,12,0,4,8,7,6,10,5,3,1,11
2,9,12,8,4,7,6,0,10,5,3,1,11
2,11,12,8,3,0,7,4,5,6,10,1,9
3,4,5,8,0,9,2,1,10,6,11,12,7
3,4,6,8,0,9,2,1,10,5,11,12,7
3,4,10,8,0,9,2,1,6,5,11,12,7
3,4,11,8,0,9,2,1,10,6,5,12,7
3,5,6,8,0,9,4,2,1,10,11,12,7
3,5,11,8,0,9,4,2,1,10,6,12,7
3,6,11,8,0,9,4,2,1,10,5,12,7
3,10,11,8,0,9,4,2,1,6,5,12,7
4,5,6,8,0,9,3,2,1,10,11,12,7
4,5,11,8,0,9,3,2,1,10,6,12,7
4,5,12,8,1,11,0,2,7,6,10,3,9
4,6,11,8,0,9,3,2,1,10,5,12,7
4,6,12,8,1,11,0,2,7,5,10,3,9
4,7,10,12
4,10,11,8,0,9,3,2,1,6,5,12,7
4,10,12,8,9,5,7,2,6,0,3,11,1
4,11,12,8,1,0,2,7,5,6,10,9,3
5,6,9,8,1,7,0,2,10,4,3,12,11
5,6,11,8,0,9,4,3,2,1,10,12,7
5,6,12,8,1,11,0,2,7,4,10,3,9
5,9,12,0,1,8,7,6,2,10,11,4,3
5,9,12,8,1,7,6,0,2,10,11,4,3
5,11,12,8,1,0,2,7,4,6,10,9,3
6,9,12,0,1,8,7,2,10,5,11,4,3
6,9,12,8,1,7,0,2,10,5,11,4,3
6,11,12,8,1,0,2,7,4,5,10,9,3
7,9,10,12
7,9,12,0,4,8,6,2,10,5,3,1,11
9,10,12,0,6,7,3,8,4,11,1,5,2
10,11,12,8,3,0,2,7,4,5,6,1,9
0,1,3,4,7,2,9,12,5,6,8,10,11
0,1,3,4,10,6,7,9,8,11,12,5,2
0,1,3,5,7,2,9,4,12,6,8,10,11
0,1,3,6,7,2,9,4,12,5,8,10,11
0,1,3,11,10,2,9,8,4,12,7,6,5
0,1,4,5,7,2,9,3,12,6,8,10,11
0,1,4,6,7,2,9,3,12,5,8,10,11
0,1,4,11,10,2,3,9,8,12,5,6,7
0,1,5,6,7,2,9,4,3,12,8,10,11
0,2,4,5,12,3,11,7,6,10,8,1,9
0,2,4,6,12,3,11,7,5,10,8,1,9
0,2,4,11,12,3,7,5,6,10,8,9,1
0,2,5,6,9,11,8,12,10,4,3,1,7
0,2,5,6,12,3,11,7,4,10,8,1,9
0,2,5,11,12,3,7,4,6,10,8,9,1
0,2,6,11,12,3,7,4,5,10,8,9,1
0,3,4,7,10
0,3,4,10,11
0,3,7,10,1,2,9,4,12,5,6,8,11
0,4,5,6,12,1,11,2,7,10,8,3,9
0,4,5,7,12,3,11,2,6,10,8,1,9
0,4,5,11,12,1,2,7,6,10,8,3,9
0,4,6,7,12,3,11,2,5,10,8,1,9
0,4,6,11,12,1,2,7,5,10,8,3,9
0,4,7,10,1,2,9,3,12,5,6,8,11
0,5,6,7,9,11,4,10,3,12,1,8,2
0,5,6,7,12,3,11,2,4,10,8,1,9
0,5,6,11,12,1,2,7,4,10,8,3,9
1,2,3,4,8,0,9,10,6,5,11,12,7
1,2,3,5,8,0,9,4,10,6,11,12,7
