0,1,2,3,4,5,6,7,8,9,10,11,12,13
"(0, 1)","(0, 13)","(0, 2)","(0, 12)","(0, 3)","(0, 11)","(0, 4)","(0, 9)","(0, 8)","(0, 7)","(0, 10)","(0, 5)","(0, 6)","(1, 3)","(1, 4)","(1, 5)","(1, 6)","(1, 10)","(1, 9)","(1, 8)","(1, 2)","(1, 12)","(1, 13)","(2, 4)","(2, 5)","(2, 13)","(2, 6)","(2, 7)","(2, 11)","(2, 8)","(2, 10)","(2, 3)","(2, 9)","(3, 7)","(3, 13)","(3, 8)","(3, 12)","(3, 9)","(3, 11)","(3, 10)","(3, 5)","(3, 4)","(3, 6)","(4, 5)","(4, 6)","(4, 7)","(4, 8)","(4, 9)","(4, 13)","(4, 10)","(4, 12)","(4, 11)","(5, 8)","(5, 9)","(5, 10)","(5, 11)","(5, 13)","(5, 12)","(5, 6)","(5, 7)","(6, 10)","(6, 13)","(6, 8)","(6, 9)","(6, 7)","(7, 10)","(7, 13)","(7, 9)","(7, 8)","(7, 11)","(8, 9)","(8, 11)","(8, 13)","(8, 10)","(9, 13)","(9, 11)","(9, 12)","(9, 10)","(10, 11)","(10, 12)","(10, 13)","(11, 12)","(11, 13)","(12, 13)"
Nombre de convexes,4486
Nombre d'attributs,48
Attributs :
1,7,0,3,4,5,6,10,9,8,2,13
1,11,0,3,4,5,10,9,8,2,12,13
6,11,4,2,10,5,13,8,3,9,7,0
6,12,4,10,1,5,13,3,9,0
7,12,4,10,3,13,0,5,9,11
0,1,3,4,5,9,10,12
0,1,3,4,5,9,12,13
0,1,3,4,5,10,12,13
0,1,3,4,9,10,12,13
0,1,3,5,9,10,12,13
0,1,4,5,9,10,12,13
0,3,4,5,9,10,11,12
0,3,4,5,9,11,12,13
0,3,4,5,10,11,12,13
0,3,4,9,10,11,12,13
0,3,5,9,10,11,12,13
0,4,5,9,10,11,12,13
1,3,4,5,9,10,12,13
3,4,5,9,10,11,12,13
0,1,2,3,4,5,6,8,9,10
0,1,2,3,4,5,6,8,9,13
0,1,2,3,4,5,6,8,10,13
0,1,2,3,4,5,6,9,10,13
0,1,2,3,4,6,8,9,10,13
0,1,2,3,5,6,8,9,10,13
0,1,2,4,5,6,8,9,10,13
0,1,3,4,5,6,8,9,10,13
0,2,3,4,5,6,7,8,9,10
0,2,3,4,5,6,7,8,9,13
0,2,3,4,5,6,7,8,10,13
0,2,3,4,5,6,7,9,10,13
0,2,3,4,5,7,8,9,10,11
0,2,3,4,5,7,8,9,11,13
0,2,3,4,5,7,8,10,11,13
0,2,3,4,5,7,9,10,11,13
0,2,3,4,6,7,8,9,10,13
0,2,3,4,7,8,9,10,11,13
0,2,3,5,6,7,8,9,10,13
0,2,3,5,7,8,9,10,11,13
0,2,4,5,6,7,8,9,10,13
0,2,4,5,7,8,9,10,11,13
0,3,4,5,6,7,8,9,10,13
0,3,4,5,7,8,9,10,11,13
1,2,3,4,5,6,8,9,10,13
2,3,4,5,6,7,8,9,10,13
2,3,4,5,7,8,9,10,11,13
0,1,2,3,4,5,6,8,9,10,13
0,2,3,4,5,7,8,9,10,11,13
