0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"(0, 17)","(0, 2)","(0, 16)","(0, 15)","(0, 4)","(0, 14)","(0, 5)","(0, 13)","(0, 6)","(0, 9)","(0, 8)","(0, 3)","(0, 7)","(1, 3)","(1, 16)","(1, 15)","(1, 7)","(1, 2)","(1, 13)","(1, 9)","(1, 10)","(1, 11)","(1, 17)","(1, 5)","(2, 6)","(2, 15)","(2, 13)","(2, 11)","(2, 4)","(2, 3)","(3, 4)","(3, 5)","(3, 16)","(3, 15)","(3, 11)","(3, 12)","(3, 9)","(3, 14)","(4, 5)","(4, 17)","(4, 16)","(4, 11)","(4, 10)","(4, 12)","(4, 8)","(5, 6)","(5, 8)","(5, 9)","(5, 10)","(5, 11)","(5, 17)","(6, 8)","(6, 9)","(6, 10)","(6, 11)","(6, 16)","(6, 7)","(7, 9)","(7, 10)","(7, 17)","(7, 8)","(7, 14)","(7, 13)","(8, 10)","(8, 12)","(8, 13)","(8, 9)","(8, 11)","(9, 10)","(9, 13)","(9, 17)","(10, 11)","(10, 14)","(10, 15)","(10, 17)","(11, 12)","(11, 14)","(11, 15)","(11, 17)","(12, 13)","(12, 14)","(12, 15)","(12, 17)","(13, 15)","(13, 17)","(14, 15)","(14, 17)","(15, 17)","(15, 16)","(16, 17)"
362,227
0,1,17,2,16,15,5,13,9,3,7,4,11,14,12,6,10,8
1,0,3,16,15,7,2,13,9,17,5,14,12,4,11,6,10,8
10,0,9,8,7,6,14,5,15,17,4,3,13,1,12,11,2,16
11,0,14,15,6,4,5,17,2,3,8,10,7,12,16,1,13,9
12,2,11,13,15,4,3,17,1,8,0,9,10,16,14,5,7,6
0,2,1,17,16,15,5,13,9,3,7,4,11,14,12,6,10,8
1,2,0,3,16,15,7,13,9,17,5,14,12,4,11,6,10,8
2,11,0,14,15,6,4,5,17,3,8,10,7,12,16,1,13,9
3,0,1,17,2,16,15,5,13,9,7,14,12,4,11,6,10,8
3,1,0,16,15,7,2,13,9,17,5,6,4,14,10,11,8,12
3,11,0,14,15,6,4,5,17,2,8,10,7,12,16,1,13,9
3,12,2,11,13,15,4,17,1,8,9,0,10,16,14,5,7,6
4,0,1,3,5,17,16,11,10,2,15,13,9,7,12,14,6,8
4,10,3,9,11,14,5,15,1,0,8,17,6,7,13,12,2,16
4,11,1,3,5,17,16,10,2,15,0,12,9,14,6,13,8,7
4,12,2,11,13,15,3,17,1,8,0,9,10,16,14,5,7,6
5,0,2,4,6,3,11,1,16,10,8,17,9,7,14,15,13,12
5,1,2,4,6,3,0,11,17,16,10,8,9,7,15,13,14,12
5,10,0,9,8,7,6,14,15,17,4,3,13,1,12,11,2,16
5,11,0,14,15,6,4,17,2,3,8,10,7,12,1,16,13,9
6,0,1,5,9,2,10,11,16,7,17,15,13,3,4,8,14,12
6,10,4,5,8,2,11,0,16,3,1,17,13,15,14,9,7,12
6,11,1,5,9,2,10,16,7,4,3,0,17,8,13,15,14,12
6,16
7,0,5,9,10,1,17,8,6,14,15,4,3,16,2,13,11,12
7,1,8,13,9,10,11,5,15,17,12,2,0,6,3,14,16,4
7,10,0,9,8,6,14,5,15,17,4,3,13,1,12,11,2,16
8,0,3,5,12,9,4,11,17,13,14,15,10,6,1,2,7,16
8,10,3,5,12,0,9,4,11,14,15,1,17,13,6,7,2,16
8,11,3,5,12,0,9,4,17,13,14,15,2,6,10,1,7,16
8,12,3,5,0,9,4,11,17,15,14,13,2,6,10,1,7,16
9,0,2,6,13,1,3,8,7,5,10,11,16,12,15,17,4,14
9,1,2,6,13,0,3,5,10,11,16,7,8,12,15,17,4,14
