0,1,2,3,4,5,6,7,8,9,10,11
"(0, 2)","(0, 3)","(0, 5)","(1, 2)","(1, 6)","(1, 7)","(1, 9)","(2, 11)","(3, 4)","(3, 6)","(3, 7)","(3, 9)","(4, 5)","(4, 6)","(4, 8)","(5, 6)","(5, 8)","(5, 9)","(6, 8)","(6, 10)","(6, 11)","(7, 8)","(7, 11)","(8, 9)","(8, 11)","(10, 11)"
56,26
0,1,2
1,0,2
4,0,3,5,6,9,1,8,2,7,11
6,0,3,5,4,9,8,1,7,2,11
9,0,3,5,4,6,8,1,7,2,11
10,0,6,3,5,11,2,1,4,9,7,8
11,0,2
0,1,2,3,6,7,9,5,11,8,4
3,0,1,6,7,9,2,5,8,11,4
3,4,5,0,6,9,1,8,7,2,11
3,6,2,0,1,11,5,7,9,4,8
3,7
3,10,6,2,0,11,1,5,7,9,4,8
5,0,1,6,9,2,3,8,11,4,7
5,4,3,0,6,9,1,8,7,2,11
5,6,3,0,4,9,8,1,7,2,11
6,1,3,7,9,8,11,5,4,2,0
8,4,3,6,7,9,1,11,5,2,0
9,1,0,3,5,2,6,7,4,8,11
10,1,6,3,7,9,11,8,5,2,4,0
5,4,6,7,8,3,1,11,9,0,2
5,8,4,3,0,6,9,7,1,11,2
5,8,6,3,0,4,9,7,1,11,2
5,8,10,6,11,3,0,4,9,7,2,1
5,8,11,6,3,0,4,9,7,2,1
5,4,6,8,10,11
