0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"(0, 16)","(0, 2)","(0, 3)","(0, 14)","(0, 13)","(1, 2)","(1, 3)","(1, 16)","(1, 8)","(1, 5)","(2, 3)","(2, 5)","(2, 16)","(2, 9)","(2, 6)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(4, 6)","(4, 9)","(4, 11)","(4, 15)","(4, 14)","(5, 7)","(5, 11)","(6, 7)","(6, 15)","(7, 9)","(7, 10)","(8, 9)","(8, 10)","(8, 11)","(9, 10)","(9, 11)","(9, 12)","(9, 13)","(10, 11)","(10, 12)","(10, 13)","(11, 13)","(11, 14)","(11, 12)","(11, 15)","(12, 13)","(12, 15)","(13, 15)","(13, 16)","(13, 14)","(14, 15)","(15, 16)"
137,67
0,1,16,2,3
1,0,2,3,16
4,1,3
6,1,3,2
7,1,5,3
8,0,9,13,10,11,2,1,14,3,16,4,7,5,15,6,12
9,1,8,2
0,1,16,2,3,4,14,15,9,6,13,11,8,5,12,7,10
0,2,1,16,3
1,2,0,3,16
2,6,1,3
2,8,1,9,7,3,5,6,10,4,11,15,16,13,12,0,14
2,12,9,8,1,10,11,16,15,13,5,6,4,0,7,3,14
2,13,0,16,9,8,1,11,10,3,14,5,4,15,7,6,12
3,0,1,16,2
3,1,0,2,16
3,6,1,2
3,10,7,5,11,4,9,6,2,15,13,12,16,0,14,1,8
5,1,0,3,2,16
8,1,0,9,13,10,11,2,14,3,16,4,7,5,15,6,12
10,0,13,1,8,16,2,3,9,11,14,7,4,5,15,6,12
10,1,8,0,13,2,3,16,9,11,14,5,7,4,15,6,12
10,4,9,11,7,3,6,5,2,15,16,13,12,0,1,14,8
10,6,7,2,9,5,3,4,11,15,13,12,16,0,14,1,8
10,7,2,9,6,5,3,4,11,15,13,12,16,0,14,1,8
11,0,13,14,9,2,4,5,16,3,6,15,7,1,12,10,8
11,4,2,9,5,3,6,7,15,10,16,13,12,1,0,14,8
12,0,13,9,2,16,15,14,4,11,6,3,5,7,10,1,8
12,4,9,15,11,13,14,7,10,3,6,5,0,2,16,1,8
12,5,11,10,7,9,2,3,6,4,15,0,13,14,16,1,8
12,6,15,11,4,9,7,2,13,10,5,3,16,0,14,1,8
12,7,10,9,11,5,2,3,6,4,15,0,13,14,16,1,8
12,8,10,9,11,3,13,0,7,4,15,2,6,5,1,14,16
12,9,1,13,16,15,10,8,11,2,5,0,4,6,7,3,14
12,8,10,9,11,13,3,0,7,4,15,2,6,5,1,16,14
13,0,1,16,2,3,9,8,7,4,10,11,14,5,6,15,12
13,1,16,14,2,0,3,4,15,8,11,5,9,6,10,7,12
13,5,11,10,7,9,2,0,16,3,6,14,1,15,4,8,12
13,6,15,11,4,9,14,7,2,12,10,5,3,0,16,1,8
13,7,10,9,11,5,2,0,16,3,6,14,15,1,4,8,12
13,8,11,10,9,3,0,1,5,4,7,2,16,14,15,6,12
14,0,1,15,16,13,11,8,5,2,3,4,6,10,9,7,12
14,5,11,10,13,7,9,6,4,3,15,0,2,12,16,1,8
14,6,15,4,10,11,13,7,12,9,5,3,0,2,16,1,8
14,8,11,3,0,4,1,5,16,2,9,13,10,15,6,7,12
15,0,14,16,13,9,12,4,11,2,3,6,5,1,7,10,8
15,1,16,12,2,9,8,13,10,11,5,6,0,4,7,3,14
15,4,2,16,6,3,9,0,1,13,7,11,12,14,8,5,10
16,0,1,2,3
16,1,0,2,3
16,12,15,13,10,11
16,12,15,13,14,0,11,9,2,4,6,5,3,7,1,10,8
2,5,1,0,3,16
3,4,6,14,0,15,2,16,13,9,1,11,7,12,8,5,10
3,5,1,0,2,16
3,7,5,0,2,9,6,4,11,13,14,15,10,16,12,1,8
10,4,9,11,8,7,3,6,5,2,1,15,16,13,12,0,14
11,0,13,14,10,9,2,4,5,16,3,6,15,7,1,12,8
12,0,13,10,9,2,16,15,14,11,4,6,5,3,7,1,8
12,5,11,13,10,7,9,2,0,16,3,6,14,15,1,4,8
14,10,11,13,4,9,15,12,7,6,5,0,3,2,16,1,8
14,11,4,5,3,0,13,2,15,9,16,6,12,7,1,10,8
16,10,13,0,1,8,2,3,9,11,14,7,4,15,5,6,12
16,11,15,13,0,14,9,2,12,4,5,6,3,1,7,10,8
16,13,0,1,2,3,9,8,7,4,10,11,14,6,5,15,12
13,9,10,11,3,0,7,4,2,5,14,6,15,16,12,1,8
14,11,13,5,10,7,6,4,9,3,15,0,2,12,16,1,8
