0,1,2,3,4,5,6,7,8,9,10
"(0, 1)","(0, 10)","(0, 2)","(0, 9)","(0, 3)","(0, 5)","(0, 7)","(1, 3)","(1, 10)","(1, 4)","(1, 9)","(1, 8)","(2, 3)","(2, 5)","(2, 9)","(2, 7)","(2, 8)","(3, 6)","(3, 8)","(3, 7)","(4, 5)","(4, 6)","(4, 9)","(5, 7)","(5, 6)","(5, 9)","(5, 10)","(6, 8)","(6, 9)","(6, 7)","(7, 10)","(8, 9)","(8, 10)"
76,34
4,0,5,1,9,10,8,6,3,2,7
6,2,8,3,9,5,7,10,1,0,4
8,0,9,10,1,3,2,5,6,7,4
0,1,2,3,9,8,6,10,5,7,4
0,2,1,3,9,8,6,10,5,7,4
0,5,1,4,9,10,8,3,2,6,7
0,7,1,10,3,8,9,2,6,5,4
1,4,8,6,9,3,2,0,5,7,10
1,8,2,0,3,9,10,6,7,5,4
3,6,5,2,0,7,9,8,1,10,4
3,8,0,9,10,1,2,6,5,7,4
5,4,1,0,9,10,8,6,2,3,7
5,6,3,7,2,0,9,8,1,10,4
9,4,0,5,1,10,8,6,3,2,7
9,6,3,8,0,1,2,10,5,7,4
9,8,0,10,1,3,2,5,7,6,4
10,8,0,9,1,3,2,5,6,7,4
0,2,3,6,9,5,7,8,1,10,4
0,3,7,1,10,8,9,2,6,5,4
0,5,2,6,9,3,7,8,1,10,4
0,7,2,1,10,3,9,8,5,6,4
0,9,2,4,1,5,3,8,10,6,7
0,9,5,1,4,10,8,3,2,6,7
0,10,5,6,9,3,7,8,1,2,4
0,10,7,4,1,9,5,6,3,8,2
2,3,7
2,5,7
5,6,4,3,7,2,0,1,10,9,8
5,7,0,1,4,9,10,3,6,2,8
5,7,6,3,2,0,9,8,1,10,4
5,9,4,1,0,10,8,6,2,3,7
5,9,6,3,7,2,0,8,1,10,4
5,10,7
9,6,4,3,8,0,1,2,10,5,7
