0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"(0, 13)","(0, 12)","(0, 10)","(0, 8)","(0, 9)","(0, 14)","(0, 2)","(0, 6)","(0, 7)","(0, 3)","(0, 4)","(1, 7)","(1, 2)","(1, 10)","(1, 9)","(1, 3)","(1, 4)","(1, 8)","(1, 14)","(2, 4)","(2, 6)","(2, 13)","(2, 8)","(2, 10)","(2, 9)","(2, 11)","(2, 3)","(2, 5)","(2, 7)","(3, 4)","(3, 5)","(3, 14)","(3, 10)","(3, 12)","(3, 9)","(3, 7)","(3, 11)","(3, 6)","(4, 10)","(4, 12)","(4, 13)","(4, 6)","(4, 11)","(4, 5)","(4, 7)","(4, 9)","(5, 6)","(5, 14)","(5, 7)","(5, 13)","(5, 12)","(6, 7)","(6, 13)","(6, 14)","(6, 9)","(6, 8)","(7, 8)","(7, 14)","(7, 9)","(8, 10)","(8, 12)","(8, 13)","(8, 9)","(8, 14)","(8, 11)","(9, 10)","(9, 12)","(10, 11)","(10, 12)","(10, 13)","(11, 12)","(11, 13)","(12, 14)","(12, 13)","(13, 14)"
504,309
0,1,10,8,9,14,2,7,3,4,12,13,6,11,5
1,0,7,2,10,9,3,4,8,14,6,13,5,12,11
5,1,3,14,4,7,2,6,0,13,12,8,9,10,11
11,1,10,4,2,3,8,12,13,6,7,0,9,14,5
0,2,1,10,8,9,14,7,3,4,12,13,6,11,5
1,2,0,7,10,9,3,4,8,14,12,13,6,11,5
2,5,1,3,14,4,7,6,0,8,13,12,9,10,11
2,11,1,10,4,3,8,12,13,6,7,0,9,14,5
3,0,1,10,8,9,14,2,7,4,12,13,6,11,5
3,1,0,7,2,10,9,4,8,14,6,13,5,12,11
3,5,1,14,4,7,2,6,0,13,12,8,9,10,11
3,11,1,10,4,2,8,12,13,6,7,0,9,14,5
4,0,1,10,8,9,14,2,7,3,12,13,6,11,5
4,1,0,7,2,10,9,3,8,14,6,13,5,12,11
4,5,1,3,14,7,2,6,0,13,12,8,9,10,11
4,11,1,10,2,3,8,14,12,9,7,0,6,13,5
6,0,1,7,2,14,4,9,3,8,10,13,5,12,11
6,5,1,7,2,14,4,9,3,8,13,0,12,10,11
7,0,1,10,8,9,14,2,3,4,12,13,6,11,5
7,1,0,2,10,9,3,4,8,14,6,13,5,12,11
7,5,1,3,14,4,2,6,0,13,12,8,9,10,11
8,0,1,10,9,14,2,7,3,4,12,13,6,5,11
8,1,0,7,2,10,9,3,4,14,6,13,5,12,11
8,11,1,10,4,2,3,12,13,6,7,0,9,14,5
9,0,1,10,8,14,2,7,3,4,12,13,6,11,5
9,1,0,7,2,10,3,4,8,14,6,13,5,12,11
10,0,1,8,9,14,2,7,3,4,12,6,11,13,5
10,1,0,7,2,9,3,4,8,14,6,13,5,12,11
10,11,1,4,2,3,8,12,13,6,7,0,9,14,5
12,0,2,8,4,3,10,9,11,5,13,7,1,6,14
12,5,2,0,8,4,3,10,9,11,13,14,6,7,1
12,11,2,0,8,4,3,10,9,5,13,14,6,7,1
13,0,1,2,8,4,14,10,9,7,3,6,5,12,11
13,5,1,2,8,4,14,10,3,7,6,0,12,9,11
