0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"(0, 1)","(0, 14)","(0, 2)","(0, 13)","(1, 2)","(1, 3)","(1, 14)","(2, 3)","(2, 4)","(3, 4)","(3, 5)","(4, 5)","(4, 6)","(5, 6)","(5, 7)","(5, 8)","(6, 7)","(6, 8)","(7, 8)","(7, 9)","(8, 9)","(9, 10)","(9, 11)","(10, 11)","(10, 12)","(11, 12)","(11, 13)","(12, 13)","(12, 14)","(13, 14)"
106,41
3,0,2,1
4,1,3,2
5,0,4,2,3,1
6,1,5,3,4,2
7,0,6,4,2,5,3,1,9,11,13,8,14,12,10
8,0,9,11,13,6,4,2,5,3,1,7,10,12,14
0,9,13,11,8,1,3,5,2,4,6,14,12,7,10
1,3,0,2
1,5,3,0,4,2
1,7,3,5,0,6,4,2,9,11,13,8,10,12,14
1,8,3,5,0,9,11,13,6,4,2,7,10,12,14
1,10,14,12,13,0,11
2,3,0,1
2,5,3,4,0,1
2,7,3,5,4,6,0,1,9,11,13,14,12,8,10
2,8,3,5,4,6,0,9,11,13,1,7,10,12,14
3,0,2,1,6,4,5,13,14,7,9,11,8,12,10
3,0,2,1,12,14,13
4,1,3,2,7,5,6,0,9,11,13,8,10,12,14
4,1,3,2,8,5,6,0,9,11,13,7,10,12,14
4,1,3,2,13,0,14,11,5,7,9,6,8,12,10
5,0,4,2,3,1,14
9,3,8,5,7,2,6,4,11,13,0,12,14,1,10
9,4,8,6,7,5,2,3,11,13,0,1,14,12,10
9,5,8,7,2,6,4,3,11,13,0,1,14,12,10
10,5,9,8,7,3,12,14,1,11,13,0,2,4,6
11,5,9,8,7,4,6,13,0,2,14,1,3,12,10
11,6,9,8,7,4,5,13,0,2,3,1,14,12,10
11,7,9,4,8,6,5,13,0,2,3,1,14,12,10
11,6,9,8,7,10,4,5,13,0,2,3,1,14,12
12,7,11,9,10,5,8,14,1,3,13,0,2,4,6
13,7,11,9,6,8,0,2,4,5,3,1,14,12,10
13,8,11,9,6,7,0,2,4,5,3,1,14,12,10
13,8,11,9,10,12,6,7,0,2,4,5,3,1,14
14,9,13,11,12,10
0,2,11,13,14,1,12,9,3,5,7,4,6,8,10
2,4,3,0,1
2,6,4,3,5,0,1
11,5,9,8,7,6,4,13,0,2,14,1,3,12,10
13,7,11,9,8,6,0,2,4,1,3,5,14,12,10
13,9,11,10,12,7,6,8,0,2,4,5,3,1,14
