0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"(0, 1)","(0, 11)","(0, 13)","(1, 2)","(1, 3)","(1, 8)","(1, 12)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(3, 9)","(7, 10)","(12, 14)","(12, 15)","(12, 16)"
8840,32
2,0,1
3,0,1
4,0,3,1
5,0,3,1
6,0,3,1
7,0,3,1
8,0,1
9,0,3,1
10,0,7,3,1
11
12,0,1
13
14,0,12,1
15,0,12,1
16,0,12,1
11,13,0
2,0,1,8,11,13,14,12,15,16
2,0,1,4,3,5,6,8,9,10,7,11,13
1,2,4,3,5,6,8,9,10,7,14,12,15,16
2,0,1,4,3,5,6,8,9,10,7,11,13,14,12,15
2,0,1,4,3,5,6,8,9,10,7,11,13,14,12,16
2,0,1,4,3,5,6,8,9,10,7,11,13,15,12,16
2,0,1,4,3,5,6,8,9,10,7,11,14,12,15,16
2,0,1,4,3,5,6,8,9,10,7,13,14,12,15,16
2,0,1,4,3,5,6,8,9,11,13,14,12,15,16
2,0,1,4,3,5,6,8,10,7,11,13,14,12,15,16
2,0,1,4,3,5,6,9,10,7,11,13,14,12,15,16
2,0,1,4,3,5,8,9,10,7,11,13,14,12,15,16
2,0,1,4,3,6,8,9,10,7,11,13,14,12,15,16
2,0,1,5,3,6,8,9,10,7,11,13,14,12,15,16
4,0,3,1,5,6,8,9,10,7,11,13,14,12,15,16
2,0,1,4,3,5,6,7,8,9,11,13,14,12,15,16
