0,1,2,3,4,5,6,7,8,9,10,11
"(0, 3)","(1, 9)","(2, 7)","(3, 4)","(4, 5)","(4, 7)","(5, 9)","(5, 10)","(6, 10)","(6, 11)","(7, 8)"
163,20
0,2,3,4,7
0,2,3,4,7,1,5,9
0,3,2,4,7
0,2,3,4,7,8,1,5,9
1,2,9,5,4,7,0,3
1,0,9,5,4,3,6,10,2,7
1,0,9,5,4,3,11,10,6,2,7
0,1,3,4,5,9,2,7,8,6,10
0,1,3,4,5,9,2,7,11,10,6
0,2,3,4,7,6,5,10,8,1,9
0,2,3,4,7,8,1,5,9,6,10
0,2,3,4,7,8,1,5,9,10
0,2,3,4,7,11,5,10,6,8,1,9
1,0,9,5,4,3,8,7,6,10,11
3,2,4,7,8,1,5,9,11,10,6
6,1,10,5,9,2,4,7,0,3
8,1,7,4,5,9,2,0,3
9,0,5,4,3,11,10,6,2,7,8
10,1,5,9,2,4,7,0,3
11,1,6,10,5,9,2,4,7,0,3
