0,1,2,3,4,5,6,7,8,9
"(0, 2)","(0, 7)","(0, 4)","(0, 5)","(1, 3)","(1, 7)","(2, 3)","(2, 4)","(3, 4)","(3, 5)","(4, 5)","(4, 8)","(5, 6)","(5, 9)","(6, 7)","(6, 8)","(6, 9)","(7, 8)","(7, 9)","(8, 9)"
64,21
0,2,1,7,3,4,5,8,6,9
0,4,1,7,3,8,2,5,9,6
0,5,1,7,3,6,9,2,4,8
0,6,7,5,9,3,2,4,1,8
1,2,3,0,7,4,5,8,6,9
1,3,0,7,2,4,5,8,6,9
4,1,3,0,7,2,5,8,6,9
5,1,3,2,4,0,7,6,9,8
6,1,7,5,3,9,0,2,4,8
6,3,5,2,4,8,0,7,9,1
7,2,0,3,1,4,5,8,6,9
7,4,8,0,1,3,2,5,6,9
8,1,7,5,9,6,4,3,0,2
8,3,4,1,7,0,2,5,6,9
9,1,7,5,3,6,0,2,4,8
9,3,5,2,8,4,7,0,6,1
0,4,2,1,7,3,8,5,9,6
6,1,7,8,5,3,9,0,4,2
9,1,7,6,5,3,0,2,4,8
6,5,9,3,2,4,8,0,7,1
7,8,9,1,5,6,0,4,3,2
