0,1,2,3,4,5,6,7,8,9,10,11
"(0, 1)","(0, 11)","(0, 2)","(0, 10)","(0, 3)","(0, 9)","(0, 4)","(0, 8)","(1, 2)","(1, 3)","(1, 11)","(1, 4)","(1, 10)","(1, 5)","(1, 9)","(1, 7)","(2, 3)","(2, 4)","(2, 5)","(2, 11)","(2, 6)","(2, 10)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(3, 11)","(4, 5)","(4, 6)","(4, 7)","(4, 8)","(5, 6)","(5, 7)","(5, 8)","(5, 11)","(6, 7)","(6, 8)","(6, 9)","(6, 10)","(7, 8)","(7, 11)","(7, 9)","(8, 9)","(8, 10)","(8, 11)","(9, 10)","(9, 11)","(10, 11)"
173,82
5,0,4,3,2,8,1,11,7,6,10,9
6,1,5,7,4,3,9,2,10,8,11,0
7,0,8,4,3,11,1,9,6,5,10,2
0,8,3,7,6,5,11,4,1,9,2,10
1,5,0,4,3,2,8,11,7,6,10,9
1,7,2,6,5,4,3,11,9,10,8,0
2,5,0,4,3,8,1,11,7,6,10,9
2,6,1,5,7,4,3,9,10,8,11,0
3,5,0,4,2,8,1,11,7,6,10,9
3,6,1,5,7,4,9,2,10,8,11,0
3,7,0,8,4,11,1,9,6,5,10,2
4,5,0,3,2,8,1,11,6,7,10,9
4,6,1,5,7,3,9,2,10,8,11,0
4,7,0,8,3,11,1,9,6,5,10,2
8,5,3,7,6,11,4,0,1,9,2,10
8,6,3,7,5,11,4,0,1,9,2,10
8,7,3,6,5,11,4,0,9,2,10,1
9,6,5,8,11,1,7,10,4,0,2,3
9,7,0,8,4,3,11,1,6,5,10,2
10,6,1,5,7,4,3,9,2,8,11,0
11,5,0,4,3,2,8,1,7,6,10,9
11,7,0,8,4,3,1,9,6,5,10,2
0,1,9,8,11,4,10,5,7,2,3,6
0,9,8,7,1,11,3,4,10,5,2,6
0,10,8,7,1,11,3,9,4,6,5,2
0,11,8,7,1,3,9,4,10,5,6,2
1,2,5,0,4,3,8,11,7,6,9,10
1,3,5,0,4,2,8,11,7,6,10,9
1,3,7,2,6,5,4,11,9,10,8,0
1,4,5,0,3,2,8,11,6,7,10,9
1,4,7,2,6,5,3,11,9,10,8,0
1,9,7,10,6,8,11,5,4,3,2,0
1,11,5,0,4,3,2,8,7,6,10,9
1,11,7,2,6,5,4,3,9,10,8,0
2,3,5,0,4,8,1,11,7,6,10,9
2,3,6,1,5,7,4,9,10,8,11,0
2,4,5,0,3,8,1,11,6,7,10,9
2,4,6,1,5,7,3,9,10,8,11,0
2,11,5,0,4,3,8,1,7,6,10,9
3,4,5,0,2,8,1,11,6,10,7,9
3,4,6,1,5,7,9,2,10,8,11,0
3,4,7,0,8,11,1,9,6,5,10,2
3,11,5,0,4,2,8,1,7,6,10,9
3,11,7,0,8,4,1,9,6,5,10,2
4,8,5,3,7,6,11,0,1,9,2,10
4,8,6,3,7,5,11,0,1,9,2,10
4,8,7,3,6,5,11,0,9,2,10,1
8,9,6,5,11,1,7,10,2,3,0,4
8,9,7,5,11,6,1,10,2,3,4,0
8,10,6,7,9,11,1,2,3,5,0,4
8,11,5,6,10,9,2,7,3,1,0,4
8,11,7,4,0,1,2,3,5,9,10,6
9,6,7,5,8,11,1,10,4,0,2,3
9,10,6,7,11,8,1,2,3,5,4,0
9,11,7,0,8,4,3,1,6,5,10,2
0,1,2,4
0,1,2,10,9,11,6,8,7,3,5,4
0,1,3,4
0,1,3,11
0,1,9,10,8,11,4,5,7,2,3,6
0,1,11,9,8,4,10,5,7,3,2,6
0,2,3,4
0,2,3,11
0,2,10,11
0,9,8,10,7,1,11,3,4,6,5,2
0,9,11,8,7,1,3,4,10,5,6,2
0,10,11,8,7,1,3,9,4,6,5,2
1,2,3,5,0,4,8,11,7,9,10,6
1,2,4,5,0,3,8,11,6,7,9,10
1,2,10,11
1,2,11,5,0,4,3,8,7,6,9,10
1,3,4,5,0,2,8,11,6,10,7,9
1,3,4,7,2,6,5,11,9,10,8,0
1,3,11,5,0,4,2,8,7,6,10,9
1,3,11,7,4,0,8,2,5,9,10,6
1,9,10,11
2,3,4,5,0,8,1,11,6,10,7,9
2,3,4,6,1,5,7,9,10,8,11,0
2,3,11,5,0,4,8,1,7,6,10,9
4,8,5,6,3,7,11,0,1,9,2,10
4,8,7,5,3,6,11,0,9,2,10,1
8,9,10,11
