0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"(0, 3)","(0, 4)","(0, 6)","(0, 8)","(0, 10)","(0, 9)","(0, 11)","(0, 2)","(0, 16)","(0, 12)","(0, 15)","(1, 3)","(1, 16)","(1, 9)","(1, 13)","(1, 7)","(1, 4)","(1, 10)","(1, 2)","(2, 5)","(2, 10)","(2, 12)","(2, 13)","(2, 14)","(2, 17)","(2, 11)","(2, 7)","(2, 8)","(3, 7)","(3, 15)","(3, 12)","(3, 13)","(3, 14)","(3, 5)","(3, 4)","(3, 10)","(3, 11)","(4, 9)","(4, 11)","(4, 13)","(4, 16)","(4, 5)","(4, 15)","(4, 6)","(5, 9)","(5, 11)","(5, 13)","(5, 12)","(5, 7)","(5, 14)","(6, 13)","(6, 14)","(6, 8)","(6, 15)","(6, 9)","(6, 17)","(7, 13)","(7, 17)","(7, 14)","(7, 9)","(7, 16)","(8, 15)","(8, 9)","(8, 17)","(8, 11)","(8, 12)","(9, 11)","(9, 15)","(9, 16)","(9, 17)","(9, 10)","(9, 12)","(9, 13)","(10, 11)","(10, 17)","(10, 13)","(10, 16)","(11, 12)","(11, 17)","(11, 13)","(11, 14)","(12, 14)","(12, 17)","(13, 15)","(13, 17)","(13, 16)","(14, 15)","(14, 16)","(15, 17)","(16, 17)"
334,220
0,1,3,4,10,9,2,16,7,15,12,13,5,11,14,17,8,6
1,0,3,16,9,4,10,2,7,13,14,15,12,5,11,17,8,6
5,1,2,9,13,3,4,7,10,12,0,17,11,8,14,15,16,6
7,0,3,9,16,2,1,15,12,13,5,4,10,11,14,17,8,6
13,0,6,2,4,3,15,11,10,9,16,14,8,17,5,1,12,7
14,1,7,3,2,16,0,12,13,5,10,11,4,17,6,15,9,8
17,1,7,16,9,10,2,13,3,0,14,11,5,8,12,15,4,6
0,2,7,3,9,16,1,12,13,14,5,10,11,15,4,17,8,6
1,2,6,9,13,4,14,0,17,8,11,5,7,10,12,15,16,3
2,5,6,13,14,0,17,8,9,4,7,3,15,11,16,10,12,1
2,7,0,3,9,16,1,12,13,14,5,10,11,15,4,17,8,6
2,13,0,6,4,3,15,11,10,9,16,14,8,17,5,1,7,12
2,14,4,5,13,0,1,11,15,6,3,16,9,12,7,10,17,8
2,17,6,13,14,0,8,7,5,3,15,11,16,4,10,9,12,1
3,0,2,1,7,12,13,14,5,10,11,16,9,4,17,6,15,8
3,1,2,0,7,12,13,14,5,10,11,4,9,16,6,15,17,8
3,5,2,1,0,7,12,13,14,10,11,9,4,16,6,15,17,8
3,7,0,9,16,2,11,5,4,1,15,10,12,13,17,8,14,6
3,13,0,6,2,4,15,11,10,9,16,14,8,17,5,12,1,7
3,14,4,15,6,11,5,16,9,8,13,17,0,10,7,1,12,2
4,0,2,11,13,5,1,9,10,3,6,15,16,12,7,17,8,14
4,1,2,0,11,13,5,3,10,9,16,6,15,12,7,14,17,8
4,5,2,0,11,13,1,3,9,12,6,10,16,15,7,14,17,8
4,13,0,6,2,3,15,11,10,9,16,14,8,17,5,1,12,7
6,0,3,13,14,15,4,2,11,10,9,16,7,5,12,17,8,1
7,1,0,3,9,16,2,4,10,15,12,13,5,11,14,17,8,6
8,0,1,9,2,3,4,10,16,11,5,17,7,12,13,15,14,6
8,17,1,9,2,7,16,10,13,11,5,0,12,14,3,6,15,4
9,0,3,11,5,4,1,15,7,10,12,13,2,17,8,14,16,6
9,1,3,11,5,4,15,0,7,10,12,13,2,17,8,14,16,6
9,5,3,11,4,1,15,0,7,10,12,13,2,17,8,14,16,6
9,7,0,3,16,2,1,15,12,13,5,4,10,11,14,17,8,6
9,13,0,6,2,4,3,15,11,10,16,14,8,17,5,12,1,7
9,17,5,7,11,2,13,12,3,14,10,0,1,8,15,4,6,16
10,0,1,3,4,9,2,16,7,15,12,13,5,11,14,17,8,6
10,1,0,3,16,9,4,2,7,13,14,15,12,5,11,17,8,6
10,13,0,6,2,4,3,15,11,9,16,17,14,8,5,1,12,7
10,17,1,7,16,9,2,13,3,0,14,11,5,8,12,15,4,6
11,0,1,9,4,10,13,2,3,16,5,17,7,8,12,15,6,14
11,5,1,9,4,10,13,2,3,7,0,17,8,12,15,16,14,6
11,13,1,9,4,10,2,3,5,0,17,7,8,12,15,16,14,6
11,14,1,9,4,10,13,2,3,7,16,5,15,6,12,0,17,8
11,17,1,9,4,10,13,2,3,7,16,5,0,8,12,15,6,14
12,0,1,2,3,9,4,10,16,5,13,14,11,7,17,8,15,6
12,5,1,2,3,9,13,4,7,10,14,0,11,17,8,15,16,6
12,14,1,2,3,9,7,16,5,10,13,0,11,17,8,15,4,6
12,17,1,2,3,9,7,16,10,13,5,14,0,11,8,15,4,6
13,1,0,6,2,4,3,15,11,10,9,16,14,8,17,5,12,7
15,0,2,14,8,13,17,6,3,12,11,16,7,5,9,4,10,1
15,13,2,14,8,17,0,6,7,3,11,5,16,12,9,10,4,1
15,14,2,8,13,17,0,6,11,12,9,7,5,3,16,4,10,1
15,17,5,14,3,9,13,4,7,11,2,12,6,16,10,1,0,8
16,0,3,1,4,7,10,14,13,9,2,5,11,15,6,17,12,8
16,1,3,4,7,0,10,14,13,9,5,11,15,6,2,17,12,8
16,7,0,3,9,2,1,13,14,4,10,15,12,5,11,17,8,6
16,13,0,6,2,4,3,15,11,10,9,14,17,8,1,7,5,12
16,14,6,9,17,4,0,13,11,5,15,7,12,2,10,8,3,1
16,17,6,9,4,0,14,13,11,5,15,7,12,3,8,10,2,1
0,2,8,10,9,17,11,5,1,7,12,13,16,6,15,3,4,14
1,2,7,12,3,9,17,14,5,0,13,10,11,15,4,8,16,6
2,5,7,12,3,17,14,9,1,0,13,10,11,15,4,16,6,8
2,8,17,10,0,9,11,6,16,12,15,5,1,7,13,14,4,3
2,10,0,9,5,12,13,17,1,11,7,8,3,4,14,6,15,16
2,10,1,12,0,11,9,17,3,4,16,6,8,15,13,5,7,14
2,10,13,0,6,4,3,15,11,9,16,14,8,17,5,1,7,12
2,10,17,9,5,12,13,0,1,11,7,8,3,4,14,6,15,16
2,11,0,7,9,5,17,13,14,3,16,1,8,10,12,15,6,4
2,11,5,10,9,13,3,1,0,17,7,8,12,4,15,14,16,6
2,11,13,4,5,0,1,9,12,3,7,6,10,16,15,17,8,14
2,11,14,4,5,13,0,1,15,6,3,16,9,12,7,10,8,17
2,11,17,7,9,5,13,14,3,1,0,8,10,12,15,16,6,4
2,12,0,7,3,5,14,9,17,16,1,13,10,11,15,4,6,8
2,12,5,10,11,3,9,0,17,13,1,7,14,15,4,8,6,16
2,12,14,4,5,13,0,1,11,3,9,15,6,16,7,17,10,8
2,12,17,7,3,5,14,9,1,0,13,10,11,15,4,6,16,8
2,13,1,6,14,0,17,8,9,4,15,7,3,11,5,16,12,10
2,14,5,6,13,0,17,8,9,4,7,3,15,11,16,10,12,1
2,17,7,12,3,14,9,5,1,0,13,10,11,15,4,6,16,8
3,0,4,10,9,11,13,16,1,5,15,7,12,17,14,2,6,8
3,1,4,12,9,2,0,11,5,15,7,10,13,17,8,14,16,6
3,4,5,10,0,9,11,13,16,1,2,12,6,15,7,17,8,14
3,4,13,0,6,2,15,11,10,9,16,14,8,17,5,12,1,7
3,7,1,12,17,14,9,5,2,11,10,15,13,16,6,4,0,8
3,10,0,9,1,7,15,12,13,5,4,11,16,2,17,14,8,6
3,10,1,12,2,0,11,9,17,5,13,14,7,8,4,16,6,15
3,10,13,0,6,2,4,15,11,9,16,14,17,8,5,12,1,7
3,11,0,2,1,7,12,13,14,5,10,9,4,16,17,6,15,8
3,11,5,2,1,0,7,12,13,14,10,9,4,16,6,15,17,8
3,11,13,2,1,0,7,12,14,5,10,9,4,16,6,15,17,8
3,11,14,4,15,6,5,16,9,8,13,17,0,7,1,10,12,2
3,12,0,10,11,2,9,17,5,13,14,1,7,8,4,15,16,6
3,12,5,10,11,2,9,0,17,13,14,1,7,8,4,15,6,16
3,12,14,4,11,5,9,0,15,6,16,17,13,8,10,2,7,1
3,13,1,2,0,7,12,14,5,10,11,4,6,9,16,15,17,8
3,14,5,6,0,15,13,4,9,11,2,16,12,10,7,1,17,8
