0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"(0, 1)","(0, 2)","(0, 3)","(0, 7)","(0, 8)","(0, 9)","(0, 10)","(0, 12)","(0, 13)","(0, 14)","(0, 15)","(0, 16)","(0, 17)","(0, 18)","(1, 2)","(1, 3)","(1, 4)","(1, 5)","(1, 6)","(1, 7)","(1, 8)","(1, 9)","(1, 10)","(1, 13)","(1, 14)","(1, 15)","(1, 16)","(1, 17)","(1, 18)","(1, 19)","(2, 3)","(2, 4)","(2, 5)","(2, 7)","(2, 8)","(2, 9)","(2, 10)","(2, 11)","(2, 12)","(2, 14)","(2, 16)","(2, 17)","(2, 18)","(2, 19)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(3, 8)","(3, 10)","(3, 11)","(3, 14)","(3, 15)","(3, 16)","(3, 17)","(3, 18)","(3, 19)","(4, 5)","(4, 7)","(4, 8)","(4, 9)","(4, 10)","(4, 11)","(4, 12)","(4, 14)","(4, 16)","(4, 17)","(4, 18)","(4, 19)","(5, 6)","(5, 7)","(5, 8)","(5, 9)","(5, 10)","(5, 11)","(5, 12)","(5, 13)","(5, 14)","(5, 15)","(5, 16)","(5, 17)","(5, 18)","(5, 19)","(6, 7)","(6, 8)","(6, 9)","(6, 10)","(6, 11)","(6, 12)","(6, 13)","(6, 14)","(6, 15)","(6, 16)","(6, 17)","(6, 18)","(6, 19)","(7, 8)","(7, 9)","(7, 10)","(7, 11)","(7, 12)","(7, 14)","(7, 15)","(7, 16)","(7, 18)","(7, 19)","(8, 9)","(8, 10)","(8, 11)","(8, 12)","(8, 13)","(8, 14)","(8, 15)","(8, 16)","(8, 17)","(8, 19)","(9, 11)","(9, 12)","(9, 16)","(9, 17)","(9, 19)","(10, 12)","(10, 13)","(10, 14)","(10, 15)","(10, 17)","(10, 18)","(11, 12)","(11, 13)","(11, 14)","(11, 15)","(11, 17)","(11, 18)","(12, 13)","(12, 14)","(12, 15)","(12, 16)","(12, 17)","(12, 18)","(12, 19)","(13, 14)","(13, 15)","(13, 16)","(13, 17)","(13, 19)","(14, 15)","(14, 16)","(14, 17)","(14, 18)","(14, 19)","(15, 16)","(15, 17)","(15, 18)","(15, 19)","(16, 17)","(16, 18)","(16, 19)","(17, 18)","(17, 19)","(18, 19)"
6507,4836
4,0,1,2,3,7,8,9,10,12,14,16,17,18,5,6,13,15,19,11
5,0,1,2,3,7,8,9,10,12,13,14,15,16,17,18,4,6,19,11
6,0,1,3,7,8,9,10,12,13,14,15,16,17,18,2,4,5,19,11
11,1,2,3,4,5,6,7,8,9,13,14,15,17,18,10,12,16,19,0
19,0,1,2,3,7,8,9,12,13,14,15,16,17,18,4,5,6,10,11
0,12,1,2,4,5,6,7,8,9,10,13,14,15,16,17,18,19,3,11
1,4,0,2,3,7,8,9,10,12,14,16,17,18,5,6,11,19,15,13
1,5,0,2,3,7,8,9,10,12,13,14,15,16,17,18,11,19,4,6
1,6,2,3,5,7,8,9,10,11,12,14,16,17,18,19,0,4,15,13
1,19,0,2,3,7,8,9,12,13,14,15,16,17,18,5,10,11,4,6
2,4,0,1,3,7,8,9,10,12,14,16,17,18,5,6,13,15,19,11
2,5,0,1,3,7,8,9,10,12,13,14,15,16,17,18,4,6,19,11
2,11,1,3,4,5,6,7,8,9,13,14,15,17,18,0,16,19,10,12
2,19,0,1,3,7,8,9,12,13,14,15,16,17,18,4,5,6,10,11
3,4,0,1,2,7,8,9,10,12,14,16,17,18,5,6,13,15,19,11
3,5,0,1,2,7,8,9,10,12,13,14,15,16,17,18,4,6,19,11
3,6,0,1,7,8,9,10,12,13,14,15,16,17,18,2,4,5,19,11
3,11,1,2,4,5,6,7,8,9,13,14,15,17,18,10,12,16,19,0
3,19,0,1,2,7,8,9,12,13,14,15,16,17,18,4,5,6,10,11
7,4,0,1,2,3,8,9,10,12,14,16,17,18,5,6,13,15,19,11
7,5,0,1,2,3,8,9,10,12,13,14,15,16,17,18,4,6,19,11
7,6,0,1,3,8,9,10,12,13,14,15,16,17,18,2,4,5,19,11
7,11,1,2,3,4,5,6,8,9,13,14,15,17,18,10,12,16,19,0
7,19,0,1,2,3,8,9,12,13,14,15,16,17,18,4,5,6,10,11
8,4,0,1,2,3,7,9,10,12,14,16,17,18,5,6,13,15,19,11
8,5,0,1,2,3,7,9,10,12,13,14,15,16,17,18,4,6,19,11
8,6,0,1,3,7,9,10,12,13,14,15,16,17,18,2,4,5,19,11
8,11,1,2,3,4,5,6,7,9,13,14,15,17,18,10,12,16,19,0
8,19,0,1,2,3,7,9,12,13,14,15,16,17,18,4,5,6,10,11
9,4,0,1,2,3,7,8,10,12,14,16,17,18,5,6,13,15,19,11
9,5,0,1,2,3,7,8,10,12,13,14,15,16,17,18,4,6,19,11
9,6,0,1,3,7,8,10,12,13,14,15,16,17,18,2,4,5,19,11
9,11,1,2,3,4,5,6,7,8,13,14,15,17,18,10,12,16,19,0
9,19,0,1,2,3,7,8,12,13,14,15,16,17,18,4,5,6,10,11
10,4,0,1,2,3,7,8,9,12,14,16,17,18,5,6,13,15,19,11
10,5,0,1,2,3,7,8,9,12,13,14,15,16,17,18,4,6,19,11
10,6,0,1,3,7,8,9,12,13,14,15,16,17,18,2,4,5,19,11
12,4,1,0,2,5,6,7,8,9,10,13,14,15,16,17,18,19,3,11
12,5,1,0,2,4,6,7,8,9,10,13,14,15,16,17,18,19,3,11
12,6,4,1,3,5,7,8,9,10,11,14,16,17,18,19,0,2,13,15
12,11,1,0,2,4,5,6,7,8,9,10,13,14,15,16,17,18,19,3
12,19,1,0,2,4,5,6,7,8,9,10,13,14,15,16,17,18,3,11
13,5,0,1,2,3,7,8,9,10,12,14,15,16,17,18,4,6,19,11
13,6,0,1,3,7,8,9,10,12,14,15,16,17,18,2,4,5,19,11
