0,1,2,3,4,5,6,7,8,9,10,11
"(0, 1)","(0, 11)","(0, 2)","(0, 10)","(0, 3)","(0, 9)","(0, 7)","(1, 2)","(1, 3)","(1, 11)","(1, 4)","(1, 10)","(2, 3)","(2, 4)","(2, 5)","(2, 11)","(3, 4)","(3, 5)","(3, 6)","(4, 5)","(4, 6)","(4, 7)","(4, 8)","(4, 9)","(5, 6)","(5, 7)","(5, 8)","(6, 7)","(6, 8)","(6, 9)","(7, 9)","(7, 10)","(8, 10)","(8, 11)","(9, 10)","(10, 11)"
91,49
4,0,3,2,1,7,9,5,6,10,8,11
5,0,3,7,2,4,6,1,9,10,8,11
6,0,7,3,9,5,4,2,1,10,8,11
0,7,8,11,10,6,5,4,2,1,9,3
0,9,6,3,7,4,5,2,1,10,8,11
1,4,0,3,2,7,9,5,6,10,8,11
1,5,2,3,4,0,7,9,10,6,8,11
1,6,3,4,0,7,9,2,10,5,8,11
2,4,0,3,1,7,9,5,6,10,8,11
2,5,0,3,7,4,6,1,9,10,11,8
2,6,3,4,5,0,7,9,1,10,11,8
2,10,1,0,11
3,4,0,2,1,7,9,5,10,6,8,11
3,5,0,7,2,6,4,9,1,10,8,11
3,6,0,7,9,5,4,2,1,10,8,11
3,11,2,1,0,9,4,6,10,8,7,5
7,4,3,6,5,0,9,2,1,10,8,11
7,5,3,6,4,0,9,2,1,10,8,11
7,6,3,5,4,0,2,1,9,10,8,11
7,11,10,0,8,6,5,4,9,3,2,1
8,4,2,5,11,1,10,3,9,7,0,6
9,4,3,6,0,7,1,2,5,10,8,11
9,6,3,0,4,7,1,2,5,10,8,11
9,11,10,0,6,8,7,3,4,5,2,1
10,8,0,11
0,2,3
0,2,11
0,7,9,8,11,10,6,5,4,2,1,3
0,10,7,8,11,6,5,4,2,1,3,9
0,10,9,6,3,7,8,1,4,5,11,2
1,2,4,0,3,7,9,5,6,10,8,11
1,2,11
1,3,4,0,2,7,9,5,10,6,8,11
1,10,11
2,3,4,0,1,7,9,10,5,6,11,8
2,3,5,0,7,4,6,1,9,10,11,8
7,4,5,3,6,0,9,1,2,10,8,11
7,6,4,3,5,0,2,9,1,10,8,11
7,9,4,3,6,5,0,2,1,10,8,11
7,9,6,3,5,4,0,2,1,10,8,11
7,9,10
9,6,4,3,0,7,1,2,5,10,8,11
10,8,11
0,1,2,3,9,4,10,6,7,8,11,5
0,1,10,11
0,7,9,10,8,11,6,5,4,2,1,3
1,2,3,4,0,7,9,10,5,6,11,8
7,4,5,6,8,10,9,1,0,2,3,11
7,9,6,4,3,5,0,2,1,10,8,11
