0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"(0, 2)","(0, 4)","(0, 13)","(0, 14)","(0, 16)","(1, 3)","(1, 4)","(1, 5)","(1, 15)","(2, 14)","(2, 16)","(2, 17)","(3, 4)","(3, 8)","(3, 11)","(3, 13)","(3, 17)","(5, 9)","(5, 12)","(5, 15)","(5, 16)","(6, 7)","(6, 11)","(6, 13)","(7, 9)","(7, 11)","(7, 15)","(7, 17)","(8, 17)","(9, 11)","(9, 13)","(9, 14)","(9, 17)","(10, 15)","(10, 16)","(11, 13)","(11, 16)","(11, 17)","(12, 13)","(12, 15)","(14, 15)"
157,76
7,0,6,13,9,11,14,15,16,17,2,12,3,5,10,4,1
8,0,3,4,13,17,2,9,11,14,5,1,16,15,12,7,10,6
0,1,4,2,3,17,5,16,15,14,13,11,9,7,10,12,6
0,2,3,4,13,17,9,11,14,5,1,16,15,12,7,10,6
0,3,4,13,5,16,1,9,12,11,15,14,17,7,10,2,6
0,3,4,13,11,16,5,1,9,12,15,14,17,7,10,2,6
1,3,0,4,13
2,3,17,6,0,13,16,11,7,4,9,14,15,1,5,12,10
2,4,0,13,3,17,9,11,14,5,1,16,15,12,7,10,6
2,5,16
2,7,17,1,0,4,14,15,16,5,3,13,6,9,11,10,12
2,8,17,1,0,4,14,15,16,5,3,13,9,11,7,10,12,6
2,10,16
2,11,16,17,1,0,4,14,15,5,3,13,9,7,10,12,6
4,8,3,0,13,17,2,9,11,5,1,14,16,12,15,7,10,6
4,17,3,0,2,13,9,11,5,1,14,16,12,15,7,10,6
5,3,1,2,16,17,4,0,15,14,11,10,9,7,13,12,6
5,7,9,15,14,0,16,6,13,11,17,2,10,12,3,1,4
5,9,0,16,13,14,11,2,12,15,17,7,10,3,6,1,4
6,0,13,2,7,17,11,16,9,14,15,3,5,4,1,12,10
6,7,2,17,11,16,13,0,3,9,14,15,4,1,5,10,12
6,9,7,11,13,2,17,16,0,14,3,5,15,4,1,12,10
7,1,15,2,17,3,4,0,5,16,14,9,11,13,6,10,12
8,1,3,2,17,4,0,5,16,15,14,9,11,7,13,10,6,12
9,1,5,6,7,11,13,3,15,16,12,17,0,14,10,2,4
9,3,11,13,17,5,1,16,12,15,0,2,7,14,10,4,6
10,0,16,1,15,4,5,14,2,9,17,3,7,11,13,6,12
10,1,15,4,16,0,5,14,9,2,7,11,3,13,17,6,12
10,5,15,16,0,14,9,2,7,11,13,17,6,12,3,1,4
10,7,15,0,16,6,13,9,11,14,17,2,5,12,3,1,4
10,12,15,0,16,13,14,5,11,2,9,7,17,6,3,1,4
10,14,15,0,16,2,5,9,7,11,13,17,6,12,3,1,4
10,15,0,16,14,5,2,9,7,11,13,17,6,12,3,1,4
11,0,13,16,2,17,3,9,4,14,5,1,15,12,7,10,6
11,1,3,2,16,17,4,0,5,15,14,10,9,7,13,12,6
11,1,3,4,6,13,15,7,0,12,9,14,17,16,2,5,10
11,1,3,7,15,17,2,16,4,0,5,14,10,13,6,9,12
11,1,3,8,17,2,16,4,0,5,15,14,10,13,9,7,12,6
11,1,3,17,2,16,4,0,5,15,14,10,13,9,7,12,6
12,0,13,5,16,9,11,14,15,2,10,7,17,6,3,4,1
12,1,5,15,9,13,7,14,3,6,11,0,17,4,2,16,10
12,3,13,5,1,9,15,11,17,7,14,16,6,0,4,2,10
12,5,0,13,16,9,11,14,15,2,10,7,17,6,3,1,4
15,2,14
15,3,1,2,14,17,4,0,5,16,13,9,11,7,10,12,6
15,5,0,14,16,9,2,10,7,13,11,17,6,12,3,1,4
15,6,7,10,11,16,5,9,13,12,14,0,2,17,3,1,4
15,7,0,14,6,13,9,11,16,17,2,12,3,5,10,1,4
15,6,7,11,16,5,10,9,13,12,14,0,2,17,3,1,4
16,1,5,10,15,11,3,9,7,13,17,14,0,12,6,2,4
17,1,3,2,4,0,5,16,15,14,13,9,11,10,7,12,6
1,4,8,3,6,11,13,15,7,0,17,16,12,9,14,2,5,10
1,4,17,3,6,11,13,15,7,0,16,9,12,14,2,5,10
2,4,0,14,15,1,3,17,5,16,13,11,9,7,10,12,6
2,8,17,3,6,0,13,16,11,7,4,9,14,15,1,5,12,10
2,11,16,17,3,6,0,13,7,4,9,14,15,1,5,10,12
2,14,0,3,17,4,13,9,11,15,1,7,5,12,16,6,10
3,4,5,1,14,15,0,13,11,9,17,2,12,7,16,6,10
3,4,15,1,2,17,0,14,5,16,7,9,11,13,10,6,12
4,5,1,15,2,0,16,3,17,14,13,10,11,9,7,12,6
4,11,3,8,17,0,13,16,2,9,5,1,14,12,15,7,10,6
4,11,3,17,0,13,16,2,9,5,1,14,12,15,7,10,6
4,16,0,2,13,3,11,17,9,5,1,14,12,15,7,10,6
6,11,0,13,16,2,7,17,9,14,15,3,5,4,1,12,10
6,11,7,2,17,16,13,0,3,9,14,15,4,1,5,10,12
6,11,12,13,2,7,17,16,0,5,15,14,9,3,10,4,1
11,1,3,8,17,4,6,13,15,7,0,9,12,14,16,2,5,10
11,1,3,17,4,6,13,15,7,0,9,12,14,16,2,5,10
13,3,8,0,4,17,2,9,11,14,5,1,16,15,12,7,10,6
15,5,1,2,14,16,3,17,4,0,9,13,11,10,7,12,6
16,0,2,3,11,4,13,17,9,5,14,1,12,15,7,10,6
16,2,7,11,17,1,5,0,4,14,15,3,9,13,6,10,12
