0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
"(0, 1)","(0, 2)","(0, 4)","(0, 5)","(0, 6)","(0, 7)","(0, 9)","(0, 10)","(0, 13)","(0, 14)","(0, 17)","(0, 18)","(1, 2)","(1, 3)","(1, 4)","(1, 5)","(1, 6)","(1, 7)","(1, 9)","(1, 10)","(1, 11)","(1, 12)","(1, 13)","(1, 14)","(1, 15)","(1, 16)","(1, 17)","(1, 18)","(2, 3)","(2, 4)","(2, 6)","(2, 7)","(2, 9)","(2, 10)","(2, 11)","(2, 13)","(2, 15)","(2, 16)","(2, 18)","(3, 4)","(3, 5)","(3, 7)","(3, 8)","(3, 9)","(3, 10)","(3, 11)","(3, 12)","(3, 13)","(3, 14)","(3, 15)","(3, 16)","(3, 17)","(3, 18)","(4, 6)","(4, 7)","(4, 9)","(4, 10)","(4, 12)","(4, 14)","(4, 15)","(4, 16)","(4, 17)","(5, 6)","(5, 7)","(5, 8)","(5, 9)","(5, 11)","(5, 12)","(5, 13)","(5, 14)","(5, 16)","(5, 17)","(5, 18)","(6, 7)","(6, 8)","(6, 9)","(6, 10)","(6, 11)","(6, 12)","(6, 13)","(6, 14)","(6, 15)","(6, 16)","(6, 17)","(6, 18)","(7, 8)","(7, 9)","(7, 10)","(7, 11)","(7, 12)","(7, 14)","(7, 15)","(7, 17)","(7, 18)","(8, 9)","(8, 10)","(8, 11)","(8, 12)","(8, 14)","(8, 15)","(8, 16)","(8, 17)","(8, 18)","(9, 10)","(9, 12)","(9, 13)","(9, 14)","(9, 15)","(9, 17)","(9, 18)","(10, 12)","(10, 13)","(10, 14)","(10, 16)","(10, 17)","(10, 18)","(11, 12)","(11, 13)","(11, 14)","(11, 16)","(11, 17)","(12, 13)","(12, 14)","(12, 15)","(12, 16)","(12, 17)","(12, 18)","(13, 15)","(13, 16)","(13, 17)","(14, 15)","(14, 16)","(14, 17)","(14, 18)","(15, 16)","(15, 17)","(15, 18)","(16, 17)","(17, 18)"
3343,2234
3,0,1,2,4,5,7,9,10,13,14,17,18,6,11,16,15,12,8
8,2,3,6,7,9,10,11,15,16,18,1,4,5,12,13,14,17,0
11,0,1,2,5,6,7,13,14,17,3,9,16,18,4,10,15,12,8
12,0,1,4,5,6,7,9,10,13,14,17,18,3,16,2,15,8,11
15,0,1,2,4,6,7,9,13,14,17,18,3,10,11,16,12,5,8
16,0,1,2,4,5,6,10,13,14,17,3,7,9,11,18,15,12,8
1,3,0,2,4,5,7,9,10,13,14,17,18,6,11,16,15,12,8
1,11,0,2,5,6,7,13,14,17,3,9,16,18,4,10,15,12,8
1,12,2,3,4,6,7,9,10,11,13,15,16,18,5,8,14,17,0
1,15,0,2,4,6,7,9,13,14,17,18,3,10,11,16,12,5,8
1,16,0,2,4,5,6,10,13,14,17,3,7,9,11,18,15,12,8
2,3,0,1,4,5,7,9,10,13,14,17,18,6,12,16,15,11,8
2,11,0,1,5,6,7,13,14,17,3,9,16,18,10,12,15,4,8
2,15,0,1,4,6,7,9,13,14,17,18,3,10,12,16,5,11,8
2,16,0,1,4,5,6,10,13,14,17,3,7,9,12,15,11,18,8
4,3,0,1,2,5,7,9,10,13,14,17,18,6,11,16,15,12,8
4,12,0,1,5,6,7,9,10,13,14,17,18,3,16,8,2,11,15
4,15,0,1,2,6,7,9,13,14,17,18,3,10,11,16,5,12,8
4,16,0,1,2,5,6,10,13,14,17,3,7,9,11,18,15,12,8
5,3,0,1,2,4,7,9,10,13,14,17,18,6,11,16,15,12,8
5,8,2,0,1,3,6,7,9,11,13,16,18,10,15,14,17,4,12
5,11,0,1,2,6,7,13,14,17,3,9,16,18,4,10,15,12,8
5,12,0,1,4,6,7,9,10,13,14,17,18,3,16,2,15,11,8
5,16,0,1,2,4,6,10,13,14,17,3,7,9,11,18,15,12,8
6,8,4,3,7,9,10,12,14,15,16,17,1,2,5,11,13,18,0
6,11,0,1,2,5,7,13,14,17,3,9,16,18,4,10,15,12,8
6,12,0,1,4,5,7,9,10,13,14,17,18,3,16,2,15,8,11
6,15,0,1,2,4,7,9,13,14,17,18,3,10,11,16,12,5,8
6,16,0,1,2,4,5,10,13,14,17,3,7,9,11,18,15,12,8
7,3,0,1,2,4,5,9,10,13,14,17,18,6,11,16,15,12,8
7,8,2,3,6,9,10,11,15,16,18,1,4,5,12,13,14,17,0
7,11,0,1,2,5,6,13,14,17,3,9,16,18,4,10,15,12,8
