0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"(0, 1)","(0, 5)","(0, 7)","(0, 9)","(0, 10)","(0, 11)","(0, 12)","(1, 3)","(1, 5)","(1, 6)","(1, 7)","(1, 8)","(1, 11)","(1, 12)","(1, 13)","(2, 7)","(3, 4)","(3, 7)","(3, 9)","(3, 10)","(3, 13)","(3, 15)","(4, 6)","(4, 10)","(4, 13)","(4, 15)","(5, 11)","(5, 12)","(5, 13)","(6, 10)","(6, 15)","(7, 8)","(7, 9)","(8, 9)","(8, 11)","(8, 12)","(8, 15)","(9, 11)","(11, 14)","(12, 13)","(12, 14)","(13, 15)","(14, 15)"
127,49
2,3,7
3,0,1,7,9,10,8,11,6,15,12,4,13,14,5
6,0,1,10,3,4,15,7,9,13,8,11,14,12,5
8,0,1,7,9,11,12,3,5,14,15,10,13,6,4
13,0,1,5,12
14,1,11,12,0,5,8,7,9,15,3,6,13,10,4
15,1,3,6,8,13,4,10,7,9,12,0,11,14,5
0,3,1,7,9,10,8,11,6,12,15,4,13,5,14
2,3,7,0,1,9,10,8,11,6,15,12,4,13,14,5
2,4,7,3,8,15,1,9,6,13,0,11,10,12,5,14
2,3,7,9,1,0,8,11,10,12,15,6,4,13,5,14
4,3,6,1,10,15,13,0,8,5,12,7,9,11,14
5,3,1,13,11,9,0,7,8,10,12,15,6,4,14
5,4,13,11,3,1,6,9,10,0,15,8,14,7,12
5,6,1,10,0,3,7,9,13,4,15,8,11,12,14
5,10,0,9,11,3,1,13,7,6,8,4,12,15,14
5,13,0,1,12
7,3,0,1,9,10,8,11,6,15,12,4,13,14,5
7,8,0,1,9,11,12,3,5,14,15,10,13,6,4
8,1,6,15,3,13,7,9,4,10,12,0,11,14,5
9,4,3,6,0,1,7,8,11,10,15,12,13,5,14
10,0,3,1,7,9,6,8,11,4,15,12,13,5,14
10,3,1,0,6,7,9,4,15,8,11,13,14,12,5
10,6,3,1,4,15,0,13,8,7,9,11,12,5,14
10,11,0,4,1,3,9,6,13,5,8,15,14,7,12
10,12,0,4,13,3,1,5,7,9,6,8,11,15,14
11,6,1,4,0,10,3,9,13,5,8,15,14,7,12
11,8,0,1,7,9,12,3,5,14,15,10,13,6,4
11,14,8,12,15,0,1,5,13,7,9,3,10,6,4
12,3,1,13,4,6,10,15,0,8,14,7,9,5,11
12,4,13,3,1,6,15,10,8,14,0,7,9,11,5
12,6,1,4,13,3,15,10,8,14,0,7,9,11,5
12,8,0,1,7,9,11,3,5,14,13,15,10,4,6
12,13,0,1,5
13,0,1,5,12,2,7,3,8,9,10,15,11,4,6,14
14,3,15,1,11,12,6,8,13,9,0,5,4,10,7
15,3,1,6,8,13,4,10,7,9,12,0,11,14,5
0,1,2,7,4,10,3,6,13,9,15,5,12,8,11,14
0,1,5,6,10,3,7,9,13,4,15,8,11,12,14
1,2,7,3,12,0,8,13,9,10,11,5,15,6,4,14
2,7,8,0,1,9,11,12,3,5,14,15,10,13,6,4
5,12,13,0,1
10,3,4,12,0,1,13,7,9,5,6,8,11,15,14
11,0,1,2,7,8,9,12,3,5,14,13,10,15,4,6
11,0,9,4,10,1,3,6,13,5,8,15,14,7,12
12,0,1,2,7,8,9,11,3,5,14,13,10,15,4,6
15,3,4,12,8,13,14,1,7,9,11,6,0,10,5
0,5,11,1,2,7,8,9,12,3,14,13,10,15,4,6
1,5,12,0,2,7,8,11,9,14,3,15,13,10,6,4
