0,1,2,3,4,5,6,7,8
"(0, 1)","(0, 2)","(0, 7)","(0, 6)","(0, 4)","(0, 5)","(1, 8)","(1, 7)","(1, 6)","(1, 2)","(1, 3)","(2, 3)","(2, 6)","(2, 7)","(3, 4)","(3, 6)","(3, 7)","(3, 8)","(4, 7)","(4, 8)","(4, 5)","(5, 6)","(5, 7)","(5, 8)","(6, 7)","(6, 8)","(7, 8)"
87,44
3,0,2,4,6,7,1,8,5
8,0,6,1,5,4,7,3,2
0,4,3,1,2,7,6,8,5
0,5,1,6,7,8,4,3,2
1,3,0,2,4,6,7,8,5
1,8,0,6,5,4,7,3,2
2,3,0,4,6,7,1,8,5
4,3,6,7,0,8,5,1,2
4,8,2,3,7,0,6,1,5
5,8,3,6,7,4,0,1,2
6,3,0,2,4,7,1,8,5
6,8,0,1,5,4,7,3,2
7,3,0,2,4,6,1,8,5
7,8,0,6,1,5,4,3,2
0,1,2,5,8,7,6,4,3
0,4,5,6,3,7,8,2,1
0,6,5,1,7,8,4,3,2
0,7,4,3,1,2,6,8,5
0,7,5,1,6,8,4,3,2
1,2,3,5,0,8,7,6,4
1,6,3,0,2,4,7,8,5
1,6,8,0,5,4,7,3,2
1,7,3,0,2,4,6,8,5
1,7,8,0,6,5,4,3,2
2,6,3,0,4,7,1,8,5
2,7,3,0,4,6,1,8,5
4,3,7,6,0,8,5,1,2
4,5,8,6,3,7,0,2,1
4,7,8,2,3,0,6,1,5
4,8,3,6,7,0,5,1,2
5,6,8,4,7,3,0,2,1
5,7,8,3,6,4,0,1,2
6,7,3,0,2,4,1,8,5
6,7,8,0,1,5,4,3,2
0,1,2,6,5,8,7,4,3
0,1,6,7
0,1,7,2,5,8,6,4,3
0,6,7,5,1,8,4,3,2
1,2,3,6,5,0,8,7,4
1,2,7,3,5,0,8,6,4
1,6,7,3,0,2,4,8,5
1,6,7,8,0,5,4,3,2
2,6,7,3,0,4,1,8,5
1,2,3,6,7,5,0,8,4
