0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"(0, 8)","(0, 9)","(0, 11)","(0, 14)","(0, 15)","(1, 8)","(1, 10)","(1, 11)","(1, 12)","(1, 13)","(1, 14)","(1, 17)","(2, 8)","(2, 9)","(2, 10)","(2, 11)","(2, 12)","(2, 14)","(2, 15)","(2, 17)","(3, 8)","(3, 9)","(3, 10)","(3, 16)","(4, 8)","(4, 9)","(4, 10)","(4, 11)","(4, 13)","(4, 14)","(4, 16)","(5, 8)","(5, 9)","(5, 11)","(5, 12)","(5, 13)","(5, 15)","(6, 8)","(6, 9)","(6, 10)","(6, 12)","(6, 13)","(7, 8)","(7, 9)","(7, 10)","(7, 17)","(8, 9)","(8, 10)","(8, 11)","(8, 12)","(8, 13)","(8, 14)","(8, 15)","(8, 16)","(9, 10)","(9, 11)","(9, 12)","(9, 14)","(9, 15)","(9, 16)","(9, 17)","(10, 11)","(10, 12)","(10, 13)","(10, 14)","(10, 15)","(10, 16)","(11, 12)","(11, 13)","(11, 14)","(11, 15)","(11, 16)","(11, 17)","(12, 13)","(13, 16)","(13, 17)","(14, 15)","(14, 16)","(14, 17)","(16, 17)"
193,93
0,7,8,9
3,7,8,9,10
5,7,8,9
6,7,8,9,10
0,2,8,9,11,14,15,1,10,12,17,7,13,16,5,4,6
0,3,8,9,2,11,14,15,10,16,17,1,7,13,12,4,5,6
0,4,8,9,11,14,1,10,13,12,17,15,2,7,16,5,6
0,5,8,9,11,15,13,4,6,10,12,16,17,14,1,2,7
0,7,8,9,10,11,14,15,17,1,2,13,16,12,4,5,6
1,3,8,10,0,11,14,9,15,16,12,17,13,2,5,7,4,6
1,5,8,11,12,13,0,14,9,15,2,10,4,16,17,6,7
2,3,8,9,10,0,11,14,15,16,17,1,7,13,12,4,5,6
2,4,8,9,10,11,14,13,12,17,5,6,16,1,7,15
3,4,8,9,10,16,7,17,11,13,14,1,2,5,6,12,15
3,5,8,9,0,11,15,10,16,12,13,14,2,1,4,6,17,7
3,6,8,9,10,0,11,14,15,16,12,13,1,2,5,4,17,7
3,7,8,9,10,0,11,14,15,16,17,1,2,13,12,4,5,6
3,7,8,9,10,11,16,17,1,2,13,14,12,4,5,6,15
3,7,8,9,10,12,0,11,14,15,16,17,1,2,5,13,4,6
3,7,8,9,10,15,0,11,14,16,17,1,2,13,12,4,5,6
5,7,8,9,0,11,15,10,17,12,13,14,1,2,16,4,6
6,1,8,10,12,13,0,9,11,14,15,17,4,5,16,2,7
6,2,8,9,10,12,0,11,14,15,13,1,5,17,4,16,7
6,7,8,9,10,0,11,14,15,12,13,17,1,2,5,4,16
6,7,8,9,10,12,0,11,14,15,13,17,1,2,5,4,16
6,7,8,9,10,15,0,11,14,12,13,17,2,5,1,4,16
7,4,8,9,10,0,11,14,15,17,13,16,1,2,5,6,12
9,0,1,8,10,11,12,14,17,2,7,13,16,15,4,5,6
10,0,8,9,11,14,15,1,12,17,2,5,13,7,16,4,6
10,1,0,8,9,11,14,15,12,17,2,5,13,7,16,4,6
10,3,7,8,9
10,6,0,8,9,11,14,15,12,13,1,2,5,4,16,17,7
10,7,0,8,9,11,14,15,17,1,2,13,16,12,4,5,6
11,0,5,8,9,15
11,5,1,8,12,13
12,1,0,8,9,11,14,10,17,2,15,7,13,16,5,4,6
12,2,0,8,9,11,14,15,1,10,5,17,13,7,16,4,6
12,3,8,9,10,0,11,14,15,16,1,2,5,13,17,4,6,7
12,5,0,8,9,11,15,2,10,14,13,1,4,16,17,6,7
12,6,0,8,9,11,10,13,14,15,4,5,16,17,1,2,7
12,7,8,9,10,0,11,14,15,17,1,2,5,13,16,4,6
13,1,0,8,11,14,4,10,16,17,9,15,2,7,5,6,12
13,3,8,10,16,0,11,9,14,15,4,5,6,12,17,1,2,7
13,4,0,8,11,9,14,5,6,10,12,16,17,1,15,2,7
13,5,0,8,11,9,15,4,6,10,12,16,17,14,1,2,7
13,6,0,8,11,9,10,12,4,5,16,17,14,15,1,2,7
14,0,5,8,9,11,15
14,1,7,8,9,10,17,2,11,13,16,12,4,5,6,15
14,6,8,9,10,0,11,15,12,13,1,2,5,4,16,17,7
14,6,8,9,10,15,0,11,12,13,1,2,5,4,16,17,7
15,0,1,8,10,11,14,9,12,17,2,5,13,7,16,4,6
15,1,8,10,11,14,0,9,12,17,2,5,13,7,16,4,6
15,5,7,8,9,10,11,12,13,17,2,4,6,16,14,1
