0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"(0, 10)","(0, 2)","(0, 8)","(1, 12)","(1, 10)","(2, 12)","(3, 10)","(3, 5)","(4, 11)","(4, 7)","(6, 13)","(9, 12)","(11, 12)","(12, 13)","(13, 14)"
571,22
5,1,3,10
8
1,4,12,11,0,10,2
1,6,12,13,0,10,2
1,7,12,11,4,0,10,2
1,9,12,0,10,2
3,5,1,10
11,1,12,0,2,10
12,1,0,2,10
13,1,12,0,2,10
14,1,13,12,0,2,10
5,1,3,10,6,12,13,8,0,2,9,4,11
5,1,3,10,7,12,11,4,8,0,2,9,6,13
5,1,3,10,7,12,11,4,8,0,2,6,13,14
7,0,4,11,12,2,5,1,10,3,9,6,13,14
1,7,12,11,4,0,10,2,8,9,6,13,14
3,7,10,1,12,11,4,8,0,2,9,6,13,14
4,0,11,12,2,5,1,10,3,8,9,6,13,14
5,1,3,10,6,12,13,7,11,4,8,0,2,9
5,1,3,10,8,0,9,12,2,11,6,13,14
5,1,3,10,8,0,9,12,2,4,11,14,13,7
5,1,3,10,8,0,14,12,13,2,6,9,4,11
