0,1,2,3,4,5,6,7,8,9,10,11,12
"(0, 9)","(0, 8)","(0, 5)","(1, 7)","(1, 4)","(1, 11)","(1, 2)","(2, 7)","(2, 11)","(2, 4)","(3, 8)","(3, 12)","(3, 7)","(4, 9)","(4, 10)","(4, 6)","(4, 12)","(5, 11)","(5, 8)","(6, 11)","(7, 11)","(7, 12)","(7, 10)","(8, 9)","(9, 12)","(11, 12)"
87,51
0,2,9,4,5,11,8,12,1,6,3,7,10
1,0,4,9,11,5,2,6,12,8,7,3,10
2,0,11,5,4,9,6,1,12,8,7,3,10
6,0,11,5,4,9,1,2,12,8,7,3,10
0,3,8,2,9,4,5,11,7,12,1,6,10
1,2,0,4,9,11,5,6,12,8,7,3,10
3,1,7,0,8,4,9,11,5,12,10,2,6
3,2,7,0,8,11,5,4,9,12,6,1,10
3,5,8
4,0,9,2,5,11,6,1,12,8,7,3,10
4,1,0,9,11,5,12,8,6,2,7,3,10
4,2,0,9,11,5,12,8,6,1,7,3,10
4,6,0,9,11,5,12,8,1,2,3,7,10
4,7,1,10,2,12,11,6,0,9,5,3,8
4,8,9,12,3
5,0,2,11,9,4,12,6,1,8,7,3,10
5,1,11,0,4,9,2,6,12,8,7,3,10
5,2,11,0,4,9,1,6,12,8,7,3,10
5,6,11,4,1,2,12,8,9,0,7,3,10
7,1,0,11,5,3,8,12,9,4,6,2,10
7,2,0,11,5,3,8,12,9,4,6,1,10
8,0,2,3,7,5,11,9,4,12,1,10,6
8,7,3,5,11,12,9,0
9,0,2,4,5,11,1,6,12,8,7,3,10
9,1,4,0,11,5,12,6,2,8,7,3,10
9,2,4,0,11,5,12,6,1,8,7,3,10
10,3,7,0,4,9,8,11,5,12,1,2,6
11,0,5,2,9,4,12,8,1,6,7,3,10
11,1,0,5,4,9,6,2,12,8,7,3,10
11,2,0,5,4,9,6,1,12,8,7,3,10
11,0,5,8,2,9,4,3,7,12,1,6,10
12,0,9,2,7,11,4,5,3,8,1,10,6
1,2,3,7,0,4,9,11,5,8,12,10,6
3,5,8,0,6,12,11,7,4,9,1,2,10
4,1,2,0,9,11,5,12,8,6,7,3,10
4,8,9,0,2,3,7,5,11,12,1,10,6
4,9,6,0,11,5,1,2,12,8,7,3,10
5,1,11,2,6,4,12,9,0,8,7,3,10
5,7,11,1,0,3,8,12,9,4,2,6,10
5,7,11,2,0,3,8,12,9,4,1,6,10
5,8,0,2,11,3,7,9,4,12,6,1,10
5,8,9,0,2,11,3,7,4,12,6,1,10
5,8,11
7,1,2,0,11,5,3,8,12,9,4,6,10
8,9,0,2,3,7,5,11,4,12,1,10,6
9,0,3,8,12,2,4,5,11,7,1,6,10
9,1,4,2,5,0,8,11,6,12,3,7,10
10,4,6,0,9,11,5,12,8,7,1,2,3
11,1,2,0,5,4,9,6,12,8,7,3,10
11,5,12,3,7,8,9,0
12,4,0,9,2,7,11,5,1,10,3,8,6
