0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
"(0, 4)","(0, 5)","(0, 6)","(0, 7)","(0, 13)","(1, 4)","(1, 5)","(1, 11)","(1, 12)","(2, 4)","(2, 16)","(3, 4)","(3, 5)","(3, 6)","(3, 8)","(3, 10)","(3, 13)","(3, 15)","(4, 5)","(4, 6)","(4, 7)","(4, 8)","(4, 9)","(4, 10)","(4, 11)","(4, 12)","(4, 14)","(4, 17)","(5, 6)","(5, 7)","(5, 9)","(5, 10)","(5, 12)","(5, 15)","(5, 16)","(6, 7)","(6, 8)","(6, 14)","(7, 8)","(7, 9)","(7, 15)","(7, 17)","(7, 18)","(8, 9)","(8, 10)","(8, 11)","(8, 12)","(8, 15)","(8, 16)","(8, 17)","(8, 18)","(10, 11)","(10, 13)","(10, 14)","(10, 17)","(11, 14)","(12, 13)","(13, 16)","(14, 18)","(16, 18)"
171,86
0,2,4
1,3,4,5
2,3,4
3,0,4,5,6,13,10,12,16,8,14,2,7,9,15,11,18,17,1
9,2,4
10,0,4,5,13,3,12,16,6,8,2,14,7,9,15,18,11,17,1
12,0,4,5,13,3,10,16,8,6,2,7,9,15,14,17,18,11,1
14,2,4
16,0,13,5,10,3,12,8,4,6,7,9,15,2,14,18,17,11,1
17,3,8,10,4
0,1,4,5,3,6,13,12,10,16,8,11,14,2,7,9,15,18,17
0,2,4,5,16,13,8,10,3,12,6,7,9,15,14,17,18,11,1
0,2,4,6,5,16,13,8,10,3,12,7,9,15,14,17,18,11,1
0,2,4,7,5,16,13,8,18,10,3,12,6,9,15,14,17,11,1
1,2,4,10,5,11,16,8,13,12,3,6,7,9,15,0,14,17,18
1,3,4,5,2,16,8,13,11,12,6,7,9,10,15,0,14,18,17
2,3,4,5,16,8,13,6,7,9,10,12,15,0,14,18,17,11,1
4,3,0,5,6,13,10,12,16,8,14,2,7,9,15,11,18,17,1
4,10,0,5,13,3,12,16,6,8,2,14,7,9,15,18,11,17,1
4,12,0,5,13,3,10,16,8,6,2,7,9,15,14,17,18,11,1
5,0,1,4
5,1,3,4
5,3,0,4,6,13,10,12,16,8,14,2,7,9,15,11,18,17,1
5,9,1,4
5,10,0,4,13,3,12,16,6,8,2,14,7,9,15,18,11,17,1
5,12,0,4,13,3,10,16,8,6,2,7,9,15,14,17,18,11,1
5,16,0,13,10,3,12,8,4,6,7,9,15,2,14,18,17,11,1
6,0,2,4
6,3,0,4,5,13,10,12,16,8,14,2,7,9,15,11,18,17,1
6,2,4,7
6,2,4,14
7,0,2,4
7,2,4,17
8,0,4,6,7,16,5,13,2,18,3,9,10,12,15,14,17,11,1
8,3,2,4,16,5,13,6,7,9,10,12,15,0,14,18,17,11,1
9,0,4,5,7
9,1,4,5,0,7
9,2,4,6,8,5,7,16,3,10,12,15,18,13,14,17,0,11,1
11,0,4,1,5,10,13,3,12,16,8,6,2,7,9,15,14,17,18
11,1,0,4,5,10,13,12,3,16,8,6,2,7,9,15,14,17,18
11,3,8,10,4,16,5,13,2,1,6,7,9,12,15,0,14,17,18
12,1,0,4,5,13,3,10,16,8,6,11,2,7,9,15,14,17,18
13,0,6,3,4,5,10,12,16,8,14,2,7,9,15,11,18,17,1
13,2,16,17,10,4,8,5,0,3,12,7,6,9,15,18,14,11,1
13,3,9,0,4,10,12,5,16,7,8,6,2,17,15,18,14,11,1
13,10,2,16,4,8,5,0,3,12,6,7,9,15,14,17,18,11,1
13,11,10,12,8,1,4,5,3,16,6,7,9,15,0,2,18,14,17
13,12,0,4,5,3,10,16,8,6,2,7,9,15,14,17,18,11,1
14,0,4,6,1,11,5,8,10,18,7,12,3,9,15,16,13,17,2
14,1,11,4,0,6,5,8,10,18,12,7,3,9,15,16,13,17,2
14,2,4,10,9,8,5,6,11,18,16,3,7,12,15,1,13,17,0
14,2,4,11,0,6,8,10,18,16,7,5,13,3,17,1,9,12,15
15,3,4,8,5,7,6,9,10,12,16,14,17,13,2,18,11,0,1
17,0,4,7,1,5,10,13,8,11,3,12,16,6,9,15,2,18,14
17,1,4,0,7,5,10,11,13,8,12,3,16,6,9,15,2,18,14
17,3,8,10,4,9,7,5,6,15,12,16,14,13,2,18,11,0,1
18,2,16,12,8,4,13,5,3,10,6,7,9,15,14,0,17,11,1
0,1,4,5,6,3,13,12,10,16,8,11,14,2,7,9,15,18,17
0,4,1,5,7,3,6,13,8,15,10,12,16,11,9,17,14,2,18
1,2,4,11,13,12,16,0,3,10,8,5,6,7,9,15,14,18,17
2,4,10,1,5,11,16,8,13,12,3,6,7,9,15,0,14,17,18
2,4,12,0,5,13,16,3,10,8,6,7,9,15,14,18,17,11,1
4,5,3,0,6,13,10,12,16,8,14,2,7,9,15,11,18,17,1
4,5,10,0,13,3,12,16,6,8,2,14,7,9,15,18,11,17,1
4,5,12,0,13,10,3,16,8,6,2,7,9,15,14,17,18,11,1
4,6,3,0,5,13,10,12,16,8,14,2,7,9,15,11,18,17,1
4,6,1,5,7
4,7,1,5,9
4,8,3,5,6,7,9,10,12,15,16,14,17,18,13,2,11,0,1
4,11,1,0,5,10,13,3,12,16,8,6,2,7,9,15,14,17,18
4,11,7,8,6,14,18,10,5,17,3,1,9,12,15,16,13,2,0
4,11,8,0,6,7,14,10,18,5,13,3,17,1,9,12,15,16,2
4,12,1,0,5,13,3,10,16,8,6,11,2,7,9,15,14,17,18
4,17,6,8,7
