0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"(0, 17)","(0, 13)","(0, 7)","(0, 5)","(1, 2)","(1, 13)","(1, 5)","(2, 15)","(2, 17)","(3, 4)","(3, 5)","(4, 5)","(4, 6)","(5, 6)","(5, 15)","(5, 10)","(6, 8)","(6, 13)","(6, 17)","(7, 8)","(7, 9)","(7, 11)","(8, 12)","(8, 9)","(9, 10)","(9, 11)","(10, 13)","(11, 13)","(12, 13)","(12, 14)","(13, 15)","(13, 16)","(14, 15)","(14, 16)","(15, 17)","(16, 17)"
94,34
0,1,13,5,15,6,10,17,2,16,14,12,8,7,9,11
1,0,13,5,15,6,10,2,17,16,14,12,8,7,9,11
6,1,5,13,15,0,10,17,2,16,14,12,8,7,9,11
10,4,5
14,1,15,13,12,16,2,5,17,0,6,10,8,7,9,11
15,1,13,2,5,0,6,10,17,16,14,12,8,7,9,11
16,0,13,17,15,6,14,5,12,8,1,10,7,9,2,11
0,1,13,5,15,6,10,17,2,16,14,12,8,7,9,11,3,4
0,2,17,6,13,5,15,1,16,10,14,12,8,7,9,11
0,1,13,5,15,6,10,17,2,16,14,12,8,7,9,11,4
1,2,16,13,17,15,0,6,5,14,10,12,8,9,7,11
2,6,17,7,0,8,13,5,15,1,16,11,12,10,14,9
2,15,13,1,5,6,0,10,17,16,14,12,8,7,9,11
3,0,5,2,15,1,17,13,6,4,10,16,14,12,8,7,9,11
3,1,5,2,15,13,0,6,10,4,17,16,14,12,8,7,9,11
3,4,1,5
7,0,1,11,13,5,9,10,15,6,8,17,2,12,14,16
7,6,8,5,0,17,13,15,16,11,12,10,1,14,2,9
8,0,7,6,17,13,5,15,16,12,11,10,1,14,2,9
8,4,6,3,5
9,0,7,6,8,17,13,5,12,15,16,11,10,1,14,2
10,3,5,2,13,15,1,0,6,4,17,16,14,12,8,9,7,11
11,1,13,10,9,5,6,15,0,7,8,17,2,12,14,16
12,1,13,10,5,6,8,15,0,14,17,16,9,7,2,11
13,0,6,17,5,15,16,1,10,14,2,12,8,7,9,11
13,1,10,5,6,15,0,17,2,16,14,12,8,9,7,11
13,4,6,7,11,0,5,8,9,10,15,1,17,12,16,14,2
16,1,13,10,5,6,15,0,17,14,8,12,2,9,7,11
17,0,1,2,13,5,15,6,16,10,14,12,8,7,9,11
3,5,6,4,7,0,8,17,13,15,16,10,1,11,12,14,2,9
7,8,12,6,13,11,0,9,17,5,10,15,16,14,1,2
7,8,14,12,6,15,13,16,17,5,11,0,10,1,9,2
3,4,5,15,13,6,1,0,10,17,2,16,14,12,8,7,9,11
7,8,9,12,13,11,0,6,10,17,5,15,16,14,1,2
