0,1,2,3,4,5,6,7,8,9,10,11,12,13
"(0, 1)","(0, 13)","(0, 9)","(0, 7)","(0, 6)","(1, 11)","(1, 7)","(1, 12)","(2, 3)","(2, 4)","(3, 7)","(3, 9)","(3, 11)","(3, 12)","(4, 8)","(4, 13)","(5, 12)","(5, 8)","(5, 6)","(6, 12)","(6, 8)","(7, 11)","(8, 11)","(9, 11)","(9, 10)","(9, 13)","(10, 13)","(12, 13)"
84,39
2,0,3,7,9,4,13,12,11,8,6,1,5
3,0,7,9,11,1,12,13,6,8,5,4,2
11,0,9,1,7,3,12,13,6,8,5,4,2
12,0,13,6,1
0,1,4,13,12,11,8,9,6,3,5,7,2
0,2,13,4,9,3,7,12,8,11,6,1,5
0,4,13,8,6,12,1,5,11,9,7,3,2
1,3,11,7,12,0,9,13,6,8,5,4,2
4,2,1,8,11,13,12,0,3,7,5,6,9
4,3,2,7,8,11,13,0,6,9,1,12,5
4,5,8,3,2,12,11,13,6,1,9,0,7
4,6,8,3,2,12,11,13,5,1,0,9,7
4,8,1,11,13,12,0,9,3,7,5,6,2
4,6,8,11,3,2,12,13,5,1,0,9,7
5,3,12,4,8,2,13,11,6,9,1,0,7
6,1,12,0,13,4,8,11,5,3,9,7,2
6,3,12,4,8,2,13,11,5,0,9,1,7
7,2,3,0,9,4,13,11,8,12,1,6,5
7,3,0,9,11,1,12,13,6,8,5,4,2
7,2,3,11,0,9,4,13,1,8,12,6,5
8,0,6,4,13,12,5,1,11,9,7,3,2
8,1,11,6,0,12,9,7,13,5,3,4,2
8,2,4,1,11,3,7,12,13,0,9,5,6
8,3,11,1,7,12,5,6,0,9,13,4,2
9,0,3,7,11,1,12,13,6,8,5,4,2
9,2,3,1,11,0,7,12,13,4,6,8,5
9,3,1,11,0,7,12,13,6,8,5,4,2
10,0,13,9,3,7,12,11,1,6,8,4,5,2
10,3,9,1,13,12,0,11,7,6,8,4,5,2
11,1,0,9,7,3,12,13,6,8,5,4,2
13,2,4,1,12,0,3,7,11,8,6,5,9
13,3,12,9,1,0,7,11,6,8,4,5,2
4,5,8,6,9,13,12,3,11,0,1,2,7
6,8,11,3,12,5,1,0,7,9,13,4,2
13,0,9,3,12,7,6,1,11,8,4,5,2
13,4,8,1,12,0,11,5,6,3,9,7,2
13,4,10,8,9,11
13,4,12,1,0,8,11,6,9,7,5,3,2
5,6,8,11,3,12,1,0,7,9,13,4,2
