0,1,2,3,4,5,6,7,8,9
"(0, 2)","(0, 3)","(0, 5)","(0, 9)","(1, 2)","(1, 6)","(1, 7)","(1, 8)","(2, 3)","(2, 6)","(2, 7)","(2, 8)","(3, 6)","(3, 7)","(3, 8)","(3, 9)","(4, 6)","(4, 9)","(5, 6)","(5, 9)","(6, 7)","(6, 9)","(7, 8)"
71,22
0,1,2
1,0,2
0,1,2,3,6,7,8,5,9
2,4,6,9,0,3,5,1,7,8
3,0,1,2,6,7,8,5,9
4,0,9,1,6,2,3,5,7,8
4,1,6,0,9,2,3,5,7,8
5,0,1,6,2,3,9,7,8
6,1,0,2,3,5,9,7,8
7,0,2,3,4,6,9,5
7,1,0,2,3,6,8,5,9
8,0,2,3,6,1,7,5,9
8,1,0,2,3,6,7,5,9
9,0,1,6,2,3,5,7,8
0,2,3,4,9,6,5
1,2,4,6,5,0,9,3,7,8
1,2,6,0,3,5,9,7,8
7,1,2,0,3,6,8,5,9
8,1,2,0,3,6,7,5,9
9,1,6,4,3,2,7,8,0,5
9,3,0,1,6,2,7,8,5
9,5,0,1,6,2,3,7,8
