0,1,2,3,4,5,6,7
"(0, 7)","(0, 2)","(0, 5)","(0, 4)","(0, 1)","(0, 6)","(1, 2)","(1, 5)","(1, 7)","(1, 3)","(1, 4)","(2, 3)","(2, 4)","(2, 5)","(2, 7)","(2, 6)","(3, 4)","(3, 7)","(3, 6)","(4, 5)","(4, 6)","(5, 7)","(5, 6)","(6, 7)"
91,34
3,0,2,4,7,1,6,5
0,6,1,4,2,5,7,3
1,3,0,2,4,7,6,5
2,3,0,4,7,1,6,5
4,3,0,2,7,1,6,5
6,3,1,4,2,5,7,0
7,3,0,2,4,1,6,5
0,1,2,3,7,4,6,5
0,2,6,3,7,4,1,5
0,4,6,1,2,5,7,3
0,5,6,1,4,2,7,3
0,7,6,1,4,2,5,3
1,2,3,0,4,7,6,5
1,4,3,0,2,7,6,5
1,7,3,0,2,4,6,5
2,4,3,0,7,1,6,5
2,6,3,1,4,5,7,0
2,7,3,0,4,1,6,5
4,6,3,1,2,5,7,0
6,7,3,1,4,2,5,0
0,1,2,4,3,7,6,5
0,1,4,5
0,1,5,2,3,7,4,6
0,1,5,7
0,1,7,2,4,5,3,6
0,2,4,6,3,7,1,5
0,2,5,6,3,7,4,1
0,2,7,6,4,5,3,1
0,4,5,6,1,2,7,3
0,5,7,6,1,4,2,3
1,2,4,5
1,2,5,7
2,4,5,6
2,5,6,7
