0,1,2,3,4,5,6,7,8,9,10
"(0, 9)","(0, 4)","(0, 1)","(0, 6)","(1, 7)","(1, 5)","(1, 6)","(1, 2)","(2, 4)","(2, 7)","(2, 3)","(2, 6)","(2, 8)","(3, 6)","(3, 9)","(3, 4)","(3, 10)","(3, 5)","(3, 7)","(4, 5)","(4, 9)","(4, 8)","(4, 10)","(4, 6)","(5, 10)","(5, 9)","(6, 10)","(6, 7)","(6, 9)","(7, 8)","(8, 9)","(8, 10)","(9, 10)"
75,36
2,0,4,6,1,5,3,9,10,7,8
5,0,4,1,9,2,6,3,8,10,7
7,0,1,6
0,1,5,9,4,6,2,3,10,8,7
0,3,9,4,6,8,2,10,7,1,5
0,4,2,1,6,5,9,3,10,8,7
1,2,5,4,3,0,6,7,9,10,8
3,2,1,6,5,7,10,4,9,8,0
4,2,1,5,0,6,3,9,10,7,8
4,5,2,1,3,0,6,7,9,10,8
6,2,0,4,1,5,10,9,3,8,7
6,7,0,1
8,2,0,9,4,6,1,3,5,10,7
9,0,2,8,3,4,6,1,7,10,5
9,3,2,8,4,6,7,10
10,0,6,9,4,2,3,8,1,7,5
10,3,2,6,4,8,7,9
0,1,6,5,9,4,3,10,2,7,8
1,2,6,5,4,3,10,9,0,7,8
1,7,2,5,3,4,6,0,8,10,9
3,2,4,5,1,7,6,0,8,10,9
3,4,5,8,9,2,10,7,6,1,0
4,6,0,2,1,5,10,9,3,8,7
4,6,2,1,5,0,10,9,3,8,7
4,8,2,1,5,0,6,7,10,9,3
4,9,0,2,8,3,6,1,7,10,5
6,3,2,1,5,7,4,10,9,0,8
6,9,0,2,8,3,4,1,7,10,5
6,9,3,2,8,4,7,10
6,10,3,2,4,8,9,7
3,2,4,6,5,1,10,9,7,0,8
3,4,5,9,8,2,10,7,1,6,0
4,6,9,0,2,8,3,1,7,10,5
4,6,10,3,8,7,2,9
4,8,9,10,1,5,2,0,6,7,3
4,10,3,5,8,9,2,7,6,1,0
