0,1,2,3,4,5,6,7,8,9,10,11,12,13
"(0, 1)","(0, 13)","(0, 2)","(0, 12)","(0, 3)","(0, 11)","(0, 4)","(0, 10)","(0, 5)","(0, 9)","(0, 7)","(0, 6)","(1, 2)","(1, 3)","(1, 13)","(1, 4)","(1, 5)","(1, 11)","(1, 10)","(1, 7)","(2, 3)","(2, 4)","(2, 5)","(2, 13)","(2, 6)","(2, 12)","(2, 10)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(3, 13)","(3, 8)","(3, 12)","(4, 5)","(4, 6)","(4, 7)","(4, 8)","(4, 9)","(4, 13)","(5, 6)","(5, 7)","(5, 8)","(5, 9)","(5, 10)","(6, 7)","(6, 9)","(6, 10)","(6, 11)","(6, 8)","(6, 12)","(7, 9)","(7, 10)","(7, 11)","(7, 12)","(8, 9)","(8, 10)","(8, 12)","(8, 13)","(8, 11)","(9, 10)","(9, 11)","(9, 12)","(9, 13)","(10, 11)","(10, 12)","(10, 13)","(11, 12)","(11, 13)","(12, 13)"
514,220
8,2,10,5,4,12,3,13,6,9,7,0,1,11
0,6,1,5,7,4,3,2,10,11,8,9,12,13
0,9,3,8,7,6,12,5,13,4,10,11,1,2
0,12,1,11,13,10,2,7,3,6,8,9,4,5
3,8,2,10,5,4,12,13,6,7,0,1,9,11
4,8,2,10,5,12,3,13,6,9,7,0,1,11
5,8,2,10,4,12,3,13,6,9,7,0,1,11
6,8,2,10,5,4,12,3,13,9,7,0,1,11
9,8,3,7,6,12,5,13,4,0,10,11,1,2
10,8,4,9,7,13,6,0,5,1,2,11,12,3
11,8,5,10,9,0,7,1,6,13,4,12,3,2
12,8,2,10,5,4,3,13,6,9,7,0,1,11
13,8,2,10,5,4,12,3,6,9,7,0,1,11
0,1,7,2,6,5,4,10,3,12,11,8,9,13
0,1,11,6,2,3,4,5,10,7,13,12,8,9
0,2,6,1,5,7,4,3,10,11,8,9,12,13
0,2,12,1,11,13,10,7,3,6,8,9,4,5
0,3,6,1,5,7,4,2,10,11,8,9,12,13
