0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"(0, 1)","(0, 2)","(0, 13)","(0, 12)","(0, 9)","(1, 2)","(1, 3)","(1, 13)","(1, 8)","(1, 11)","(1, 6)","(2, 3)","(2, 4)","(2, 14)","(2, 11)","(2, 8)","(2, 10)","(3, 4)","(3, 5)","(3, 6)","(3, 8)","(3, 9)","(4, 5)","(4, 6)","(4, 7)","(4, 14)","(4, 10)","(4, 9)","(5, 8)","(5, 12)","(5, 9)","(6, 8)","(6, 12)","(6, 11)","(6, 7)","(7, 8)","(7, 9)","(7, 12)","(7, 14)","(8, 11)","(9, 10)","(9, 13)","(10, 11)","(11, 14)","(12, 13)"
93,45
3,0,2,1,9,4,10,13,6,11,12,8,7,14,5
4,1,3,2,6,11,8,10,14,7,5,9,12,13,0
5,0,12,9,13,7,8,4,1,2,6,3,10,14,11
6,0,12,1,13
7,0,9,12,13,5,4,8,2,6,3,1,14,10,11
8,0,1,2
10,0,9,2,3,4,1,11,13,6,8,14,12,7,5
11,0,2,1
14,1,11,2
0,8,1,2,10,9,11,7,5,3,13,4,12,6,14
0,9,12,7,13,5,8,4,1,2,3,6,10,14,11
0,11,1,2,7,12,9,8,14,6,4,13,5,10,3
1,3,0,2,9,4,10,13,6,11,12,8,7,14,5
1,8,0,2
1,10,2,11,7,8,6,9,4,14,5,3,13,0,12
1,11,0,2
1,14,2,11
2,3,0,1,9,13,10,4,11,6,8,14,12,7,5
2,4,1,3,6,8,11,7,5,10,14,9,12,0,13
2,8,0,1
2,10,0,9,3,4,1,11,13,6,8,14,12,7,5
2,11,0,1
2,13,1,0,7,4,14,8,12,9,6,3,5,11,10
8,0,1,2,11,12,7,6,5,13,9,4,14,3,10
8,0,1,2,13,10,11,9,7,5,3,4,12,6,14
9,3,2,10,0,4,1,13,11,6,12,8,14,7,5
9,4,2,10,3,0,1,13,6,11,12,7,8,14,5
9,5,2,10,3,0,4,8,11,1,12,6,7,14,13
9,7,3,8,4,6,5,2,12,0,10,14,1,11,13
9,10,3,4,2,0,1,13,11,6,12,8,14,7,5
11,0,2,1,13,7,8,14,6,12,9,4,5,3,10
12,7,5,8,9,4,6,3,2,13,0,11,1,14,10
12,13
13,4,9,8,1,3,5,2,6,7,0,12,10,11,14
0,1,2,7,12,9,8,6,4,14,13,5,3,10,11
1,2,3,7,8,6,4,14,9,5,11,13,0,10,12
1,6,3,7,8,4,9,5,2,13,0,12,11,14,10
1,6,8,2,4,3,11,5,7,14,10,12,9,13,0
2,4,3,13,1,0,9,6,10,8,11,12,7,5,14
2,14,4,1,11,3,6,10,8,7,9,5,0,13,12
9,3,4,2,10,0,1,13,6,11,12,7,8,14,5
9,5,3,2,10,0,4,8,11,12,1,6,7,14,13
9,7,4,8,5,3,2,6,12,0,10,14,1,11,13
9,10,4,3,2,0,1,13,11,6,12,14,8,7,5
9,13,10,3,1,4,2,0,11,6,12,8,14,7,5
