0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
"(0, 7)","(0, 8)","(0, 10)","(0, 11)","(0, 13)","(0, 14)","(0, 17)","(1, 7)","(1, 8)","(1, 9)","(1, 11)","(1, 12)","(1, 15)","(1, 16)","(1, 17)","(1, 18)","(2, 7)","(2, 9)","(3, 7)","(3, 8)","(3, 9)","(3, 10)","(3, 11)","(3, 12)","(3, 16)","(3, 17)","(4, 7)","(4, 8)","(4, 10)","(4, 13)","(4, 14)","(5, 7)","(5, 8)","(5, 9)","(5, 10)","(5, 11)","(6, 7)","(6, 8)","(6, 9)","(6, 12)","(6, 13)","(6, 15)","(6, 18)","(7, 8)","(7, 9)","(7, 10)","(7, 12)","(7, 13)","(7, 14)","(7, 15)","(7, 16)","(7, 17)","(7, 18)","(8, 9)","(8, 10)","(8, 11)","(8, 12)","(8, 15)","(8, 16)","(8, 17)","(9, 10)","(9, 11)","(9, 12)","(9, 13)","(9, 14)","(9, 16)","(10, 11)","(10, 12)","(10, 13)","(10, 15)","(10, 18)","(11, 13)","(11, 14)","(11, 15)","(11, 17)","(12, 14)","(12, 16)","(13, 14)","(13, 18)","(14, 15)","(14, 16)","(14, 17)","(14, 18)","(16, 18)"
195,98
0,6,7,8,13,4,9,10,11,14,12,15,18,1,3,5,17,16
2,6,7,9
4,0,7,8,10,13,14,6,9,11,12,15,16,17,18,1,3,5
9,0,7,8,10,11,13,14,1,3,5,15,17,4,6,12,16,18
12,0,7,8,10,14,4,9,11,15,16,17,13,18,1,6,3,5
15,0,7,8,10,11,14,1,3,5,9,13,17,4,12,16,18,6
16,0,7,8,14,4,9,11,12,15,17,10,13,1,6,3,5,18
18,0,7,10,13,14,4,9,11,12,15,8,1,6,16,3,5,17
0,1,7,8,11,17,3,5,9,10,13,14,15,12,16,6,18,4
0,2,7,16,8,14,9,4,11,12,15,17,10,13,1,3,5,6,18
1,2,7,9,6,8,12,15,18,10,16,14,11,13,3,0,4,17,5
2,3,7,9,5,8,10,11,0,1,13,14,15,17,12,16,18,4,6
2,5,7,9,4,8,10,13,14,0,6,11,12,15,16,17,18,1,3
2,6,7,9,1,8,12,15,18,10,16,14,11,13,3,0,4,17,5
2,6,7,9,8,1,12,15,18,10,14,16,11,13,0,4,3,17,5
2,6,7,9,12,1,8,15,18,10,16,11,14,13,3,0,4,5,17
7,4,0,8,10,13,14,6,9,11,12,15,16,17,18,1,3,5
7,9,0,8,10,11,13,14,4,6,12,15,16,17,18,1,3,5
7,12,0,8,10,14,4,9,11,15,16,17,13,18,1,6,3,5
7,15,0,8,10,11,14,4,9,12,16,17,13,18,1,3,5,6
