0,1,2,3,4,5,6,7,8
"(0, 1)","(0, 2)","(0, 7)","(0, 3)","(0, 6)","(0, 5)","(0, 4)","(1, 8)","(1, 4)","(1, 5)","(1, 2)","(1, 6)","(2, 3)","(2, 8)","(2, 6)","(2, 7)","(2, 4)","(3, 5)","(3, 6)","(3, 8)","(3, 7)","(4, 5)","(4, 8)","(4, 6)","(5, 7)","(5, 6)","(7, 8)"
87,33
8,0,1,2,3,4,7,5,6
0,3,1,2,5,6,8,7,4
0,7,1,5,2,8,4,3,6
1,8,0,2,3,4,7,5,6
2,8,0,1,3,4,7,5,6
3,8,1,2,5,0,6,7,4
4,8,0,1,2,3,7,5,6
7,8,1,5,0,2,4,3,6
0,1,2,3,8,5,6,4,7
0,1,5,3,8,2,6,4,7
0,2,3,5,6,1,7,4,8
0,2,7,1,5,8,4,3,6
0,5,3,4,2,6,8,1,7
0,5,7,2,4,3,1,6,8
0,6,3,1,2,5,8,7,4
1,2,8,3,0,5,6,7,4
1,4,8,0,2,3,7,5,6
2,3,6
2,3,8,6,1,4,0,5,7
2,4,8,0,1,3,7,5,6
2,7,8,1,5,0,4,3,6
3,5,6
3,5,7
3,7,0,1,2,5,6,8,4
3,7,8,1,2,5,0,6,4
0,1,2,4,5,3,6,7,8
0,1,4,5,3,8,2,6,7
0,1,6,2,3,8,5,4,7
0,1,6,5,3,8,2,4,7
0,2,4,6
0,4,5,6
1,2,4,6
1,4,5,6
