0,1,2,3,4,5,6,7,8,9,10,11
"(0, 1)","(0, 2)","(0, 10)","(0, 4)","(1, 2)","(1, 3)","(1, 11)","(1, 10)","(1, 8)","(1, 9)","(1, 6)","(2, 3)","(2, 5)","(2, 11)","(2, 6)","(2, 9)","(3, 4)","(3, 10)","(3, 11)","(3, 9)","(3, 7)","(4, 5)","(4, 7)","(4, 11)","(5, 7)","(5, 8)","(5, 10)","(5, 9)","(5, 6)","(6, 8)","(6, 10)","(7, 8)","(7, 9)","(7, 11)","(8, 10)","(8, 11)"
64,36
3,0,2,4,1,10,5,11,6,7,9,8
5,1,2,8,10,9,6,11,3,0,7,4
6,0,10,2,1,5,3,4,8,9,7,11
8,0,10,1
9,0,1,2
11,0,1,2,4,3,5,10,9,7,8,6
0,2
0,4,6,1,2,10,5,3,11,8,9,7
0,10
1,3,0,2,4,10,5,11,6,8,9,7
1,6,0,10,2,5,3,8,9,4,7,11
1,9,0,2
1,11,0,2,4,3,5,10,9,7,8,6
2,3,0,4,1,10,5,11,6,7,9,8
2,5,4,3,0,11,10,9,7,1,8,6
2,6,0,10,1,5,3,4,8,9,7,11
2,9,0,1
2,11,0,1,4,3,5,10,9,7,8,6
4,3,6,5,2,1,10,7,9,8,0,11
4,5,3,7,2,10,9,11,8,0,1,6
4,11,2,3,5,0,10,9,7,1,8,6
7,3,2,5,9,11,4,10,8,1,0,6
10,3,0,2,4,1,5,6,11,7,9,8
10,5,4,0,3,2,1,9,7,6,11,8
10,6,0,2,1,3,5,4,9,7,8,11
10,8,0,1
0,1,2,8,10,5,11,6,3,4,9,7
0,1,10,7,4,3,11,8,9,5,2,6
1,2,3,8,5,11,6,10,7,9,4,0
1,2,11,0,4,3,5,10,9,7,8,6
1,8,6,9,7,5,2,3,11,10,4,0
1,10,6,7,3,11,8,9,5,2,4,0
4,3,7,10,5,0,8,2,9,1,11,6
4,7,11,2,3,5,0,9,10,1,8,6
4,11,3,6,5,1,8,2,10,7,9,0
10,5,6,7,8,3,11,1,2,4,9,0
